object_number,edition_id
20570,ED-91778A69B7
20571,ED-997E44EC7E
20572,ED-E34DAAD6DA
20578,ED-C5F0F08219
20580,ED-0B51B8ADFE
20583,ED-A073D1F425
20585,ED-0B6F10A713
20592,ED-FFB6E5D6BC
20594,ED-0FF031A4A6
20596,ED-5667338B95
20613,ED-E48427E70B
20616,ED-FA545845BD
20620,ED-168C77BF53
20691,ED-C8AC9EFDE3
20702,ED-B88EDCB9D8
20703,ED-3E4A7C6D14
20706,ED-950A2E43A1
20708,ED-10AC2C9770
20726,ED-A6AC8F1932
20863,ED-55BA1EC3B1
20869,ED-03A221788C
20874,ED-5120317E5C
20878,ED-BB067E575E
20880,ED-887686F032
20881,ED-BF0133A28A
20882,ED-B42D495623
20883,ED-4B2CF88816
20884,ED-2A3EBED4AC
20885,ED-04F85C9285
20886,ED-FC50D93ECA
20887,ED-F9BD3524D2
20888,ED-2A4C63DE6A
20889,ED-1F1143FDB9
20890,ED-F4CA2D5F61
20891,ED-0B11F9C7AB
20892,ED-B97FEC95BB
20893,ED-E6038536BB
21054,ED-92B3A3A283
21055,ED-BAE02DA05D
21056,ED-EF15B8DFFB
21057,ED-0AC8A9E091
21058,ED-D2F3A75A24
21067,ED-188B50DFFF
21068,ED-57440D879F
21069,ED-6F67B8246C
21088,ED-0396EF4D24
21093,ED-749C533C84
21095,ED-B489EBFA53
21105,ED-E3E0386A9B
21108,ED-82CC7A91E6
21110,ED-B88C730B65
21112,ED-E545864600
21116,ED-F64B1C6276
21117,ED-48E6A3ADC1
21123,ED-444624B8C4
21125,ED-C5789E10A6
21137,ED-108259142D
21138,ED-2424439935
21139,ED-8C6E56521D
21140,ED-46B82761B3
21141,ED-91FC2E918B
21142,ED-10B25B7E44
21143,ED-561E679354
21144,ED-BF0B64C455
21145,ED-03D78333F5
21146,ED-AC0B84A82E
21147,ED-CF06107B98
21148,ED-368F38029D
21149,ED-0B0C37F356
21150,ED-F642F46215
21151,ED-4C385DE525
21152,ED-B625773A8E
21153,ED-6C8F7A080D
21154,ED-E0D3E8E687
21156,ED-70EAA794D4
21161,ED-7964BDDC01
21162,ED-99B6A79AEB
21164,ED-02B23D3ACB
21166,ED-F489B40683
21167,ED-D265670EA2
21168,ED-4EC312A75E
21171,ED-66CD61BC02
21173,ED-D51227F7C4
21186,ED-0339C87E45
21192,ED-C4F35D2341
21196,ED-3A724D1089
21200,ED-1D7D308C3A
21208,ED-8E717318EE
21225,ED-07989028F7
21228,ED-17A35D9C3B
21229,ED-37D7B4349D
21232,ED-551DC12656
21235,ED-68EF0CAEC3
21239,ED-9C9DE29E43
21242,ED-E3B8494C81
21251,ED-67D7129BEC
21253,ED-57C657C57E
21290,ED-163AD6ECB0
21294,ED-CAFD81C656
21295,ED-D87470DA82
21301,ED-F919437B40
21302,ED-2DB2C6C0F2
21304,ED-9609CC7AD2
21311,ED-155101FF85
21319,ED-93094E880D
21327,ED-E2B214B1C4
21345,ED-1F84B8CAAE
21351,ED-98B21D0C69
21359,ED-8B44961760
21360,ED-422119C461
21372,ED-6C0CB7299A
21375,ED-6FEE729E73
21418,ED-0A446754BB
21421,ED-57C996D98E
21429,ED-62A1F72C2E
21430,ED-B0B906BE72
21433,ED-38530E418E
21435,ED-1753A38FD4
21440,ED-9112D316D2
21443,ED-85714AC5C1
21445,ED-9C9DB5FB8A
21465,ED-36FD05AD34
21468,ED-CE284E8ACA
21471,ED-A2F31C4A7A
21473,ED-4013559C09
21474,ED-EFABF5C532
21476,ED-05DFFB6666
21477,ED-757FD05DF8
21496,ED-AB6C296320
21522,ED-FDF9A8660F
21523,ED-DD6FD7BE7C
21526,ED-F0305716FE
21527,ED-ED1A43480B
21529,ED-1A8A621950
21531,ED-42971019A4
21552,ED-581CF5717A
21555,ED-7180A5876E
21561,ED-8694972FB0
21573,ED-0CD2B41A4E
21577,ED-AB9B1AC482
21578,ED-AC2EDDDEB1
21579,ED-943F1334D1
21580,ED-43E8CB55B3
21581,ED-0A92B6E69A
21582,ED-CD2B55A320
21583,ED-04DD8CB666
21584,ED-86172E4D54
21585,ED-47A0B0C49A
21586,ED-199D09FBE5
21587,ED-D46E150AB7
21588,ED-2E579086DB
21645,ED-59BA30057C
21646,ED-794819BED8
21647,ED-F22D9CFE36
21648,ED-4F434A7FF1
21649,ED-4A58833C3E
21650,ED-1E191D637E
21651,ED-B9E08C1D55
21652,ED-B3CA913507
21655,ED-E6D3720575
21662,ED-37AD976D96
21664,ED-A2164D81EB
21666,ED-294291ECBA
21667,ED-085214DA1E
21668,ED-B1C2191001
21669,ED-CF30EE3615
21670,ED-26FD032079
21671,ED-D3FC72DFFE
21672,ED-983F85A4BC
21673,ED-580F2C7B21
21674,ED-C619BB5029
21675,ED-31315A3DEC
21677,ED-8759651E23
21678,ED-DB97AC72F0
21680,ED-3181E3CD17
21681,ED-56BAA7D52E
21682,ED-6D0E982576
21683,ED-5FE429DE33
21684,ED-69FEDD1334
21685,ED-A7C86D720A
21689,ED-4F92444B13
21691,ED-12048B0B50
21693,ED-B88A7E641B
21700,ED-818E15FBEA
21702,ED-FBAAE0938B
21704,ED-41326C6D95
21710,ED-753827505A
21713,ED-1980C9FF2F
21716,ED-A542AB727D
