"edition_id","title_primary","platform"
"CAT-21818","Gekisou Sentai Carranger Zenkai! Racer Senshi;激走戦隊カーレンジャー 全開!レーサー戦士","Nintendo Super Famicom"
"CAT-21879","Super Bomberman;スーパーボンバーマン","Nintendo Super Famicom"
"CAT-22410","Front Mission;フロントミッション","Nintendo Super Famicom"
"CAT-22645","Nekketsu Tairiku Burning Heroes;熱血大陸 バーニング ヒーローズ","Nintendo Super Famicom"
"CAT-22861","Battle Pinball;バトルピンボール","Nintendo Super Famicom"
"CAT-22935","Dekitate High School;できたてハイスクール","Nintendo Super Famicom"
"CAT-23132","Bahamut Lagoon;バハムート ラグーン","Nintendo Super Famicom"
"CAT-23143","Natsuki Crisis Battle;なつきクライシスバトル","Nintendo Super Famicom"
"CAT-23153","Der Langrisser;デア ラングリッサー","Nintendo Super Famicom"
"CAT-23187","True Lies;トゥルーライズ","Nintendo Super Famicom"
"CAT-23188","Emerald Dragon;エメラルドドラゴン","Nintendo Super Famicom"
"CAT-23191","Super Trump Collection;スーパートランプコレクション","Nintendo Super Famicom"
"CAT-23243","Marmalade Boy;ママレード・ボーイ","Nintendo Super Famicom"
"CAT-23254","Aretha;アレサ","Nintendo Super Famicom"
"CAT-23259","Albert Odyssey;アルバートオデッセイ","Nintendo Super Famicom"
"CAT-23734","Snoopy Concert;スヌーピーコンサート","Nintendo Super Famicom"
"CAT-23830","Touge Densetsu Saisoku Battle;峠・伝説 最速バトル","Nintendo Super Famicom"
"CAT-23880","Super Famicom Wars;スーパーファミコンウォーズ","Nintendo Super Famicom"
"CAT-23883","Genjuu Ryodan;幻獣旅団","Nintendo Super Famicom"
"CAT-23888","Super Punch-Out!!;スーパーパンチアウト！！","Nintendo Super Famicom"
"CAT-23923","Doom;ドゥーム","Nintendo Super Famicom"
"CAT-23935","Tekichuu Keiba Juku;的中競馬塾","Nintendo Super Famicom"
"CAT-23989","Nangoku Shounen Papuwa-kun;南国少年パプワくん","Nintendo Super Famicom"
