object_number,platform_raw_first,platform_norm,title_primary,title_norm,title_norm_source,title_aliases,region_norm,language_norm
9210,Nintendo Super Famicom,SFC,3x3 Eyes Sazanaizu Seima Kourinden,3x3 Eyes Sazanaizu Seima Kourinden,primary_ascii,3x3 Eyes サザンアイズ 聖魔降臨伝|三只眼 聖魔降臨伝|3 x 3 Eyes Sazanaizu Seima Kourinden,NTSC-J,ja
9211,Nintendo Super Famicom,SFC,Star Fox,Star Fox,primary_ascii,スターフォックス|Starwing,NTSC-J,ja
9212,Nintendo Super Famicom,SFC,Super Famista 2,Super Famista 2,primary_ascii,スーパーファミスタ2,NTSC-J,ja
9218,Nintendo Super Famicom,SFC,Hiryu no Ken S Hyper Version,Hiryu no Ken S Hyper Version,primary_ascii,ハイパーバージョン 飛龍の拳S|Hiryu no Ken S Golden Fighter Hyper Version,NTSC-J,ja
9220,Nintendo Super Famicom,SFC,Jikkyou World Soccer Perfect Eleven,Jikkyou World Soccer Perfect Eleven,primary_ascii,実況ワールドサッカー パーフェクトイレブン|International Superstar Soccer,NTSC-J,ja
9221,Nintendo Super Famicom,SFC,Hyper Zone,Hyper Zone,primary_ascii,ハイパーゾーン,NTSC-J,ja
9222,Nintendo Super Famicom,SFC,Fighter's History,Fighter's History,primary_ascii,ファイターズヒストリー,NTSC-J,ja
9223,Nintendo Super Famicom,SFC,Front Mission Gun Hazard,Front Mission Gun Hazard,primary_ascii,フロントミッションシリーズ ガンハザード,NTSC-J,ja
9224,Nintendo Super Famicom,SFC,Ace o Nerae!,Ace o Nerae!,primary_ascii,エースをねらえ！|Aim for the Ace!,NTSC-J,ja
9225,Nintendo Super Famicom,SFC,Emerald Dragon,Emerald Dragon,primary_ascii,エメラルドドラゴン|Emerald Dragon ED,NTSC-J,ja
9226,Nintendo Super Famicom,SFC,BattleTech,BattleTech,primary_ascii,バトルテック|Mechwarrior,NTSC-J,ja
9227,Nintendo Super Famicom,SFC,Super Birdie Rush,Super Birdie Rush,primary_ascii,スーパーバーディラッシュ,NTSC-J,ja
9228,Nintendo Super Famicom,SFC,Dragon Quest III Soshite Densetsu he...,Dragon Quest III Soshite Densetsu he...,primary_ascii,ドラゴンクエストIII そして伝説へ…|Dragon Quest 3 Soshite Densetsu he...|Dragon Quest III The Seeds of Salvation|Dragon Warrior III,NTSC-J,ja
9229,Nintendo Super Famicom,SFC,Magic Knight Rayearth Mahou Kishi,Magic Knight Rayearth Mahou Kishi,primary_ascii,マジックナイト レイアース 魔法騎士|Mahou Kishi Rayearth,NTSC-J,ja
9230,Nintendo Super Famicom,SFC,CB Chara Wars Ushinawareta Gag,CB Chara Wars Ushinawareta Gag,primary_ascii,CBキャラウォーズ 失われたギャ〜グ,NTSC-J,ja
9231,Nintendo Super Famicom,SFC,Ashita no Joe,Ashita no Joe,primary_ascii,あしたのジョー|Tomorrow's Joe,NTSC-J,ja
9232,Nintendo Super Famicom,SFC,Der Langrisser,Der Langrisser,primary_ascii,デア ラングリッサー,NTSC-J,ja
9233,Nintendo Super Famicom,SFC,SD Kidou Senshi Gundam 2,SD Kidou Senshi Gundam 2,primary_ascii,SD機動戦士ガンダム2,NTSC-J,ja
9234,Nintendo Super Famicom,SFC,Rockman X2,Rockman X2,primary_ascii,ロックマンエックス2|Rock Man X2|Mega Man X2,NTSC-J,ja
9235,Nintendo Super Famicom,SFC,Rockman X,Rockman X,primary_ascii,ロックマンエックス|Rock Man X|Mega Man X,NTSC-J,ja
9242,Nintendo Super Famicom,SFC,SD The Great Battle Aratanaru Chousen,SD The Great Battle Aratanaru Chousen,primary_ascii,SD ザ・グレイトバトル 新たなる挑戦,NTSC-J,ja
9243,Nintendo Super Famicom,SFC,Kaizou Shubibinman Zero,Kaizou Shubibinman Zero,primary_ascii,改造町人シュビビンマン零|Cyber Citizen Shockman Zero,NTSC-J,ja
9244,Nintendo Super Famicom,SFC,Dragon Slayer Eiyuu Densetsu,Dragon Slayer Eiyuu Densetsu,primary_ascii,ドラゴンスレイヤー英雄伝説|Dragon Slayer The Legend of Heroes,NTSC-J,ja
9245,Nintendo Super Famicom,SFC,Bike Daisuki! Hashiriya Tamashii Rider's-Spirits,Bike Daisuki! Hashiriya Tamashii Rider's-Spirits,primary_ascii,バイク大好き！走り屋 魂|Bike Daisuki! Hashiriya Tamashii Rider's Spirits|Bike Daisuki! Hashiriya Kon Rider's Spirits|Bike Daisuki Hashiri ya Tamashii|Bike Daisuki! Hashiriya Damashii,NTSC-J,ja
9246,Nintendo Super Famicom,SFC,Heracles no Eikou III Kamigami no Chinmoku,Heracles no Eikou III Kamigami no Chinmoku,primary_ascii,ヘラクレスの栄光III 神々の沈黙|Herakles no Eikou III Kamigami no Chinmoku|Heracles no Eikou 3 Kamigami no Chinmoku|The Glory of Heracles 3 Silence of the Gods,NTSC-J,ja
