edition_id,title_primary,platform,region
ED-FDCB5C2C2E,Actraiser,SNES,UNKNOWN
ED-36A0C92680,Addams Family Values,SNES,PAL
ED-407F7C78B2,Addams Family Values,SNES,UNKNOWN
ED-06D8B00CA6,Advanced Dungeons & Dragons Eye of the Beholder,SFC,NTSC-J
ED-D814C3FB44,Aero the Acro-Bat,SNES,PAL
ED-2D3EB4ACD1,Aero the Acro-Bat,SNES,UNKNOWN
ED-0796957B17,Aguri Suzuki F-1 Super Driving,SNES,PAL
ED-48435C0FDF,Aguri Suzuki F-1 Super Driving,SNES,UNKNOWN
ED-B7C4DC0FCB,Aguri Suzuki F1 Super Driving,SNES,PAL
ED-F9149F3A5E,Aguri Suzuki F1 Super Driving,SNES,UNKNOWN
ED-BC2A1962E8,Aguri Suzuki no F-1 Super Driving,SFC,NTSC-J
ED-8E234C877A,Air Management II Koukuu Ou o Mezase,SFC,NTSC-J
ED-632F5E54CF,Air Management Oozora ni Kakeru,SFC,NTSC-J
ED-339DEDD026,Akagawa Jirou Majotachi no Nemuri,SFC,NTSC-J
ED-605A35406F,Akazukin Cha Cha,SFC,NTSC-J
ED-A27E4F6E4A,Akumajou Dracula,SFC,NTSC-J
ED-1D145A8908,Akumajou Dracula XX,SFC,NTSC-J
ED-B8F556A2E3,Albert Odyssey,SFC,NTSC-J
ED-A39C213C26,Albert Odyssey 2 Jashin no Taidou,SFC,NTSC-J
ED-BFA51664E0,Alcahest,SFC,NTSC-J
ED-5407FFAB1C,"Alfa Data OMM-MT Mouse for Amiga, Atari",AMIGA,UNKNOWN
ED-A27F0BD0FB,Alice no Paint Adventure,SFC,NTSC-J
ED-E339A3AED6,Alien 3,SFC,NTSC-J
ED-3B23936F59,Alien 3,SNES,NTSC-U
ED-5EC2E8846D,Alien 3,SNES,PAL
ED-99882E7047,Alien 3,SNES,UNKNOWN
ED-EDB510C054,Aliens vs. Predator,SFC,NTSC-J
ED-048BA8990A,Ambrosia RC AeroChopper R/C Flight Simulation System,AMIGA,UNKNOWN
ED-33A2B21FE1,America Oudan Ultra Quiz,SFC,NTSC-J
ED-C0327142EC,American Battle Dome,SFC,NTSC-J
ED-3982877A3E,Amiga 2000,AMIGA,UNKNOWN
ED-AF8F9A1DE6,"Amiga 500, Special Badge, European Computer of the Year Award",AMIGA,UNKNOWN
ED-618050D1CC,Ancient Magic Bazoo! Mahou Sekai,SFC,NTSC-J
ED-C5789E10A6,Andre Agassi Tennis,SFC,NTSC-J
ED-E06C03F55F,Angelique,SFC,NTSC-J
ED-24A203372F,Angelique Premium Box,SFC,NTSC-J
ED-63800E73CD,Angelique Voice Fantasy with Voicer-kun,SFC,NTSC-J
ED-2B4EACF82B,Animal Buranden Brutal,SFC,NTSC-J
ED-EEACDDC17E,Animaniacs,SFC,NTSC-J
ED-A5B1FE8FC1,Another World,SNES,PAL
ED-A100A27BDA,Another World,SNES,UNKNOWN
ED-52B79BBCF3,Aoki Densetsu Shoot!,SFC,NTSC-J
ED-6F84144A16,Appleseed Prometheus no Shintaku,SFC,NTSC-J
ED-4FCD61E498,Aqutallion,SFC,NTSC-J
ED-82FDEF08F5,Arabian Nights Sabaku no Seirei Ou,SFC,NTSC-J
ED-A3AE975B64,Araiguma Rascal,SFC,NTSC-J
ED-1FA24A3D18,Archer Maclean's Super Dropzone,SNES,PAL
ED-6756E51EEE,Archer Maclean's Super Dropzone,SNES,UNKNOWN
ED-FE550E5837,Arcus Spirits,SFC,NTSC-J
ED-637C6042A0,Ardy Lightfoot,SFC,NTSC-J
ED-24824D5D8E,Ardy Lightfoot,SNES,PAL
ED-012CBD8489,Ardy Lightfoot,SNES,UNKNOWN
ED-54BA8ED2A9,Area 88,SFC,NTSC-J
ED-4E7BE0BA25,Aretha,SFC,NTSC-J
ED-E4A256AC2C,Aretha Gaiden Rejoice Aretha Oukoku no Kanata,SFC,NTSC-J
ED-69E1E215F2,Aretha II Ariel no Fushigi na Bouken,SFC,NTSC-J
ED-785AEEB754,Aretha II Ariel no Fushigi na Tabi,SFC,NTSC-J
ED-79651A1423,Arkanoid,SNES,PAL
ED-345D4DAC47,Arkanoid,SNES,UNKNOWN
ED-CD2FD70108,Arkanoid Doh It Again,SFC,NTSC-J
ED-F43D543996,Art of Fighting,SNES,PAL
ED-4459DEEFE3,Art of Fighting,SNES,UNKNOWN
ED-7D80EC507D,Asahi Shinbun Rensai Katou Ichi-Ni-San Shougi Shingiryuu,SFC,NTSC-J
ED-33EE88F60C,Asameshimae Nyanko,SFC,NTSC-J
ED-327F563129,"Ascii Capcom Pad Soldier CP-S01CAN, Controller",SFC,NTSC-J
ED-3E3A0090EB,"Ascii Grip ASC-0401J, Controller, アスキーグリップ",SFC,PAL
ED-F7B11FE090,"Ascii Grip ASC-0401J, Derby Stallion cover, Controller, アスキーグリップ",SFC,PAL
ED-205FF8200C,"Ascii Turbo File Twin, Game Save Memory",SFC,NTSC-J
ED-BF48C72249,Asciiware Fighter Stick SN,SNES,UNKNOWN
ED-C32D5D669B,Ashita no Joe,SFC,NTSC-J
ED-E48D6C840A,Assassin's Creed Bloodlines,PS,UNKNOWN
ED-52E5296F94,Assault Suits Valken,SFC,NTSC-J
ED-639E1F0424,Assault Suits Valken,SNES,UNKNOWN
ED-0142A07D40,Assault Suits Valken Deluxe Edition,SNES,UNKNOWN
ED-A62C23262D,Astérix,SNES,PAL
ED-0571E31AD8,Astérix,SNES,UNKNOWN
ED-429C22182F,Astérix & Obelix,SNES,PAL
ED-84829203E3,Astérix & Obelix,SNES,UNKNOWN
ED-E1FA6055FA,Astérix & Obélix,SNES,PAL
ED-643B7FD542,Astérix & Obélix,SNES,UNKNOWN
ED-741B339B55,"Aura Interactor, Force-feedback device",PS,PAL
ED-674C2EA3DC,"Aura Interactor, Force-feedback device",PS,UNKNOWN
ED-6514D9FE6C,"Aura Interactor, Force-feedback device",SFC,NTSC-J
ED-AF38150AF1,Ax Battler A Legend of Golden Axe,GG,PAL
ED-F6D8CE2B24,Ax Battler Golden Axe Densetsu,GG,NTSC-J
ED-1A20A181F4,Ax Battler Legend of Golden Axe,GG,UNKNOWN
ED-0986150C84,Axelay,SFC,NTSC-J
ED-9CC500511D,Axelay,SNES,PAL
ED-14EF901436,Axelay,SNES,UNKNOWN
ED-A3DD24E417,B.O.B.,SNES,PAL
ED-C5E269E870,B.O.B.,SNES,UNKNOWN
ED-774512F012,Bahamut Lagoon,SFC,NTSC-J
ED-453E3950FC,Bakukyu Rennpatsu!! Super B-Daman,SFC,NTSC-J
ED-8759651E23,Bakumatsu Kourinden Oni,SFC,NTSC-J
ED-98B21D0C69,Bakutou Dodgers Bumps Shima wa Oosawagi,SFC,NTSC-J
ED-B0B906BE72,Ball Bullet Gun Survival Game Simulation,SFC,NTSC-J
ED-33B10CA1D9,Barbarossa,SFC,NTSC-J
ED-6F27643AAC,Barkley Shut Up and Jam!,SNES,PAL
ED-E93D86DD2E,Barkley Shut Up and Jam!,SNES,UNKNOWN
ED-13BE1ED136,Barkley's Power Dunk,SFC,NTSC-J
ED-A60DD43587,Baseball Stars Professional,NEO-AES,UNKNOWN
ED-F489B40683,Bass Masters Classic,SFC,NTSC-J
ED-04F85C9285,Bastard!! Ankoku no Hakaishin,SFC,NTSC-J
ED-4E43956EE9,Batman Forever,SFC,NTSC-J
ED-E5C901FA4C,Batman Forever,SNES,PAL
ED-952A7399F4,Batman Forever,SNES,UNKNOWN
ED-8162F347A1,Batman Returns,SFC,NTSC-J
ED-379BCC5DC9,Battle Blaze,SFC,NTSC-J
ED-E6274B2AC3,Battle Clash,SNES,PAL
ED-3B9C88B1DC,Battle Clash,SNES,UNKNOWN
ED-6F4186A91F,Battle Commander Hachibushuu Shura no Heihou,SFC,NTSC-J
ED-9FE8DE6F57,Battle Cross,SFC,NTSC-J
ED-D6FDC6B9CE,Battle Dodge Ball II,SFC,NTSC-J
ED-360A319C17,Battle Dodgeball,SFC,NTSC-J
ED-F4BDE8C513,Battle Grand Prix,SFC,NTSC-J
ED-1173C90561,Battle Jockey,SFC,NTSC-J
ED-5F0B48ECF8,Battle Master Kyuukyoku no Senshitachi,SFC,NTSC-J
ED-D13E25D7A5,Battle Pinball,SFC,NTSC-J
ED-689CC9DBF1,Battle Racers,SFC,NTSC-J
ED-661405228E,Battle Robot Retsuden,SFC,NTSC-J
ED-7910EF78D6,Battle Soccer 2,SFC,NTSC-J
ED-46B82761B3,Battle Soccer Field no Hasha,SFC,NTSC-J
ED-79025D97D1,Battle Submarine,SFC,NTSC-J
ED-D1D12C2D4C,Battle Tycoon Flash Hiders SFX,SFC,NTSC-J
ED-57440D879F,Battle Zeque Den,SFC,NTSC-J
ED-51453F0C54,BattleTech,SFC,NTSC-J
ED-6C021ADA57,BattleTech Solid 3D Simulation of Mech Combat,SFC,NTSC-J
ED-AFC4863360,Battletoads Double Dragon,SNES,PAL
ED-6BC9D2F31F,Battletoads Double Dragon,SNES,UNKNOWN
ED-0278BE5743,Battletoads In Battlemaniacs,SFC,NTSC-J
ED-E5B79B88F3,Battletoads in Battlemaniacs,SNES,PAL
ED-4FA26DFA0B,Battletoads in Battlemaniacs,SNES,UNKNOWN
ED-5F5B2A4739,Benkei Gaiden Suna no Shou,SFC,NTSC-J
ED-CF30EE3615,Best Shot Pro Golf,SFC,NTSC-J
ED-D042255AD6,Best of the Best Championship Karate,SNES,NTSC-U
ED-BE5C8687D6,Best of the Best Championship Karate,SNES,PAL
ED-B8083D8461,Best of the Best Championship Karate,SNES,UNKNOWN
ED-817C758902,Beware the Ultimate Evil of Warlock,SFC,NTSC-J
ED-C55D06E4C2,Big Ichigeki! Pachi Slot Daikouryaku 2 Universal Collection,SFC,NTSC-J
ED-D251550D6E,Big Ichigeki! Pachislot Daikouryaku,SFC,NTSC-J
ED-C141DDB073,Big Ichigeki! Pachislot Daikouryaku 2 Universal Collection,SFC,NTSC-J
ED-3CC768BA95,Big Run The Supreme 4WD Challenge,SFC,NTSC-J
ED-F853F864F0,Big Sky Trooper,SNES,NTSC-U
ED-DF48ED0964,Big Sky Trooper,SNES,UNKNOWN
ED-88F1355ACA,Bijo to Yajuu,SFC,NTSC-J
ED-F8A346CDD8,Bike Daisuki Hashiri ya Tamashii,SFC,NTSC-J
ED-6FF0670F24,Bike Daisuki! Hashiriya Tamashii Rider's-Spirits,SFC,NTSC-J
ED-C623EC13BC,Bing Bing! Bingo,SFC,NTSC-J
ED-1792009879,Bio Metal,SFC,NTSC-J
ED-57B88956E6,Birds of Prey,AMIGA,UNKNOWN
ED-3E4A7C6D14,Bishin Densetsu Zoku,SFC,NTSC-J
ED-8D771CE326,Bishoujo Janshi Suchie-Pai,SFC,NTSC-J
ED-45722866F8,Bishoujo Janshi Suchii-Pie,SFC,NTSC-J
ED-0A8375E78B,Bishoujo Senshi Sailor Moon,SFC,NTSC-J
ED-766AFFEDDB,Bishoujo Senshi Sailor Moon Another Story,SFC,NTSC-J
ED-1E2A5E8762,Bishoujo Senshi Sailor Moon R,SFC,NTSC-J
ED-289707EA64,Bishoujo Senshi Sailor Moon S Jousai Rantou! Shuyaku Shudatsusen,SFC,NTSC-J
ED-C2649D28AD,Bishoujo Senshi Sailor Moon S Kondo ha Puzzle de Oshioki yo!!,SFC,NTSC-J
ED-925A9D2B33,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,SFC,NTSC-J
ED-0962D9CA0E,Bishoujo Senshi Sailor Moon S Kurukku-rin,SFC,NTSC-J
ED-3124653E3D,Bishoujo Senshi Sailor Moon Sailor Stars Fuwa Fuwa Panic 2 Gentei Set,SFC,NTSC-J
ED-6B2718113A,Bishoujo Senshi Sailor Moon Super S Fuwa Fuwa Panic,SFC,NTSC-J
ED-2E579086DB,Bishoujo Senshi Sailor Moon Super S Zenin Sanka!! Shuyaku Soudatsusen,SFC,NTSC-J
ED-D29D7A1806,Bishoujo Senshi Sailor Moon SuperS Fuwa Fuwa Panic,SFC,NTSC-J
ED-BB067E575E,Bishoujo Wrestler Retsuden Blizzard Yuki Rannyuu!!,SFC,NTSC-J
ED-629CE31823,BlaZeon,SFC,NTSC-J
ED-D65451B400,Blackhawk,SNES,PAL
ED-2410515907,Blackhawk,SNES,UNKNOWN
ED-A81D052EC2,Blackthorne Fukushuu no Kuroki Kyoku,SFC,NTSC-J
ED-DDC7355AB9,Blazing Skies,SNES,PAL
ED-7E98114AE3,Blazing Skies,SNES,UNKNOWN
ED-49B15B62A5,Block Kuzushi,SFC,NTSC-J
ED-671E1781F6,Bokujou Monogatari,SFC,NTSC-J
ED-4740D25C0B,Bomberman B-Daman,SFC,NTSC-J
ED-DA38451B09,Bombuzal,SFC,NTSC-J
ED-2A9EB8E32F,Boogerman A Pick and Flick Adventure,SNES,PAL
ED-1E8EB16774,Boogerman A Pick and Flick Adventure,SNES,UNKNOWN
ED-E7B8181A22,Bounty Sword,SFC,NTSC-J
ED-216A2250DA,Brain Lord,SFC,NTSC-J
ED-47E94920E3,Bram Stoker's Dracula,SNES,NTSC-U
ED-31D3296221,Bram Stoker's Dracula,SNES,UNKNOWN
ED-D9E4986C68,Brandish,SFC,NTSC-J
ED-1730C1436E,Brandish 2 Expert,SFC,NTSC-J
ED-7C85960364,Brandish 2 The Planet Buster,SFC,NTSC-J
ED-33DBAD52E0,Breath of Fire,SNES,NTSC-U
ED-6219810DB2,Breath of Fire,SNES,UNKNOWN
ED-060947E643,Breath of Fire 2 Shimei no Ko,SFC,NTSC-J
ED-79F654059F,Breath of Fire II,SNES,NTSC-U
ED-8890A70C65,Breath of Fire II,SNES,PAL
ED-CC7D56544F,Breath of Fire II,SNES,UNKNOWN
ED-8537894E28,Breath of Fire II Shimei no Ko,SFC,NTSC-J
ED-268D6A6F70,Breath of Fire Ryuu no Senshi,SFC,NTSC-J
ED-F6BD638200,Brett Hull Hockey,SNES,PAL
ED-DB5BC547AC,Brett Hull Hockey,SNES,UNKNOWN
ED-0C47289DD7,Bubsy In: Claws Encounters of the Furred Kind,SNES,PAL
ED-56B6DC9B81,Bubsy In: Claws Encounters of the Furred Kind,SNES,UNKNOWN
ED-B8B0524546,Bugs Bunny Rabbit Rampage,SNES,PAL
ED-4A2C34FADA,Bugs Bunny Rabbit Rampage,SNES,UNKNOWN
ED-031A864561,Burai Hachigyoku no Yuushi Densetsu,SFC,NTSC-J
ED-B5972DAE4E,Bushi Seiryuuden Futari no Yuusha,SFC,NTSC-J
ED-272A51FD6E,CB Chara Wars Ushinawareta Gag,SFC,NTSC-J
ED-BF8F1B5753,Cacoma Knight,SFC,NTSC-J
ED-413D2BA6F9,California Games II,SFC,NTSC-J
ED-25FCB4B0E0,Cameltry,SFC,NTSC-J
ED-0637D9C201,Cannon Fodder,SNES,PAL
ED-662FB95D4A,Cannon Fodder,SNES,UNKNOWN
ED-4430907DC8,"Capcom Power Stick Fighter Cordless Adapter, Wireless Receiver, カプコン・パワー・スティック・ファイターのコードレス",FAMICOM,NTSC-J
ED-99F56FCE0C,Captain Commando,SFC,NTSC-J
ED-8FDB033F4D,Captain Tsubasa III Koutei no Chousen,SFC,NTSC-J
ED-211310F8A1,Captain Tsubasa IV Pro no Rival Tachi,SFC,NTSC-J
ED-7A1304C99A,Captain Tsubasa IV Pro no Rival-tachi,SFC,NTSC-J
ED-D6D5460331,Captain Tsubasa J The Way to World Youth,SFC,NTSC-J
ED-97AF684BDA,Captain Tsubasa V Hasha no Shougou Campione,SFC,NTSC-J
ED-52489962BF,Caravan Shooting Collection,SFC,NTSC-J
ED-70CB5E2D94,Carrier Aces,SFC,NTSC-J
ED-93585EECE9,Carrier Aces,SNES,PAL
ED-FFC4AF8D37,Carrier Aces,SNES,UNKNOWN
ED-41326C6D95,Casper,SFC,NTSC-J
ED-529F5F66A1,Castlevania Vampire's Kiss,SNES,PAL
ED-78F636142A,Castlevania Vampire's Kiss,SNES,UNKNOWN
ED-36F3AF038F,Castlevania Vampires Kiss,SNES,PAL
ED-64DF2425B0,Castlevania Vampires Kiss,SNES,UNKNOWN
ED-49DF42497E,Champions,AMIGA,UNKNOWN
ED-787A1EE240,Champions World Class Endorsed by PSG,SNES,PAL
ED-0AC0723FE2,Champions World Class Endorsed by PSG,SNES,UNKNOWN
ED-EB7BD0365F,Champions World Class Soccer,SFC,NTSC-J
ED-B202D9AA38,Chaos Seed Fuusui Kairouki,SFC,NTSC-J
ED-621A0C64ED,Chibi Maruko Chan Mezase! Minami no Island!!,SFC,NTSC-J
ED-2F3A835817,Chibi Maruko-chan Harikiri 365 Nichi no Maki,SFC,NTSC-J
ED-358CA6C310,Chinhai,SFC,NTSC-J
ED-567222D85B,Choplifter III,SNES,PAL
ED-DC2B461118,Choplifter III,SNES,UNKNOWN
ED-CC4A6BEC66,Choplifter III Rescue Survive,SFC,NTSC-J
ED-4ACCB7F53C,Choplifter III Rescue Survive,SNES,PAL
ED-04B349EDD1,Choplifter III Rescue Survive,SNES,UNKNOWN
ED-CC1E09F9B6,Chou Godzilla,SFC,NTSC-J
ED-E4E368C3FE,Chou Mahou Tairiku Wozz,SFC,NTSC-J
ED-0A9E3ABA31,Chou Makai Taisen! Dorabocchan,SFC,NTSC-J
ED-38CE7F15D5,Chou Makai Taisen! Dorabotchan,SFC,NTSC-J
ED-5E460050A7,Chouaniki Bakuretsu Rantou Hen,SFC,NTSC-J
ED-A85F2BEFF6,Choukou Goukami Xardion,SFC,NTSC-J
ED-55B938E2FE,Chrono Trigger,SFC,NTSC-J
ED-1609C0AA80,Chrono Trigger,SNES,NTSC-U
ED-26F1EE90B9,Chrono Trigger,SNES,UNKNOWN
ED-F7F03582FB,Chuck Rock,SNES,NTSC-U
ED-CDD0CD28D1,Chuck Rock,SNES,UNKNOWN
ED-1EE49F1064,Circuit USA,SFC,NTSC-J
ED-118150D4F0,Civilization Sekai Shichi Daibunmei,SFC,NTSC-J
ED-AF69B2E790,Classic Road,SFC,NTSC-J
ED-FC4B47C606,Classic Road II,SFC,NTSC-J
ED-451FC8BADB,Clay Fighter 2 Judgment Clay,SNES,PAL
ED-90E4EE23EE,Clay Fighter 2 Judgment Clay,SNES,UNKNOWN
ED-F6648C2F41,ClayFighter,SNES,PAL
ED-6EFC1D78FC,ClayFighter,SNES,UNKNOWN
ED-22C2CB575E,Clayfighter,SNES,PAL
ED-CA823CE580,Clayfighter,SNES,UNKNOWN
ED-67B9CF2AEF,Claymates,SNES,PAL
ED-6C0C03FF1A,Claymates,SNES,UNKNOWN
ED-FD604865EB,Cliffhanger,SNES,PAL
ED-5BA6CEC4D4,Cliffhanger,SNES,UNKNOWN
ED-804D5BD1AE,Clock Tower,SFC,NTSC-J
ED-8694972FB0,Clock Works,SFC,NTSC-J
ED-E33ED4105A,Columns,SFC,NTSC-J
ED-1179EBF1F2,Computer Nouryoku Kaiseki Ultra Baken,SFC,NTSC-J
ED-53B4376663,Conflict The Middle East Simulation,AMIGA,UNKNOWN
ED-7A046F09A6,Contra Spirits,SFC,NTSC-J
ED-1DDFE19893,Conveni Wars Barcode Battler Senki Super Senshi Shutsugeki Seyo!,SFC,NTSC-J
ED-7AAF33512D,Cool Spot,SFC,NTSC-J
ED-23E1FEFC97,Cool Spot,SNES,PAL
ED-D40BD8AEE4,Cool Spot,SNES,UNKNOWN
ED-67CE87D13E,Cool World,SNES,NTSC-U
ED-5E813A01D2,Cool World,SNES,UNKNOWN
ED-370861F3CC,Coron Land,SFC,NTSC-J
ED-EAE1E3568E,Cosmo Gang The Puzzle,SFC,NTSC-J
ED-BAEB87810C,Cosmo Gang The Video,SFC,NTSC-J
ED-66CD61BC02,Cosmo Police Galivan II Arrow of Justice,SFC,NTSC-J
ED-6DA252D5DB,Crayon Shin-chan 2 Daimaou no Gyakushuu,SFC,NTSC-J
ED-B650D05825,Crayon Shin-chan Arashi wo Yobu Enji,SFC,NTSC-J
ED-A2FC608BA9,Crayon Shin-chan Nagagutsu Dobon!!,SFC,NTSC-J
ED-D3491665C1,Crystal Beans From Dungeon Explorer,SFC,NTSC-J
ED-E184FD04EE,Cu On Pa,SFC,NTSC-J
ED-A7CF98A9DC,Cutthroat Island,SNES,PAL
ED-B84E663810,Cutthroat Island,SNES,UNKNOWN
ED-FE2EC543CB,Cyber Knight,SFC,NTSC-J
ED-EECC45A5FF,Cyber Knight II Chikyuu Teikoku no Yabou,SFC,NTSC-J
ED-2DDF7759B6,Cyber Spin,SNES,NTSC-U
ED-7CDE1DD38A,Cyber Spin,SNES,UNKNOWN
ED-98208D66F5,Cybernator,SNES,NTSC-U
ED-7E1C366044,Cybernator,SNES,UNKNOWN
ED-D05B0C25F3,Cyborg 009,SFC,NTSC-J
ED-6C4F6B57CE,D-Force,SNES,NTSC-U
ED-850C9A8393,D-Force,SNES,UNKNOWN
ED-1D8C84B51A,Daffy Duck The Marvin Missions,SNES,PAL
ED-AB07DE3321,Daffy Duck The Marvin Missions,SNES,UNKNOWN
ED-F34D520B54,Dai 3 Ji Super Robot Taisen,SFC,NTSC-J
ED-C2EFA9E0FB,Dai 4 Ji Super Robot Taisen,SFC,NTSC-J
ED-9863EC601C,Dai Bakushou Jinsei Gekijou,SFC,NTSC-J
ED-E545864600,Dai Bakushou Jinsei Gekijou Dokidoki Seishun Hen,SFC,NTSC-J
ED-D228907965,Dai Bakushou Jinsei Gekijou Ooedo Nikki,SFC,NTSC-J
ED-62A1F72C2E,Dai Bakushou Jinsei Gekijou Zukkoke Salary Man Hen,SFC,NTSC-J
ED-1AC8339E70,Dai Koukai Jidai II,SFC,NTSC-J
ED-86CA2FACD5,Dai Senryaku Expert,SFC,NTSC-J
ED-9885A3351B,Daibakushou Jinsei Gekijou,SFC,NTSC-J
ED-AD8079FF2C,Daikaijuu Monogatari,SFC,NTSC-J
ED-9C9DB5FB8A,Daikaijuu Monogatari II,SFC,NTSC-J
ED-AC0B84A82E,Daikoukai Jidai II,SFC,NTSC-J
ED-04EDF45466,Darius Force,SFC,NTSC-J
ED-B2A1BBA3FA,Darius Twin,SFC,NTSC-J
ED-B7CD5F4294,Darius Twin,SNES,NTSC-U
ED-84389D2DCF,Darius Twin,SNES,PAL
ED-336447270F,Darius Twin,SNES,UNKNOWN
ED-A1A5B728EF,Dark Half,SFC,NTSC-J
ED-FA545845BD,Dark Kingdom,SFC,NTSC-J
ED-E07E98D285,Dark Law Meaning Of Death,SFC,NTSC-J
ED-C544709209,Das Dschungelbuch,SNES,PAL
ED-D9CAAF08DF,Das Dschungelbuch,SNES,UNKNOWN
ED-C83909426C,Data East Classic Collection,SNES,UNKNOWN
ED-294937C26D,Date Kimiko no Virtual Tennis,SFC,NTSC-J
ED-A86EF6442F,Datel Pro Action Replay 2 for the Super NES,SNES,PAL
ED-531A508047,Datel Pro Action Replay 2 for the Super NES,SNES,UNKNOWN
ED-1D85191A15,David Crane's Amazing Tennis,SFC,NTSC-J
ED-11FAACFFF9,De Smurfen,SNES,PAL
ED-0051876651,De Smurfen,SNES,UNKNOWN
ED-D6CBDE4C2A,Dead Dance,SFC,NTSC-J
ED-48753FF925,Deae Tonosama Appare Ichiban,SFC,NTSC-J
ED-B637C07963,Dear Boys,SFC,NTSC-J
ED-A5FBC97A14,Dekitate High School,SFC,NTSC-J
ED-464FAA075C,Demolition Man,SNES,PAL
ED-8FB9F5AA84,Demolition Man,SNES,UNKNOWN
ED-742AD86451,Demon's Blazon Makaimura Monshou Hen,SFC,NTSC-J
ED-981A5B0AAD,Demon's Crest,SNES,NTSC-U
ED-9D2EC161D1,Demon's Crest,SNES,UNKNOWN
ED-20C4C24E3E,Dennis,SNES,PAL
ED-EC1223785F,Dennis,SNES,UNKNOWN
ED-FB70E5E8A3,Densetsu no Ogre Battle,SFC,NTSC-J
ED-752336269C,Densetsu no Ogre Battle The March of the Black Queen,SFC,NTSC-J
ED-57CDDE896A,Der König Der Löwen,SNES,PAL
ED-5EEA2521EC,Der König Der Löwen,SNES,UNKNOWN
ED-D125BE3BEF,Der Langrisser,SFC,NTSC-J
ED-0E73448133,Der Rasenmäher-Mann,SNES,PAL
ED-3D70F500E6,Der Rasenmäher-Mann,SNES,UNKNOWN
ED-303B4C2F24,Derby Jockey 2,SFC,NTSC-J
ED-B3C3EFC305,Derby Jockey Kishu Ou he no Michi,SFC,NTSC-J
ED-2B479A4F32,Derby Stallion 96,SFC,NTSC-J
ED-B7591C98EB,Derby Stallion 98,SFC,NTSC-J
ED-950A2E43A1,Derby Stallion II,SFC,NTSC-J
ED-C582909E98,Derby Stallion III,SFC,NTSC-J
ED-CFA350A0EB,Desert Fighter,SNES,PAL
ED-37142B129E,Desert Fighter,SNES,UNKNOWN
ED-E255F27DBD,Desert Fighter Suna no Arashi Sakusen,SFC,NTSC-J
ED-DE6EF11DED,Desert Strike Return to the Gulf,SNES,PAL
ED-23ADEDE9FE,Desert Strike Return to the Gulf,SNES,UNKNOWN
ED-E7DD853280,Desert Strike Wangan Sakusen,SFC,NTSC-J
ED-6682AEC758,Destructive,SFC,NTSC-J
ED-F0D2BFBAEB,Dharma Doujou,SFC,NTSC-J
ED-E734D914F5,Die Schlümpfe,SNES,PAL
ED-92F38CB368,Die Schlümpfe,SNES,UNKNOWN
ED-F4D0ED6CC3,Dimension Force,SFC,NTSC-J
ED-2C5FA1C72B,Dino Dini's Soccer,SNES,PAL
ED-A4C4EF5D21,Dino Dini's Soccer,SNES,UNKNOWN
ED-EF664D255E,Dino Wars Kyouryuu Oukoku heno Daibouken,SFC,NTSC-J
ED-75951AEC8F,Disney Donald in Maui Mallard,SNES,PAL
ED-783FDAF482,Disney Donald in Maui Mallard,SNES,UNKNOWN
ED-E760251568,Disney's Aladdin,SFC,NTSC-J
ED-615F8229F3,Disney's Aladdin,SNES,PAL
