object_id,parent_object,source_object,title_primary,platform_norm,object_category,is_virtual_child
10293,,10293,Garou Densetsu Shukumei no Tatakai,SFC,Game,False
10295,,10295,Panel de Pon,SFC,Game,False
10308,,10308,Kyuuyaku Megami Tensei Megami Tensei I · II,SFC,Game,False
10320,,10320,Puzzle Nintama Rantarou Ninjutsu Gakuen Puzzle Taikai no Dan,SFC,Game,False
10322,,10322,Wedding Peach,SFC,Game,False
10325,,10325,Shin Megami Tensei,SFC,Game,False
10328,,10328,Heisei Shin Oni Ga Shima Kouhen,SFC,Game,False
10342,,10342,WWF Super WrestleMania,SFC,Game,False
10344,,10344,Nintama Rantarou,SFC,Game,False
10352,,10352,Pachinko Monogatari 2 Nagoya Shachihoko no Teiou,SFC,Game,False
10358,,10358,Hana no Keiji Kumo no Kanata ni,SFC,Game,False
10377,,10377,Exhaust Heat,SFC,Game,False
10380,,10380,Densetsu no Ogre Battle,SFC,Game,False
10382,,10382,World Class Rugby,SFC,Game,False
10398,,10398,The King of Rally Paris-Moscow-Beijing,SFC,Game,False
10429,,10429,Jissen! Pachislot Hisshouhou! 2,SFC,Game,False
10471,,10471,Dragon Knight 4,SFC,Game,False
10489,,10489,Fushigi no Dungeon 2 Fuurai no Shiren,SFC,Game,False
10501,,10501,Space Ace,SFC,Game,False
10508,,10508,Honoo no Toukyuuji Dodge Danpei,SFC,Game,False
10510,,10510,Super Oozumou Nessen Dai Ichiban,SFC,Game,False
10546,,10546,Ultima VI Itsuwari no Yogensha,SFC,Game,False
10548,,10548,SD Gundam GX,SFC,Game,False
10551,,10551,Little Master Nijiiro no Maseki,SFC,Game,False
10588,,10588,Super Nazo Puyo Tsuu Rulue no Tetsuwan Hanjouki,SFC,Game,False
10633,,10633,Yuu Yuu Hakusho 2 Kakutou no Shou,SFC,Game,False
10651,,10651,Super Donkey Kong,SFC,Game,False
10659,,10659,Heisei Shin Oni Ga Shima Zenpen,SFC,Game,False
10735,,10735,American Battle Dome,SFC,Game,False
10816,,10816,Dragon Ball Z Super Butouden 2,SFC,Game,False
10817,,10817,Mahoujin Guru Guru 2,SFC,Game,False
10818,,10818,Metal Max 2,SFC,Game,False
10819,,10819,Wolfenstein 3D The Claw of Eisenfaust,SFC,Game,False
10821,,10821,King of the Monsters,SFC,Game,False
10823,,10823,Bombuzal,SFC,Game,False
10827,,10827,J League Super Soccer,SFC,Game,False
10831,,10831,Putty Moon,SFC,Game,False
10834,,10834,Major Title,SFC,Game,False
10838,,10838,Dragon Ball Z Super Butouden,SFC,Game,False
10890,,10890,Tactics Ogre Let Us Cling Together,SFC,Game,False
10893,,10893,Dragon Ball Z Super Gokuden Kakusei-Hen,SFC,Game,False
10903,,10903,Pikiinya!,SFC,Game,False
10907,,10907,Big Ichigeki! Pachi Slot Daikouryaku 2 Universal Collection,SFC,Game,False
10914,,10914,Super Momotarou Dentetsu III,SFC,Game,False
10919,,10919,Nage Libre Seijaku no Suishin,SFC,Game,False
10975,,10975,J League Soccer Prime Goal 2,SFC,Game,False
10977,,10977,Top Racer,SFC,Game,False
10981,,10981,ActRaiser,SFC,Game,False
10987,,10987,Shin Megami Tensei II,SFC,Game,False
10992,,10992,Silva Saga II,SFC,Game,False
10995,,10995,Romancing Sa·Ga 2,SFC,Game,False
10997,,10997,Romancing Sa·Ga,SFC,Game,False
10998,,10998,Wonder Project J Kikai no Shounen Pino,SFC,Game,False
11001,,11001,Super Donkey Kong 2 Dixie & Diddy,SFC,Game,False
11003,,11003,Dragon's Magic,SFC,Game,False
11004,,11004,Super Wagyan Land,SFC,Game,False
11006,,11006,SD Kidou Senshi Gundam V Sakusen Shidou,SFC,Game,False
19321,,19321,Dokapon 3-2-1 Arashi o Yobu Yuujou,SFC,Game,False
19335,,19335,Lennus II Fuuin no Shito,SFC,Game,False
19338,,19338,Kyuuyaku Megami Tensei,SFC,Game,False
19343,,19343,Harukanaru Augusta 2 Masters,SFC,Game,False
19345,,19345,Haisei Mahjong Ryouga,SFC,Game,False
19350,,19350,Oraga Land Shusai Best Farmer Shuukaku-Sai,SFC,Game,False
19353,,19353,Super Casino Caesars Palace,SFC,Game,False
19355,,19355,Ihatovo Monogatari,SFC,Game,False
19359,,19359,Dragon Ball Z Chou Saiya Densetsu,SFC,Game,False
19361,,19361,Hat Trick Hero,SFC,Game,False
19362,,19362,Go Go Ackman,SFC,Game,False
19394,,19394,Soul Blader,SFC,Game,False
19398,,19398,Houkago in Beppin Jogakuin,SFC,Game,False
19399,,19399,Tadaima Yuusha Boshuuchuu Okawari,SFC,Game,False
19400,,19400,Super Mahjong 3 Karakuchi,SFC,Game,False
19401,,19401,Fighter's History Mizoguchi Kiki Ippatsu!!,SFC,Game,False
19404,,19404,JWP Joshi Pro Wrestling Pure Wrestle Queens,SFC,Game,False
19410,,19410,Gaia Gensouki,SFC,Game,False
19413,,19413,NFL Football,SFC,Game,False
19417,,19417,Super Chinese World,SFC,Game,False
19419,,19419,Ultraman,SFC,Game,False
19431,,19431,Oozumou Spirit,SFC,Game,False
19435,,19435,Raiden Densetsu,SFC,Game,False
19439,,19439,Jissen! Mahjong Shinan,SFC,Game,False
19441,,19441,Sougou Kakutougi Astral Bout,SFC,Game,False
19442,,19442,Final Fantasy IV,SFC,Game,False
19443,,19443,Majin Tensei II Spiral Nemesis,SFC,Game,False
19444,,19444,Honkakuha Igo Gosei,SFC,Game,False
19445,,19445,Harukanaru Augusta,SFC,Game,False
19447,,19447,Super Tetris 2 + Bombliss Genteiban,SFC,Game,False
19488,,19488,Seiken Densetsu 2,SFC,Game,False
19489,,19489,Hakunetsu Pro Yakyuu Ganba League,SFC,Game,False
19491,,19491,3×3 Eyes Seima Kourinden,SFC,Game,False
19492,,19492,Tactical Soccer,SFC,Game,False
19493,,19493,Battle Dodge Ball II,SFC,Game,False
19494,,19494,Super Pachinko Taisen,SFC,Game,False
19495,,19495,ABC Monday Night Football,SFC,Game,False
19496,,19496,LoveQuest,SFC,Game,False
19497,,19497,Super Mad Champ,SFC,Game,False
19498,,19498,Ski Paradise with Snowboard,SFC,Game,False
19501,,19501,Samurai Spirits,SFC,Game,False
19502,,19502,Battle Racers,SFC,Game,False
19509,,19509,Shougi Club,SFC,Game,False
19513,,19513,Tenryu Genichiro no Pro Wrestling Revolution,SFC,Game,False
19515,,19515,Aoki Densetsu Shoot!,SFC,Game,False
19516,,19516,Chrono Trigger,SFC,Game,False
19518,,19518,Battle Soccer 2,SFC,Game,False
19520,,19520,Umihara Kawase,SFC,Game,False
19521,,19521,Shougi Fuurinkazan,SFC,Game,False
19523,,19523,Seifuku Densetsu Pretty Fighter,SFC,Game,False
19554,,19554,Kouryuu Densetsu Villgust Kieta Shoujo,SFC,Game,False
19557,,19557,Syndicate,SFC,Game,False
19561,,19561,Zen-Nippon Pro Wrestling 2 3–4 Budoukan,SFC,Game,False
19562,,19562,Jungle no Ouja Taa-chan - Sekai Manyuu Dai Kakutou no Maki,SFC,Game,False
19563,,19563,Solstice II,SFC,Game,False
19564,,19564,Las Vegas Dream in Golden Paradise,SFC,Game,False
19587,,19587,Mega-Lo-Mania Jikuu Daisenryaku,SFC,Game,False
19590,,19590,Makeruna! Makendou 2 Kimero Youkai Souri,SFC,Game,False
19592,,19592,Super Drift Out,SFC,Game,False
19595,,19595,Wally o sagase! Ehon no Kuni no Daibouken,SFC,Game,False
19852,,19852,The Smurfs Travel the World,SNES,Game,False
19966,,19966,Pachinko Monogatari Pachi Slot mo Arudeyo!!,SFC,Game,False
19968,,19968,Shien The Blade Chaser,SFC,Game,False
19970,,19970,Sangokushi III,SFC,Game,False
19971,,19971,Major Title,SFC,Game,False
19973,,19973,Honkaku Mahjong Tetsuman II,SFC,Game,False
19974,,19974,Honkaku Mahjong Tetsuman,SFC,Game,False
19977,,19977,Pokonyan! Henpokorin Adventure,SFC,Game,False
19981,,19981,Cameltry,SFC,Game,False
19983,,19983,Solid Runner,SFC,Game,False
19986,,19986,Earth Light,SFC,Game,False
19989,,19989,First Samurai,SFC,Game,False
19992,,19992,JoJo no Kimyou na Bouken,SFC,Game,False
19996,,19996,Densetsu no Ogre Battle,SFC,Game,False
20000,,20000,Desert Strike Wangan Sakusen,SFC,Game,False
20005,,20005,Mahjong Gokuu Tenjiku,SFC,Game,False
20007,,20007,Super Keiba,SFC,Game,False
20011,,20011,Hisshou 777 Fighter 2 Pachislot Maruhi Jouhou,SFC,Game,False
20020,,20020,Tiny Toon Adventures Dotabata Daiundoukai,SFC,Game,False
20021,,20021,Wizap! Ankoku no Ou,SFC,Game,False
20022,,20022,Super F1 Circus,SFC,Game,False
20023,,20023,Kouryuuki,SFC,Game,False
20048,,20048,Takahashi Meijin no Daibouken Jima,SFC,Game,False
20049,,20049,Romancing SaGa,SFC,Game,False
20050,,20050,Q*bert 3,SFC,Game,False
20051,,20051,Super Street Fighter II,SFC,Game,False
20052,,20052,Super Ultra Baseball,SFC,Game,False
20053,,20053,Milandra,SFC,Game,False
20055,,20055,Othello World,SFC,Game,False
20056,,20056,Super Stadium,SFC,Game,False
20059,,20059,Jaleco Rally Big Run The Supreme 4WD Challenge,SFC,Game,False
20063,,20063,PGA Tour Golf,SFC,Game,False
20094,,20094,Super Oozumou Nessen Ooichiban,SFC,Game,False
20095,,20095,Super Off Road,SFC,Game,False
20109,,20109,Super Tetris 2 + Bombliss,SFC,Game,False
20111,,20111,Super Volley 2,SFC,Game,False
20113,,20113,Dragon Ball Z Super Butouden,SFC,Game,False
20114,,20114,USA Ice Hockey,SFC,Game,False
20118,,20118,Dragon Ball Z Super Butouden 2,SFC,Game,False
20120,,20120,Super Famista 4,SFC,Game,False
20145,,20145,Tsuppari Oozumou Risshin Shusse Hen,SFC,Game,False
20154,,20154,From TV Animation Slam Dunk 2 IH Yosen Kanzenban!!,SFC,Game,False
20155,,20155,Pro Football '93,SFC,Game,False
20156,,20156,Uchuu Race Astro Go! Go!,SFC,Game,False
20157,,20157,Final Knockout,SFC,Game,False
20158,,20158,Zan II Spirits,SFC,Game,False
20159,,20159,Mahjong Hishouden Naki no Ryuu,SFC,Game,False
20160,,20160,Shodai Nekketsu Kouha Kunio-kun,SFC,Game,False
20163,,20163,Super Fire Pro Wrestling X,SFC,Game,False
20166,,20166,Super H.Q. Criminal Chaser,SFC,Game,False
20171,,20171,Super Troll Islands Shiawase o Ageru ❤,SFC,Game,False
20175,,20175,Power Soukoban,SFC,Game,False
20178,,20178,Jungle Wars 2 Kodai Mahou Atimos no Nazo,SFC,Game,False
20183,,20183,Chou Makai Taisen! Dorabotchan,SFC,Game,False
20184,,20184,Aqutallion,SFC,Game,False
20185,,20185,Super Professional Baseball,SFC,Game,False
20187,,20187,Jerry Boy,SFC,Game,False
20188,,20188,F-1 Grand Prix Part III,SFC,Game,False
20189,,20189,Ashita no Joe,SFC,Game,False
20190,,20190,Pachinko Wars,SFC,Game,False
20191,,20191,Light Fantasy,SFC,Game,False
20203,,20203,Air Management Oozora ni Kakeru,SFC,Game,False
20204,,20204,Mutant Fighters Death Brade,SFC,Game,False
20205,,20205,F-1 Grand Prix,SFC,Game,False
20208,,20208,Heisei Inu Monogatari Bow Pop'n Smash!!,SFC,Game,False
20209,,20209,Super Formation Soccer,SFC,Game,False
20212,,20212,Go! Go! Dodge League,SFC,Game,False
20217,,20217,Battle Commander Hachibushuu Shura no Heihou,SFC,Game,False
20218,,20218,Top Racer,SFC,Game,False
20219,,20219,Super Tennis World Circuit,SFC,Game,False
20221,,20221,Ranma ½ Chougi Rambuhen,SFC,Game,False
20226,,20226,Jammes,SFC,Game,False
20229,,20229,Arabian Nights Sabaku no Seirei Ou,SFC,Game,False
20231,,20231,The Flintstones The Treasure of Sierra Madrock,SFC,Game,False
20236,,20236,Onizuka Katsuya Super Virtual Boxing ma Kentou Ou Densetsu,SFC,Game,False
20237,,20237,Neugier Umi to Kaze no Kodou,SFC,Game,False
20238,,20238,Dynamic Stadium,SFC,Game,False
20241,,20241,Populous II Trials of the Olympian Gods,SFC,Game,False
20242,,20242,Psycho Dream,SFC,Game,False
20246,,20246,Super Bowling,SFC,Game,False
20280,,20280,Daibakushou Jinsei Gekijou,SFC,Game,False
20281,,20281,SimCity,SFC,Game,False
20282,,20282,Asameshimae Nyanko,SFC,Game,False
