edition_id,title_primary,platform,country,language,release_date,source_object
ED-48435C0FDF,Aguri Suzuki F-1 Super Driving,SNES,GB,xx,,1810
ED-B7C4DC0FCB,Aguri Suzuki F1 Super Driving,SNES,GB,xx,,60658
ED-F9149F3A5E,Aguri Suzuki F1 Super Driving,SNES,GB,xx,,60658
ED-BC2A1962E8,Aguri Suzuki no F-1 Super Driving,SFC,GB,ja,,35406
ED-BC2A1962E8,Aguri Suzuki no F-1 Super Driving,SFC,GB,ja,,55731
ED-BC2A1962E8,Aguri Suzuki no F-1 Super Driving,SFC,JP,ja,,35406
ED-BC2A1962E8,Aguri Suzuki no F-1 Super Driving,SFC,JP,ja,,55731
ED-8E234C877A,Air Management II Koukuu Ou o Mezase,SFC,GB,ja,,20567
ED-8E234C877A,Air Management II Koukuu Ou o Mezase,SFC,JP,ja,,20567
ED-632F5E54CF,Air Management Oozora ni Kakeru,SFC,JP,ja,,20203
ED-339DEDD026,Akagawa Jirou Majotachi no Nemuri,SFC,JP,ja,,34713
ED-339DEDD026,Akagawa Jirou Majotachi no Nemuri,SFC,JP,ja,,55240
ED-605A35406F,Akazukin Cha Cha,SFC,GB,ja,,34436
ED-605A35406F,Akazukin Cha Cha,SFC,JP,ja,,34436
ED-A27E4F6E4A,Akumajou Dracula,SFC,JP,ja,,36966
ED-1D145A8908,Akumajou Dracula XX,SFC,JP,ja,,37058
ED-B8F556A2E3,Albert Odyssey,SFC,JP,ja,,9257
ED-B8F556A2E3,Albert Odyssey,SFC,JP,ja,,23259
ED-A39C213C26,Albert Odyssey 2 Jashin no Taidou,SFC,JP,ja,,38913
ED-BFA51664E0,Alcahest,SFC,JP,ja,,34397
ED-5407FFAB1C,"Alfa Data OMM-MT Mouse for Amiga, Atari",AMIGA,UNK,xx,,34280
ED-A27F0BD0FB,Alice no Paint Adventure,SFC,JP,ja,,38960
ED-E339A3AED6,Alien 3,SFC,JP,ja,,37021
ED-5EC2E8846D,Alien 3,SNES,EU,en,,20374
ED-5EC2E8846D,Alien 3,SNES,EU,xx,,60681
ED-99882E7047,Alien 3,SNES,UNK,xx,,20374
ED-99882E7047,Alien 3,SNES,UNK,xx,,26742
ED-99882E7047,Alien 3,SNES,UNK,xx,,60681
ED-3B23936F59,Alien 3,SNES,US,xx,,26742
ED-EDB510C054,Aliens vs. Predator,SFC,JP,ja,,36900
ED-6E234A371B,Ambrosia RC AeroChopper Controller,AMIGA,UNK,xx,,34287#3
ED-33A2B21FE1,America Oudan Ultra Quiz,SFC,JP,ja,,35629
ED-33A2B21FE1,America Oudan Ultra Quiz,SFC,US,ja,,35629
ED-C0327142EC,American Battle Dome,SFC,JP,ja,,10735
ED-C0327142EC,American Battle Dome,SFC,JP,ja,,38741
ED-C0327142EC,American Battle Dome,SFC,US,ja,,10735
ED-C0327142EC,American Battle Dome,SFC,US,ja,,38741
ED-3982877A3E,Amiga 2000,AMIGA,UNK,xx,,33060
ED-AF8F9A1DE6,"Amiga 500, Special Badge, European Computer of the Year Award",AMIGA,EU,xx,,34274
ED-618050D1CC,Ancient Magic Bazoo! Mahou Sekai,SFC,JP,ja,,34386
ED-C5789E10A6,Andre Agassi Tennis,SFC,JP,ja,,21125
ED-E06C03F55F,Angelique,SFC,JP,ja,,8985
ED-E06C03F55F,Angelique,SFC,JP,ja,,38562
ED-E06C03F55F,Angelique,SFC,JP,ja,,55922
ED-24A203372F,Angelique Premium Box,SFC,JP,ja,,21867
ED-63800E73CD,Angelique Voice Fantasy with Voicer-kun,SFC,JP,ja,,21865
ED-2B4EACF82B,Animal Buranden Brutal,SFC,JP,ja,,38886
ED-EEACDDC17E,Animaniacs,SFC,JP,ja,,34607
ED-A5B1FE8FC1,Another World,SNES,EU,en,,19895
ED-A5B1FE8FC1,Another World,SNES,EU,en,,26622
ED-A5B1FE8FC1,Another World,SNES,SE,sv,,26987
ED-A100A27BDA,Another World,SNES,UNK,xx,,19895
ED-A100A27BDA,Another World,SNES,UNK,xx,,26622
ED-A100A27BDA,Another World,SNES,UNK,xx,,26987
ED-52B79BBCF3,Aoki Densetsu Shoot!,SFC,JP,ja,,19515
ED-6F84144A16,Appleseed Prometheus no Shintaku,SFC,JP,ja,,23140
