"edition_id","title_primary","platform"
"CAT-09088","Elfaria A Fantastic Theater;エルファリア;Elfaria The Isle of the Blest","Nintendo Super Famicom"
"CAT-09092","Garou Densetsu Shukumei no Tatakai;餓狼伝説 宿命の闘い;がろうでんせつ;Fatal Fury","Nintendo Super Famicom"
"CAT-09097","Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!;美少女戦士セーラームーンS こんどはパズルでおしおきよ！！;Bishoujo Senshi Sailor Moon S Kondo ha Puzzle de Oshioki yo!!;Bishoujo Senshi Sailor Moon Super Kondo wa Puzzle de Oshioki yo!!","Nintendo Super Famicom"
"CAT-09101","Super Mahjong Taikai;スーパー麻雀大会","Nintendo Super Famicom"
"CAT-09102","Super F1 Circus;スーパーエフワン サーカス;Super F-1 Circus","Nintendo Super Famicom"
"CAT-09103","Suzuka 8 Hours;スズカエイトアワーズ","Nintendo Super Famicom"
"CAT-09121","Classic Road II;クラシックロードII;Classic Road 2","Nintendo Super Famicom"
"CAT-09148","Super 4WD The Baja;スーパ4WDーザ・バハ;スーパ よんグプリユテイー ザ・バハ;Super Off Road The Baja","Nintendo Super Famicom"
"CAT-09152","Jungle Wars 2 Kodai Mahou Atimos no Nazo;ジャングルウォーズ2 古代魔法アティモスの謎","Nintendo Super Famicom"
"CAT-09164","Hat Trick Hero;ハットトリックヒーロー","Nintendo Super Famicom"
"CAT-09171","Samurai Spirits;侍魂 サムライスピリッツ;Samurai Shodown","Nintendo Super Famicom"
"CAT-09174","Romancing Sa-Ga;ロマンシング サ·ガ;Romancing Sa·Ga;Romancing Sa Ga;Romancing SaGa","Nintendo Super Famicom"
"CAT-09181","Super Robot Taisen EX;スーパーロボット大戦EX;Super Robot Wars EX","Nintendo Super Famicom"
"CAT-09182","Wagyan Paradise;ワギャンパラダイス","Nintendo Super Famicom"
"CAT-09183","Super Dunk Star;スーパーダンクスター","Nintendo Super Famicom"
"CAT-09186","Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun;ダウンタウン熱血べーすぼーる物語 野球で勝負だ！くにおくん;Downtown Nekketsu Baseball Monogatari Yakyū de Shōbu da! Kunio-kun","Nintendo Super Famicom"
"CAT-09191","Tenchi Muyou! Game Hen;天地無用！ げーむ編;Tenchi Muyo! Game Edition","Nintendo Super Famicom"
"CAT-09192","Densetsu no Ogre Battle;伝説のオウガバトル;でんせつのオウガバトル;Densetsu no Ogre Battle Saga Episode Five The March of the Black Queen;Ogre Battle The March of the Black Queen","Nintendo Super Famicom"
"CAT-09193","Estpolis Denki II;エストポリス伝記II;Estpolis Denki 2;Lufia II Rise of the Sinistrals;Lufia 2 Rise of the Sinistrals","Nintendo Super Famicom"
"CAT-09194","Front Mission;フロントミッション","Nintendo Super Famicom"
"CAT-09195","Dragon Quest I.II;ドラゴンクエストI・II;Dragon Quest 1 & 2;Dragon Quest I·II;Dragon Quest I . II","Nintendo Super Famicom"
"CAT-09196","Mini Shiku Shining Scorpion Ready & Go!!;ミニ四駆 シャイニング スコーピオン レッツ＆ゴー！！;Mini Shiku Shining Scorpion Ready Let's and Go!!","Nintendo Super Famicom"
"CAT-09197","RPG Tsukuru Super Dante;RPGツクール スーパーダンテ","Nintendo Super Famicom"
"CAT-09198","David Crane's Amazing Tennis;David Crane's アメージングテニス","Nintendo Super Famicom"
"CAT-09199","2020 Super Baseball;2020年 スーパーベースボール;2020 SuperBaseball","Nintendo Super Famicom"
"CAT-09201","Garou Densetsu 2 Aratanaru Tatakai;餓狼伝説2 —新たなる闘い—;餓狼伝説２ ～新たなる闘い～;Fatal Fury 2","Nintendo Super Famicom"
"CAT-09202","Tetris Battle Gaiden;テトリスバトル 武闘外伝","Nintendo Super Famicom"
"CAT-09203","Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi;北斗の拳6 激闘伝承拳 覇王への道;Hokuto no Ken 6 Gekitou Denshou Ken Haou heno Michi;Fist of the North Star 6","Nintendo Super Famicom"
"CAT-09204","F-1 Grand Prix Part III;F1グランプリ パート3;F-1 Grand Prix Part 3;F1 Grand Prix Part III","Nintendo Super Famicom"
