edition_id,igdb_game_id,gb_game_id,score,note
CAT-19444,,,,no-match
CAT-19445,,,,no-match
CAT-19447,,,,no-match
CAT-19488,,,,no-match
CAT-19489,,,,no-match
CAT-19491,,,,no-match
CAT-19492,,,,no-match
CAT-19493,,,,no-match
CAT-19494,,,,no-match
CAT-19495,,,,no-match
CAT-19496,,,,no-match
CAT-19497,,,,no-match
CAT-19498,,,,no-match
CAT-19501,,,,no-match
CAT-19502,38161,38076,0.800,
CAT-19509,,,,no-match
CAT-19513,,,,no-match
CAT-19515,,,,no-match
CAT-19516,,,,no-match
CAT-19518,,,,no-match
CAT-19520,,,,no-match
CAT-19521,,,,no-match
CAT-19523,,,,no-match
CAT-19554,,,,no-match
CAT-19557,213885,10865,0.600,
CAT-19561,,,,no-match
CAT-19562,,,,no-match
CAT-19563,,,,no-match
CAT-19564,,,,no-match
CAT-19587,,,,no-match
CAT-19590,,,,no-match
CAT-19592,,,,no-match
CAT-19595,,,,no-match
CAT-19741,1026,10276,0.900,
CAT-19743,9633,13828,0.900,
CAT-19744,23597,7274,0.600,
CAT-19746,,,,no-match
CAT-19747,4492,9336,0.900,
CAT-19749,208990,15035,0.600,
CAT-19750,,,,no-match
CAT-19751,,,,no-match
CAT-19752,,,,no-match
CAT-19755,,,,no-match
CAT-19757,42637,54900,0.900,
CAT-19758,,,,no-match
CAT-19759,5341,12959,0.900,
CAT-19760,10354,18484,0.600,
CAT-19761,198998,10020,0.600,
CAT-19763,,,,no-match
CAT-19764,287084,2851,0.400,
CAT-19765,,,,no-match
CAT-19766,,,,no-match
CAT-19767,,,,no-match
CAT-19768,7804,20205,0.900,
CAT-19769,,,,no-match
CAT-19770,,,,no-match
CAT-19771,,,,no-match
CAT-19772,81523,18664,0.900,
CAT-19773,,,,no-match
CAT-19774,,,,no-match
CAT-19775,,,,no-match
CAT-19778,,,,no-match
CAT-19779,23091,6562,0.660,
CAT-19782,,,,no-match
CAT-19783,,,,no-match
CAT-19784,,,,no-match
CAT-19785,,,,no-match
CAT-19786,42506,12248,0.900,
CAT-19787,28509,19991,0.900,
CAT-19788,,,,no-match
CAT-19789,,,,no-match
CAT-19790,,,,no-match
CAT-19791,,,,no-match
CAT-19792,,,,no-match
CAT-19793,,,,no-match
CAT-19794,,,,no-match
CAT-19796,7351,7326,0.600,
CAT-19799,48939,4692,0.900,
CAT-19801,,,,no-match
CAT-19808,,,,no-match
CAT-19810,,,,no-match
CAT-19812,9151,6029,0.900,
CAT-19813,,,,no-match
CAT-19814,243453,19134,0.900,
CAT-19816,,,,no-match
CAT-19817,,,,no-match
CAT-19818,,,,no-match
CAT-19819,217956,5721,0.600,
CAT-19821,,,,no-match
CAT-19823,,,,no-match
CAT-19824,346267,4616,0.600,
CAT-19826,,,,no-match
CAT-19828,,,,no-match
CAT-19829,,,,no-match
CAT-19830,,,,no-match
CAT-19831,,,,no-match
CAT-19833,,,,no-match
CAT-19834,217942,5498,0.475,
CAT-19835,,,,no-match
CAT-19836,,,,no-match
CAT-19837,,,,no-match
CAT-19839,,,,no-match
CAT-19844,,,,no-match
CAT-19846,72032,6921,0.900,
CAT-19852,,,,no-match
CAT-19854,,,,no-match
CAT-19856,27525,45818,0.900,
CAT-19857,,,,no-match
CAT-19858,,,,no-match
CAT-19860,,,,no-match
CAT-19861,243989,18818,0.600,
CAT-19862,,,,no-match
CAT-19864,38425,32829,0.900,
CAT-19865,,,,no-match
CAT-19867,,,,no-match
CAT-19868,204616,19067,0.900,
CAT-19869,14531,6805,0.900,
CAT-19870,153771,5740,0.900,
CAT-19871,,,,no-match
CAT-19872,329147,13849,0.600,
CAT-19873,,,,no-match
CAT-19874,,,,no-match
CAT-19875,3656,9316,0.900,
CAT-19876,45566,3826,0.900,
CAT-19877,,,,no-match
CAT-19878,,,,no-match
CAT-19879,,,,no-match
CAT-19880,,,,no-match
CAT-19881,,,,no-match
CAT-19882,,,,no-match
CAT-19884,,,,no-match
CAT-19885,,,,no-match
CAT-19887,265060,52893,0.600,
CAT-19888,9619,14727,0.900,
CAT-19889,,,,no-match
CAT-19890,42613,19221,0.900,
CAT-19892,,,,no-match
CAT-19894,,,,no-match
CAT-19895,,,,no-match
CAT-19897,,,,no-match
CAT-19898,,,,no-match
CAT-19900,,,,no-match
CAT-19902,,,,no-match
CAT-19903,10162,8853,0.900,
CAT-19904,,,,no-match
CAT-19906,,,,no-match
CAT-19907,,,,no-match
CAT-19908,,,,no-match
CAT-19910,,,,no-match
CAT-19911,,,,no-match
CAT-19912,,,,no-match
CAT-19913,,,,no-match
CAT-19914,,,,no-match
CAT-19915,,,,no-match
CAT-19916,,,,no-match
CAT-19917,1092,16889,0.900,
CAT-19919,,,,no-match
CAT-19920,,,,no-match
CAT-19921,,,,no-match
CAT-19922,280811,30534,0.825,
CAT-19923,,,,no-match
CAT-19924,198028,11992,0.600,
CAT-19925,198669,19944,0.600,
CAT-19927,,,,no-match
CAT-19928,42557,38982,0.900,
CAT-19929,42617,12945,0.900,
CAT-19930,,,,no-match
CAT-19932,6621,7450,0.900,
CAT-19933,,,,no-match
CAT-19966,,,,no-match
CAT-19968,,,,no-match
CAT-19970,,,,no-match
CAT-19971,,,,no-match
CAT-19973,,,,no-match
CAT-19974,,,,no-match
CAT-19977,,,,no-match
CAT-19981,,,,no-match
CAT-19983,44437,14760,0.800,
CAT-19986,,,,no-match
CAT-19989,71214,1371,0.720,
CAT-19992,,,,no-match
CAT-19996,,,,no-match
CAT-20000,,,,no-match
CAT-20005,,,,no-match
CAT-20007,,,,no-match
CAT-20011,,,,no-match
CAT-20020,,,,no-match
CAT-20021,,,,no-match
CAT-20022,,,,no-match
CAT-20023,,,,no-match
CAT-20048,,,,no-match
CAT-20049,,,,no-match
CAT-20050,,,,no-match
CAT-20051,,,,no-match
CAT-20052,,,,no-match
CAT-20053,,,,no-match
CAT-20055,,,,no-match
CAT-20056,,,,no-match
CAT-20059,,,,no-match
CAT-20063,,,,no-match
CAT-20094,,,,no-match
CAT-20095,,,,no-match
CAT-20109,,,,no-match
CAT-20111,,,,no-match
CAT-20113,,,,no-match
CAT-20114,,,,no-match
CAT-20118,,,,no-match
CAT-20120,,,,no-match
CAT-20145,,,,no-match
CAT-20154,,,,no-match
CAT-20155,,,,no-match
CAT-20156,,,,no-match
CAT-20157,,,,no-match
CAT-20158,,,,no-match
CAT-20159,,,,no-match
CAT-20160,,,,no-match
CAT-20163,,,,no-match
CAT-20166,,,,no-match
CAT-20171,,,,no-match
CAT-20175,,,,no-match
CAT-20178,,,,no-match
CAT-20183,,,,no-match
CAT-20184,,,,no-match
CAT-20185,,,,no-match
CAT-20187,,,,no-match
CAT-20188,,,,no-match
CAT-20189,39578,44494,0.800,
CAT-20190,,,,no-match
CAT-20191,37944,28306,0.800,
CAT-20203,,,,no-match
CAT-20204,,,,no-match
CAT-20205,,,,no-match
CAT-20208,,,,no-match
CAT-20209,,,,no-match
CAT-20212,,,,no-match
CAT-20217,,,,no-match
CAT-20218,,,,no-match
CAT-20219,,,,no-match
CAT-20221,,,,no-match
CAT-20226,,,,no-match
CAT-20229,,,,no-match
CAT-20231,,,,no-match
CAT-20236,,,,no-match
CAT-20237,,,,no-match
CAT-20238,,,,no-match
CAT-20241,,,,no-match
CAT-20242,,,,no-match
CAT-20246,,,,no-match
CAT-20280,,,,no-match
CAT-20281,208990,37620,0.600,
CAT-20282,,,,no-match
CAT-20283,,,,no-match
CAT-20284,,,,no-match
CAT-20285,,,,no-match
CAT-20286,,,,no-match
CAT-20287,,,,no-match
CAT-20288,,,,no-match
CAT-20289,,,,no-match
CAT-20290,,,,no-match
CAT-20309,20134,1356,0.900,
CAT-20310,,,,no-match
CAT-20312,,,,no-match
CAT-20313,705,11207,0.660,
CAT-20314,,,,no-match
CAT-20316,,,,no-match
CAT-20317,42479,5450,0.900,
CAT-20319,,,,no-match
CAT-20321,4509,15126,0.900,
CAT-20322,,,,no-match
CAT-20323,,,,no-match
CAT-20324,,,,no-match
CAT-20325,11665,14108,0.900,
CAT-20326,,,,no-match
CAT-20327,42581,6763,0.900,
CAT-20328,,,,no-match
CAT-20329,4259,9847,0.900,
CAT-20330,,,,no-match
CAT-20331,,,,no-match
CAT-20332,,,,no-match
CAT-20334,8121,3680,0.900,
CAT-20337,,,,no-match
CAT-20339,,,,no-match
CAT-20340,,,,no-match
CAT-20342,,,,no-match
CAT-20347,,,,no-match
CAT-20349,,,,no-match
CAT-20350,,,,no-match
CAT-20351,,,,no-match
CAT-20352,133313,13130,0.600,
CAT-20353,,,,no-match
CAT-20355,,,,no-match
CAT-20357,8050,9441,0.817,
CAT-20358,,,,no-match
CAT-20359,,,,no-match
CAT-20360,,,,no-match
CAT-20362,10843,6329,0.900,
CAT-20363,,,,no-match
CAT-20364,39039,1852,0.900,
CAT-20365,,,,no-match
CAT-20367,,,,no-match
CAT-20370,,,,no-match
CAT-20371,38353,2607,0.800,
CAT-20373,,,,no-match
CAT-20374,,,,no-match
CAT-20375,,,,no-match
CAT-20376,,,,no-match
CAT-20377,1073,2866,0.900,
CAT-20379,,,,no-match
CAT-20380,,,,no-match
CAT-20381,,,,no-match
CAT-20382,,,,no-match
CAT-20383,,,,no-match
CAT-20384,,,,no-match
CAT-20385,,,,no-match
CAT-20386,9861,6106,0.900,
CAT-20387,,,,no-match
CAT-20388,11616,13986,0.900,
CAT-20390,1741,9463,0.900,
CAT-20391,,,,no-match
CAT-20392,,,,no-match
CAT-20394,1124,11443,0.900,
CAT-20395,,,,no-match
CAT-20397,,,,no-match
CAT-20398,,,,no-match
CAT-20399,,,,no-match
CAT-20403,,,,no-match
CAT-20404,,,,no-match
CAT-20405,,,,no-match
