object_number,platform_raw_first,platform_norm,title_primary,title_norm,title_norm_source,title_aliases,region_norm,language_norm,media_norm,edition_key,edition_id
9199,Nintendo Super Famicom,SFC,2020 Super Baseball,2020 Super Baseball,primary_ascii,2020年 スーパーベースボール|2020 SuperBaseball,NTSC-J,ja,cartridge,SFC | 2020 Super Baseball | NTSC-J | ja | cartridge,0e86ea9bcf52472b
9201,Nintendo Super Famicom,SFC,Garou Densetsu 2 Aratanaru Tatakai,Garou Densetsu 2 Aratanaru Tatakai,primary_ascii,餓狼伝説2 -新たなる闘い-|餓狼伝説２ ～新たなる闘い～|Fatal Fury 2,NTSC-J,ja,cartridge,SFC | Garou Densetsu 2 Aratanaru Tatakai | NTSC-J | ja | cartridge,8184e934a4a93dcc
9202,Nintendo Super Famicom,SFC,Tetris Battle Gaiden,Tetris Battle Gaiden,primary_ascii,テトリスバトル 武闘外伝,NTSC-J,ja,cartridge,SFC | Tetris Battle Gaiden | NTSC-J | ja | cartridge,6f9b991efaef6a8b
9203,Nintendo Super Famicom,SFC,Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi,Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi,primary_ascii,北斗の拳6 激闘伝承拳 覇王への道|Hokuto no Ken 6 Gekitou Denshou Ken Haou heno Michi|Fist of the North Star 6,NTSC-J,ja,cartridge,SFC | Hokuto no Ken 6 Gekitou Denshouken Haou e no Michi | NTSC-J | ja | cartridge,76931166b39a8357
9204,Nintendo Super Famicom,SFC,F-1 Grand Prix Part III,F-1 Grand Prix Part III,primary_ascii,F1グランプリ パート3|F-1 Grand Prix Part 3|F1 Grand Prix Part III,NTSC-J,ja,cartridge,SFC | F-1 Grand Prix Part III | NTSC-J | ja | cartridge,ed71317431b53133
9206,Nintendo Super Famicom,SFC,Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi,Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi,primary_ascii,北斗の拳7 聖拳列伝 伝承者への道|Hokuto no Ken 7 Seiken Retsuden Den Shou Sha he no Michi|Fist of the North Star 7,NTSC-J,ja,cartridge,SFC | Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi | NTSC-J | ja | cartridge,537d07a44774274a
9207,Nintendo Super Famicom,SFC,Fortune Quest Dice wo Korogase,Fortune Quest Dice wo Korogase,primary_ascii,フォーチュンクエスト ダイスをころがせ,NTSC-J,ja,cartridge,SFC | Fortune Quest Dice wo Korogase | NTSC-J | ja | cartridge,7ce5aa8d00f7616d
9208,Nintendo Super Famicom,SFC,Namco Open,Namco Open,primary_ascii,ナムコットオープン,NTSC-J,ja,cartridge,SFC | Namco Open | NTSC-J | ja | cartridge,901dd3384bc5bb03
9210,Nintendo Super Famicom,SFC,3x3 Eyes Sazanaizu Seima Kourinden,3x3 Eyes Sazanaizu Seima Kourinden,primary_ascii,3x3 Eyes サザンアイズ 聖魔降臨伝|三只眼 聖魔降臨伝|3 x 3 Eyes Sazanaizu Seima Kourinden,NTSC-J,ja,cartridge,SFC | 3x3 Eyes Sazanaizu Seima Kourinden | NTSC-J | ja | cartridge,aff6047cfeac6286
9211,Nintendo Super Famicom,SFC,Star Fox,Star Fox,primary_ascii,スターフォックス|Starwing,NTSC-J,ja,cartridge,SFC | Star Fox | NTSC-J | ja | cartridge,c4edcc15cd8fbb81
