object_number,platform_raw_first,platform_norm,title_primary,alt_titles,title_norm,title_norm_source,title_aliases
35407,Nintendo Super Famicom,SFC,Hiryuu no Ken S Golden Fighter,飛龍の拳Sゴールデンファイター|Ultimate Fighter,Hiryuu no Ken S Golden Fighter,primary_ascii,飛龍の拳Sゴールデンファイター|Ultimate Fighter
35408,Nintendo Super Famicom,SFC,Super Power League 3,スーパーパワーリーグ3,Super Power League 3,primary_ascii,スーパーパワーリーグ3
35409,Nintendo Super Famicom,SFC,Nobunaga no Yabou Haouden,信長の野望 覇王伝,Nobunaga no Yabou Haouden,primary_ascii,信長の野望 覇王伝
35410,Nintendo Super Famicom,SFC,Action Pachio,アクションパチ夫,Action Pachio,primary_ascii,アクションパチ夫
35411,Nintendo Super Famicom,SFC,Hansei Zaru Jirou-kun no Daibouken,反省ザル ジローくんの大冒険|Spanky's Quest,Hansei Zaru Jirou-kun no Daibouken,primary_ascii,反省ザル ジローくんの大冒険|Spanky's Quest
35412,Nintendo Super Famicom,SFC,The Addams Family,アダムス・ファミリー,The Addams Family,primary_ascii,アダムス・ファミリー
35413,Nintendo Super Famicom,SFC,SD Gundam Gaiden Knight Gundam Monogatari Ooinaru Isan,SDガンダム外伝 ナイトガンダム物語 大いなる遺産,SD Gundam Gaiden Knight Gundam Monogatari Ooinaru Isan,primary_ascii,SDガンダム外伝 ナイトガンダム物語 大いなる遺産
35414,Nintendo Super Famicom,SFC,Soukou Kihei Votoms The Battling Road,装甲騎兵ボトムズ ザ・バトリングロード,Soukou Kihei Votoms The Battling Road,primary_ascii,装甲騎兵ボトムズ ザ・バトリングロード
35415,Nintendo Super Famicom,SFC,CB Chara Wars Ushinawareta Gag,CBキャラウォーズ 失われたギャ〜グ,CB Chara Wars Ushinawareta Gag,primary_ascii,CBキャラウォーズ 失われたギャ〜グ
35416,Nintendo Super Famicom,SFC,Super Fire Pro Wrestling 2,スーパーファイヤープロレスリング2,Super Fire Pro Wrestling 2,primary_ascii,スーパーファイヤープロレスリング2
35417,Nintendo Super Famicom,SFC,Shin Megami Tensei,真・女神転生,Shin Megami Tensei,primary_ascii,真・女神転生
35418,Nintendo Super Famicom,SFC,Jumbo Ozaki no Hole In One,ジャンボ尾崎のホールインワン,Jumbo Ozaki no Hole In One,primary_ascii,ジャンボ尾崎のホールインワン
35419,Nintendo Super Famicom,SFC,Kinnikuman Dirty Challenger,キン肉マン ダーティー・チャレンジャー,Kinnikuman Dirty Challenger,primary_ascii,キン肉マン ダーティー・チャレンジャー
35420,Nintendo Super Famicom,SFC,Dragon's Earth,ドラゴンズ・アース,Dragon's Earth,primary_ascii,ドラゴンズ・アース
35421,Nintendo Super Famicom,SFC,The Great Battle II Last Fighter Twin,ザ・グレイトバトルII ラストファイター ツイン,The Great Battle II Last Fighter Twin,primary_ascii,ザ・グレイトバトルII ラストファイター ツイン
35422,Nintendo Super Famicom,SFC,Hello! Pac-Man,ハロー！パックマン|Pac-Man 2 The New Adventures,Hello! Pac-Man,primary_ascii,ハロー！パックマン|Pac-Man 2 The New Adventures
35423,Nintendo Super Famicom,SFC,Final Fantasy VI,ファイナルファンタジーVI|Final Fantasy 6|Final Fantasy 3|Final Fantasy III,Final Fantasy VI,primary_ascii,ファイナルファンタジーVI|Final Fantasy 6|Final Fantasy 3|Final Fantasy III
35424,Nintendo Super Famicom,SFC,Super Kick Boxing Best of the Best,スーパーキックボクシング Best of the Best|Best of the Best Championship Karate,Super Kick Boxing Best of the Best,primary_ascii,スーパーキックボクシング Best of the Best|Best of the Best Championship Karate
35425,Nintendo Super Famicom,SFC,Hokuto no Ken 6 Gekitou Denshou Ken Haou he no Michi,北斗の拳6 激闘伝承拳 覇王への道|Fist Of The North Star 6,Hokuto no Ken 6 Gekitou Denshou Ken Haou he no Michi,primary_ascii,北斗の拳6 激闘伝承拳 覇王への道|Fist Of The North Star 6
35426,Nintendo Super Famicom,SFC,Shounen Ashibe Goma-chan no Yuuenchi Daibouken,少年アシベ ゴマちゃんのゆうえんち大冒険,Shounen Ashibe Goma-chan no Yuuenchi Daibouken,primary_ascii,少年アシベ ゴマちゃんのゆうえんち大冒険
35427,Nintendo Super Famicom,SFC,Hero Senki Project Olympus,ヒーロー戦記 プロジェクト オリュンポス,Hero Senki Project Olympus,primary_ascii,ヒーロー戦記 プロジェクト オリュンポス
35428,Nintendo Super Famicom,SFC,Elfaria II The Quest of the Meld,エルファリアII ザ・クエスト・オブ・ザ・メルド,Elfaria II The Quest of the Meld,primary_ascii,エルファリアII ザ・クエスト・オブ・ザ・メルド
35429,Nintendo Super Famicom,SFC,Spark World,スパーク・ワールド,Spark World,primary_ascii,スパーク・ワールド
35430,Nintendo Super Famicom,SFC,Sky Mission,スカイミッション|Wings 2 Aces High,Sky Mission,primary_ascii,スカイミッション|Wings 2 Aces High
35431,Nintendo Super Famicom,SFC,Jurassic Park,ジュラシック・パーク,Jurassic Park,primary_ascii,ジュラシック・パーク
35432,Nintendo Super Famicom,SFC,Tatakae Genshijin 2 Rookie no Bouken,戦え原始人2 ルーキーの冒険|Congo's Caper,Tatakae Genshijin 2 Rookie no Bouken,primary_ascii,戦え原始人2 ルーキーの冒険|Congo's Caper
35433,Nintendo Super Famicom,SFC,Gunple Gunman's Proof,ガンプル Gunman's Proof,Gunple Gunman's Proof,primary_ascii,ガンプル Gunman's Proof
35434,Nintendo Super Famicom,SFC,Strike Gunner S.T.G,Strike Gunner エス・ティー・ジー,Strike Gunner S.T.G,primary_ascii,Strike Gunner エス・ティー・ジー
35435,Nintendo Super Famicom,SFC,Ghost Chaser Densei,ゴーストチェイサー 電精,Ghost Chaser Densei,primary_ascii,ゴーストチェイサー 電精
35436,Nintendo Super Famicom,SFC,Shounen Ninja Sasuke,少年忍者サスケ,Shounen Ninja Sasuke,primary_ascii,少年忍者サスケ
35437,Nintendo Super Famicom,SFC,F-Zero,エフゼロ,F-Zero,primary_ascii,エフゼロ
35438,Nintendo Super Famicom,SFC,Olivia's Mystery,オリビアのミステリー,Olivia's Mystery,primary_ascii,オリビアのミステリー
