object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,broadcast_standard,title.language,place_of_publication,title_primary,alt_titles,accessory_type
35414,Soukou Kihei Votoms The Battling Road;装甲騎兵ボトムズ ザ・バトリングロード,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Soukou Kihei Votoms The Battling Road,装甲騎兵ボトムズ ザ・バトリングロード,
35415,CB Chara Wars Ushinawareta Gag;CBキャラウォーズ 失われたギャ〜グ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,CB Chara Wars Ushinawareta Gag,CBキャラウォーズ 失われたギャ〜グ,
35416,Super Fire Pro Wrestling 2;スーパーファイヤープロレスリング2,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Fire Pro Wrestling 2,スーパーファイヤープロレスリング2,
35417,Shin Megami Tensei;真・女神転生,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Shin Megami Tensei,真・女神転生,
35418,Jumbo Ozaki no Hole In One;ジャンボ尾崎のホールインワン,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Jumbo Ozaki no Hole In One,ジャンボ尾崎のホールインワン,
35419,Kinnikuman Dirty Challenger;キン肉マン ダーティー・チャレンジャー,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Kinnikuman Dirty Challenger,キン肉マン ダーティー・チャレンジャー,
35420,Dragon's Earth;ドラゴンズ・アース,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Dragon's Earth,ドラゴンズ・アース,
35421,The Great Battle II Last Fighter Twin;ザ・グレイトバトルII ラストファイター ツイン,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,The Great Battle II Last Fighter Twin,ザ・グレイトバトルII ラストファイター ツイン,
35422,Hello! Pac-Man;ハロー！パックマン;Pac-Man 2 The New Adventures,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Hello! Pac-Man,ハロー！パックマン|Pac-Man 2 The New Adventures,
35423,Final Fantasy VI;ファイナルファンタジーVI;Final Fantasy 6;Final Fantasy 3;Final Fantasy III,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Final Fantasy VI,ファイナルファンタジーVI|Final Fantasy 6|Final Fantasy 3|Final Fantasy III,
35424,Super Kick Boxing Best of the Best;スーパーキックボクシング Best of the Best;Best of the Best Championship Karate,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super Kick Boxing Best of the Best,スーパーキックボクシング Best of the Best|Best of the Best Championship Karate,
35425,Hokuto no Ken 6 Gekitou Denshou Ken Haou he no Michi;北斗の拳6 激闘伝承拳 覇王への道;Fist Of The North Star 6,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Hokuto no Ken 6 Gekitou Denshou Ken Haou he no Michi,北斗の拳6 激闘伝承拳 覇王への道|Fist Of The North Star 6,
35426,Shounen Ashibe Goma-chan no Yuuenchi Daibouken;少年アシベ ゴマちゃんのゆうえんち大冒険,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Shounen Ashibe Goma-chan no Yuuenchi Daibouken,少年アシベ ゴマちゃんのゆうえんち大冒険,
35427,Hero Senki Project Olympus;ヒーロー戦記 プロジェクト オリュンポス,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Hero Senki Project Olympus,ヒーロー戦記 プロジェクト オリュンポス,
35428,Elfaria II The Quest of the Meld;エルファリアII ザ・クエスト・オブ・ザ・メルド,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Elfaria II The Quest of the Meld,エルファリアII ザ・クエスト・オブ・ザ・メルド,
35429,Spark World;スパーク・ワールド,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Spark World,スパーク・ワールド,
35430,Sky Mission;スカイミッション;Wings 2 Aces High,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Sky Mission,スカイミッション|Wings 2 Aces High,
35431,Jurassic Park;ジュラシック・パーク,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Jurassic Park,ジュラシック・パーク,
35432,Tatakae Genshijin 2 Rookie no Bouken;戦え原始人2 ルーキーの冒険;Congo's Caper,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Tatakae Genshijin 2 Rookie no Bouken,戦え原始人2 ルーキーの冒険|Congo's Caper,
35433,Gunple Gunman's Proof;ガンプル Gunman's Proof,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Gunple Gunman's Proof,ガンプル Gunman's Proof,
35434,Strike Gunner S.T.G;Strike Gunner  エス・ティー・ジー,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Strike Gunner S.T.G,Strike Gunner  エス・ティー・ジー,
35435,Ghost Chaser Densei;ゴーストチェイサー 電精,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Ghost Chaser Densei,ゴーストチェイサー 電精,soundtrack
35436,Shounen Ninja Sasuke;少年忍者サスケ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Shounen Ninja Sasuke,少年忍者サスケ,
35437,F-Zero;エフゼロ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,F-Zero,エフゼロ,
35438,Olivia's Mystery;オリビアのミステリー,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Olivia's Mystery,オリビアのミステリー,
35439,Captain Tsubasa III Koutei no Chousen;キャプテン翼III —皇帝の挑戦—,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Captain Tsubasa III Koutei no Chousen,キャプテン翼III —皇帝の挑戦—,
35440,Super Linearball;スーパーリニアボール;Space Football One on One,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super Linearball,スーパーリニアボール|Space Football One on One,
35441,Otogirisou;弟切草,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Otogirisou,弟切草,
35442,Stargate;スターゲイト,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Stargate,スターゲイト,
35443,Dark Law Meaning Of Death;ダークロウ ミーニング・オブ・デス,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Dark Law Meaning Of Death,ダークロウ ミーニング・オブ・デス,
35444,"Hanjuku Hero Hanjuku Eiyuu Aa, Sekai yo Hanjuku Nare...!!;はんじゅくヒーロー 半熟英雄 ああ、世界よ半熟なれ…！！",Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,"Hanjuku Hero Hanjuku Eiyuu Aa, Sekai yo Hanjuku Nare...!!",はんじゅくヒーロー 半熟英雄 ああ、世界よ半熟なれ…！！,
35447,Super Mahjong;Super 麻雀;スーパーま〜じゃん,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super Mahjong,Super 麻雀|スーパーま〜じゃん,
35449,Super Gachapon World SD Gundam X;スーパーガチャポンワールド SDガンダムX,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Gachapon World SD Gundam X,スーパーガチャポンワールド SDガンダムX,
35450,Royal Conquest;ロイヤルコンクエスト;King Arthur's World,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Royal Conquest,ロイヤルコンクエスト|King Arthur's World,
35451,Pilotwings;パイロットウイングス,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Pilotwings,パイロットウイングス,
35452,Outer World;アウター・ワールド;Another World; Out of This World,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Outer World,アウター・ワールド|Another World|Out of This World,
35453,Honke Sankyo Fever Jikki Simulation 2;本家Sankyo Fever 2 実機シミュレーション,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Honke Sankyo Fever Jikki Simulation 2,本家Sankyo Fever 2 実機シミュレーション,
35456,Gambler Jiko Chuushinha 2 Dorapon Quest;ぎゅわんぶらあ自己中心派2 ドラポンクエスト,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Gambler Jiko Chuushinha 2 Dorapon Quest,ぎゅわんぶらあ自己中心派2 ドラポンクエスト,
35458,Sonic Wings;ソニックウイングス,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Sonic Wings,ソニックウイングス,
35462,Gouketsuji Ichizoku;豪血寺一族;Power Instinct,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Gouketsuji Ichizoku,豪血寺一族|Power Instinct,
35463,Rushing Beat Shura;ラッシング・ビート 修羅;The Peace Keepers,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Rushing Beat Shura,ラッシング・ビート 修羅|The Peace Keepers,
35465,Super Earth Defense Force;SUPER E.D.F.,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Earth Defense Force,SUPER E.D.F.,
35467,Kirby no Kirakira Kids;カービィのきらきらきっず,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Kirby no Kirakira Kids,カービィのきらきらきっず,
35469,Koushien 2;甲子園2,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Koushien 2,甲子園2,
35470,Chibi Maruko-chan Harikiri 365 Nichi no Maki;ちびまる子ちゃん「はりきり365日」の巻,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Chibi Maruko-chan Harikiri 365 Nichi no Maki,ちびまる子ちゃん「はりきり365日」の巻,
35471,Acrobat Mission;アクロバットミッション,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Acrobat Mission,アクロバットミッション,
35473,Final Fight Tough;ファイナルファイト タフ;Final Fight 3,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Final Fight Tough,ファイナルファイト タフ|Final Fight 3,
35477,Undercover Cops;ファイナルファイト タフ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Undercover Cops,ファイナルファイト タフ,
35478,Bishoujo Senshi Sailor Moon;美少女戦士セーラームーン;Sailor Moon,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Bishoujo Senshi Sailor Moon,美少女戦士セーラームーン|Sailor Moon,
35479,Kenyuu Densetsu Yaiba;ヤイバ 剣勇伝説 Yaiba,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Kenyuu Densetsu Yaiba,ヤイバ 剣勇伝説 Yaiba,
35480,Pop'n TwinBee;ポップン ツインビー,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Pop'n TwinBee,ポップン ツインビー,
35482,Battletoads In Battlemaniacs;バトルトード イン バトルマニアック,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Battletoads In Battlemaniacs,バトルトード イン バトルマニアック,
35483,Honoo no Doukyuuji Dodge Danpei;炎の闘球児 ドッジ弾平,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Honoo no Doukyuuji Dodge Danpei,炎の闘球児 ドッジ弾平,
35485,Hokuto no Ken 5 Tenma Ryuuseiden Ai Zetsu Shou;北斗の拳5 天魔流星伝 哀・絶章;Fist Of The North Star 5,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Hokuto no Ken 5 Tenma Ryuuseiden Ai Zetsu Shou,北斗の拳5 天魔流星伝 哀・絶章|Fist Of The North Star 5,
35486,Super Shanghai Dragon's Eye;スーパー上海ドラゴンズアイ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Shanghai Dragon's Eye,スーパー上海ドラゴンズアイ,
35488,Spindizzy Worlds;スピンディジーワールド,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Spindizzy Worlds,スピンディジーワールド,
35489,Naruhodo! The World;なるほど！ザ・ワールド,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Naruhodo! The World,なるほど！ザ・ワールド,
35490,WWF Super WrestleMania;WWFスーパーレッスルマニア,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,WWF Super WrestleMania,WWFスーパーレッスルマニア,
35491,Battle Grand Prix;バトルグランプリ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Battle Grand Prix,バトルグランプリ,
35492,Song Master;ソングマスター,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Song Master,ソングマスター,
35495,Rokudenashi Blues Taiketsu! Tokyo Shitennou;ろくでなし ブルース 対決！東京四天王,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Rokudenashi Blues Taiketsu! Tokyo Shitennou,ろくでなし ブルース 対決！東京四天王,
35496,Street Fighter Zero 2;ストリートファイターZero 2;Street Fighter Alpha 2,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Street Fighter Zero 2,ストリートファイターZero 2|Street Fighter Alpha 2,
35497,The Blues Brothers;ブルースブラザーズ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,The Blues Brothers,ブルースブラザーズ,
35499,Sword Maniac;ソード・マニアック;X-Kaliber 2097,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Sword Maniac,ソード・マニアック|X-Kaliber 2097,
35500,Shougi Sanmai;将棋三昧,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Shougi Sanmai,将棋三昧,
35501,Bio Metal;バイオメタル;Biometal,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Bio Metal,バイオメタル|Biometal,
35502,Gegege no Kitarou Fukkatsu! Tenma Daiou;ゲゲゲの鬼太郎 復活！天魔大王,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Gegege no Kitarou Fukkatsu! Tenma Daiou,ゲゲゲの鬼太郎 復活！天魔大王,
35503,Wild Guns;ワイルドガンズ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Wild Guns,ワイルドガンズ,
35504,Magical Pop'n;マジカルポップン,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Magical Pop'n,マジカルポップン,
35505,Mighty Morphin Power Rangers;マイティーモーフィン パワーレンジャー,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Mighty Morphin Power Rangers,マイティーモーフィン パワーレンジャー,
35506,Rockman X;ロックマンエックス;Mega Man X,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Rockman X,ロックマンエックス|Mega Man X,
35507,Darius Twin;ダライアスツイン,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Darius Twin,ダライアスツイン,
35508,Kidou Soukou Dion;機動装甲ダイオン;Imperium,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Kidou Soukou Dion,機動装甲ダイオン|Imperium,
35509,Rockman X2;ロックマンエックス2;Mega Man X2,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Rockman X2,ロックマンエックス2|Mega Man X2,
35510,The Amazing Spider-Man Lethal Foes;スパイダーマン リーサルフォーズ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,The Amazing Spider-Man Lethal Foes,スパイダーマン リーサルフォーズ,
35513,Super Back To The Future 2;スーパー・バック・トゥ・ザ・フューチャーII,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Back To The Future 2,スーパー・バック・トゥ・ザ・フューチャーII,
35514,Batman Forever;バットマン フォーエヴァー,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Batman Forever,バットマン フォーエヴァー,
35515,Circuit USA;サーキットUSA;Kyle Petty's No Fear Racing,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Circuit USA,サーキットUSA|Kyle Petty's No Fear Racing,
35516,46 Okunen Monogatari Harukanaru Eden he;46億年物語 —はるかなるエデンへ—; E.V.O. Search for Eden,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,46 Okunen Monogatari Harukanaru Eden he,46億年物語 —はるかなるエデンへ—|E.V.O. Search for Eden,
35517,Jikkyou World Soccer 2 Fighting Eleven;実況ワールドサッカー2 ファイティング イレブン;International Superstar Soccer Deluxe,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Jikkyou World Soccer 2 Fighting Eleven,実況ワールドサッカー2 ファイティング イレブン|International Superstar Soccer Deluxe,
35519,Gourmet Sentai Bara Yarou;美食戦隊 薔薇野郎;ぐるめせんたい ばらやろう;Gourmet Warriors,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Gourmet Sentai Bara Yarou,美食戦隊 薔薇野郎|ぐるめせんたい ばらやろう|Gourmet Warriors,
35522,Teenage Mutant Ninja Turtles Mutant Warriors;T.M.N.T. ミュータントウォーリアーズ;ティーンエージ ミュータント ニンジャ タートルズ トーナメント ファイターズ;Teenage Mutant Ninja Turtles Tournament Fighters;Teenage Mutant Hero Turtles Tournament Fighters,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Teenage Mutant Ninja Turtles Mutant Warriors,T.M.N.T. ミュータントウォーリアーズ|ティーンエージ ミュータント ニンジャ タートルズ トーナメント ファイターズ|Teenage Mutant Ninja Turtles Tournament Fighters|Teenage Mutant Hero Turtles Tournament Fighters,
35523,Otoboke Ninja Colosseum;おとぼけ忍者コロシアム,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Otoboke Ninja Colosseum,おとぼけ忍者コロシアム,
35524,Ardy Lightfoot;アルディライトフット,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Ardy Lightfoot,アルディライトフット,
35525,Demon's Blazon Makaimura Monshou Hen;デモンズ・ブレイゾン 魔界村 紋章編;Demon's Crest,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Demon's Blazon Makaimura Monshou Hen,デモンズ・ブレイゾン 魔界村 紋章編|Demon's Crest,
35526,Deae Tonosama Appare Ichiban;であえ殿さま あっぱれ一番,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Deae Tonosama Appare Ichiban,であえ殿さま あっぱれ一番,
35527,Yoshi no Road Hunting;ヨッシーのロードハンティング;Yoshi's Safari,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Yoshi no Road Hunting,ヨッシーのロードハンティング|Yoshi's Safari,
35528,G.O.D Mezameyo to Yobu Koe ga Kikoe;G・O・D 目覚めよと呼ぶ声が聴こえ;ジー・オー・ディー,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,G.O.D Mezameyo to Yobu Koe ga Kikoe,G・O・D 目覚めよと呼ぶ声が聴こえ|ジー・オー・ディー,
35529,Prince of Persia;プリンス オブ ペルシャ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Prince of Persia,プリンス オブ ペルシャ,
35530,The Simpsons Bart no Fushigi na Yume no Daibouken;ザ・シンプソンズ バートの不思議な夢の大冒険;The Simpsons Bart's Nightmare,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,The Simpsons Bart no Fushigi na Yume no Daibouken,ザ・シンプソンズ バートの不思議な夢の大冒険|The Simpsons Bart's Nightmare,
35531,Knights of the Round;ナイツ オブ ザ ラウンド,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Knights of the Round,ナイツ オブ ザ ラウンド,
35532,Ginga Sengoku Gunyuuden Rai;銀河戦国群雄伝ライ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Ginga Sengoku Gunyuuden Rai,銀河戦国群雄伝ライ,
35533,Home Alone;ホーム・アローン,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Home Alone,ホーム・アローン,
35542,Rockman & Forte;ロックマン＆フォルテ,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Rockman & Forte,ロックマン＆フォルテ,
35543,Contra Spirits;魂斗羅スピリッツ;コントラスピリッツ;Contra III The Alien Wars;Contra 3;Super Probotector Alien Rebels,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;;,Japan,Contra Spirits,魂斗羅スピリッツ|コントラスピリッツ|Contra III The Alien Wars|Contra 3|Super Probotector Alien Rebels,
35544,Chouaniki Bakuretsu Rantou Hen;超兄貴 ~爆烈乱闘篇~,Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Chouaniki Bakuretsu Rantou Hen,超兄貴 ~爆烈乱闘篇~,
