object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,broadcast_standard,title.language,place_of_publication,title_primary,alt_titles,accessory_type
9017,Sim City;シムシティー;SimCity,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Sim City,シムシティー|SimCity,
9018,Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame;がんばれゴエモン3 獅子重禄兵衛のからくり卍固め;がんばれゴエモン3 ししじゅうろくひょうえのからくりまんじがため;Ganbare Goemon 3 Shishijūrokubē no Karakuri Manji Gatame,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Ganbare Goemon 3 Shishi Juuroku Hyoue no Karakuri Manjigatame,がんばれゴエモン3 獅子重禄兵衛のからくり卍固め|がんばれゴエモン3 ししじゅうろくひょうえのからくりまんじがため|Ganbare Goemon 3 Shishijūrokubē no Karakuri Manji Gatame,
9019,Captain Tsubasa IV Pro no Rival Tachi;キャプテン翼IV —プロのライバルたち—;Captain Tsubasa IV Pro no Rival-tachi;Captain Tsubasa 4 Pro no Rival Tachi,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Captain Tsubasa IV Pro no Rival Tachi,キャプテン翼IV —プロのライバルたち—|Captain Tsubasa IV Pro no Rival-tachi|Captain Tsubasa 4 Pro no Rival Tachi,
9073,Ganbare Goemon Yukihime Kyuushutsu Emaki;がんばれゴエモン〜ゆき姫救出絵巻〜;Ganbare Goemon Yuki Hime Kyuushutsu Emaki;Ganbare Goemon Yukihime Kyūshutsu Emaki;The Legend of the Mystical Ninja,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Ganbare Goemon Yukihime Kyuushutsu Emaki,がんばれゴエモン〜ゆき姫救出絵巻〜|Ganbare Goemon Yuki Hime Kyuushutsu Emaki|Ganbare Goemon Yukihime Kyūshutsu Emaki|The Legend of the Mystical Ninja,
9088,Elfaria A Fantastic Theater;エルファリア;Elfaria The Isle of the Blest ,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Elfaria A Fantastic Theater,エルファリア|Elfaria The Isle of the Blest,
9092,Garou Densetsu Shukumei no Tatakai;餓狼伝説 宿命の闘い;がろうでんせつ;Fatal Fury,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Garou Densetsu Shukumei no Tatakai,餓狼伝説 宿命の闘い|がろうでんせつ|Fatal Fury,
9097,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!;美少女戦士セーラームーンS こんどはパズルでおしおきよ！！;Bishoujo Senshi Sailor Moon S Kondo ha Puzzle de Oshioki yo!!;Bishoujo Senshi Sailor Moon Super Kondo wa Puzzle de Oshioki yo!!,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Bishoujo Senshi Sailor Moon S Kondo wa Puzzle de Oshioki yo!!,美少女戦士セーラームーンS こんどはパズルでおしおきよ！！|Bishoujo Senshi Sailor Moon S Kondo ha Puzzle de Oshioki yo!!|Bishoujo Senshi Sailor Moon Super Kondo wa Puzzle de Oshioki yo!!,
9101,Super Mahjong Taikai;スーパー麻雀大会,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Mahjong Taikai,スーパー麻雀大会,
9102,Super F1 Circus;スーパーエフワン サーカス;Super F-1 Circus,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super F1 Circus,スーパーエフワン サーカス|Super F-1 Circus,
9103,Suzuka 8 Hours;スズカエイトアワーズ,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Suzuka 8 Hours,スズカエイトアワーズ,
9121,Classic Road II;クラシックロードII;Classic Road 2,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Classic Road II,クラシックロードII|Classic Road 2,
9148,Super 4WD The Baja;スーパ4WDーザ・バハ;スーパ よんグプリユテイー ザ・バハ;Super Off Road The Baja,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Super 4WD The Baja,スーパ4WDーザ・バハ|スーパ よんグプリユテイー ザ・バハ|Super Off Road The Baja,
