object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,title_primary,alt_titles,accessory_type
20367,Marvel Super Heroes in War of the Gems,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Marvel Super Heroes in War of the Gems,,
20368,Super Morph,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Morph,,
20370,The Addams Family,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Addams Family,,
20373,Ms. Pac-Man,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Ms. Pac-Man,,
20374,Alien 3,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Alien 3,,
20376,The Smurfs,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Smurfs,,
20377,Super Mario World 2 Yoshi's Island,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario World 2 Yoshi's Island,,
20379,Mortal Kombat,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat,,
20380,Mortal Kombat II;Mortal Kombat 2,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat II,Mortal Kombat 2,
20381,Mortal Kombat 3;Mortal Kombat III,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mortal Kombat 3,Mortal Kombat III,
20382,Blazing Skies,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Blazing Skies,,
20383,X-Kaliber 2097,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,X-Kaliber 2097,,
20385,Winter Gold,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Winter Gold,,
20386,International Superstar Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,International Superstar Soccer,,
20387,International Superstar Soccer Deluxe,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,International Superstar Soccer Deluxe,,
20388,Soul Blazer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Soul Blazer,,
20390,Mega Man X,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mega Man X,,
20392,Super Bomberman 2,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Bomberman 2,,
20394,Super Castlevania IV,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Castlevania IV,,
20395,Castlevania Vampire's Kiss,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Castlevania Vampire's Kiss,,
20398,Super Probotector Alien Rebels;Contra III: The Alien Wars,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Probotector Alien Rebels,Contra III: The Alien Wars,
20399,X Zone;X-Zone,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,X Zone,X-Zone,
20404,Venom • Spider-Man Separation Anxiety;Venom/Spider-Man: Separation Anxiety,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Venom • Spider-Man Separation Anxiety,Venom/Spider-Man: Separation Anxiety,
20406,Teenage Mutant Hero Turtles IV Turtles in Time;Teenage Mutant Ninja Turtles IV: Turtles in Time,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Teenage Mutant Hero Turtles IV Turtles in Time,Teenage Mutant Ninja Turtles IV: Turtles in Time,
20407,Shadowrun,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Shadowrun,,
20408,Street Fighter II,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Street Fighter II,,
20409,Harvest Moon,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Harvest Moon,,
20410,Breath of Fire II,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Breath of Fire II,,
20411,Super Smash T.V.;Smash TV,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Smash T.V.,Smash TV,
20412,Secret of Mana,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Secret of Mana,,
20413,Pocky & Rocky,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pocky & Rocky,,
20414,Demolition Man,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Demolition Man,,
20415,Jurassic Park Part 2: The Chaos Continues;Jurassic Park 2: The Chaos Continues,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Jurassic Park Part 2: The Chaos Continues,Jurassic Park 2: The Chaos Continues,
20416,Tiny Toon Adventures Wild & Wacky Sports;Tiny Toon Adventures: Wacky Sports Challenge,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tiny Toon Adventures Wild & Wacky Sports,Tiny Toon Adventures: Wacky Sports Challenge,
20417,Ardy Lightfoot,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Ardy Lightfoot,,
20418,Starwing;Star Fox,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Starwing,Star Fox,
20431,Midway Presents Arcade's Greatest Hits The Atari Collection 1,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Midway Presents Arcade's Greatest Hits The Atari Collection 1,,
20434,Battletoads Double Dragon;Battletoads & Double Dragon,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Battletoads Double Dragon,Battletoads & Double Dragon,
20436,Tintin in Tibet,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tintin in Tibet,,
20438,Yogi Bear's Cartoon Capers;Adventures of Yogi Bear,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Yogi Bear's Cartoon Capers,Adventures of Yogi Bear,
26506,Terranigma,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Terranigma,,
26508,Lufia + Guide book set;Lufia II Rise of the Sinistrals;Estpolis Denki II,Game Bundle Description;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game Bundle,Lufia + Guide book set,Lufia II Rise of the Sinistrals|Estpolis Denki II,guide
26509,Secret of Evermore,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Secret of Evermore,,
26510,Illusion of Time;Illusion of Gaia;Gaia Gensouki,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Illusion of Time,Illusion of Gaia|Gaia Gensouki,
26512,Mario Paint,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mario Paint,,
26513,Disney's Goof Troop;Goof Troop,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's Goof Troop,Goof Troop,
26514,Disney's Aladdin;Aladdin,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's Aladdin,Aladdin,
26516,The Magical Quest Starring Mickey Mouse;Mickey no Magical Adventure,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Magical Quest Starring Mickey Mouse,Mickey no Magical Adventure,
26517,Earthworm Jim 2,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Earthworm Jim 2,,
26518,Zombies;Zombies Ate My Neighbors,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Zombies,Zombies Ate My Neighbors,
26519,International Superstar Soccer;Jikkyou World Soccer Perfect Eleven,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,International Superstar Soccer,Jikkyou World Soccer Perfect Eleven,
