object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,title_primary,alt_titles,accessory_type
26984,RoboCop Versus The Terminator;RoboCop vs The Terminator;RoboCop vs. The Terminator,Game Title;Game Title Alternative;,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,RoboCop Versus The Terminator,RoboCop vs The Terminator|RoboCop vs. The Terminator,
26985,SeaQuest DSV;Sea Quest DSV,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,SeaQuest DSV,Sea Quest DSV,
26986,King Arthur's World,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,King Arthur's World,,
26987,Another World;Out of This World;Outer World,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Another World,Out of This World|Outer World,
26990,Disney's Aladdin;Aladdin,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's Aladdin,Aladdin,
26991,Young Merlin,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Young Merlin,,
26992,NHL 95,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL 95,,
26993,Blackhawk;Blackthorne,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Blackhawk,Blackthorne,
26994,Mighty Morphin Power Rangers,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mighty Morphin Power Rangers,,
27012,The Lost Vikings,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Lost Vikings,,soundtrack
27013,Gods,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Gods,,
27014,World Cup USA 94;World Cup USA '94,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,World Cup USA 94,World Cup USA '94,
27015,Best of the Best Championship Karate;Super Kick Boxing,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Best of the Best Championship Karate,Super Kick Boxing,
27017,Tintin i Tibet;Tintin in Tibet,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tintin i Tibet,Tintin in Tibet,
27018,Super Bomberman 2,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Bomberman 2,,
27019,Val d'Isere Championship;Tommy Moe's Winter Extreme Skiing and Snowboarding,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Val d'Isere Championship,Tommy Moe's Winter Extreme Skiing and Snowboarding,
27020,Axelay,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Axelay,,
27021,Dragon The Bruce Lee Story,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Dragon The Bruce Lee Story,,
27022,The Pagemaster,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Pagemaster,,
27023,Stargate,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Stargate,,
27026,Disney's The Jungle Book,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's The Jungle Book,,
29365,Power Piggs of the Dark Age,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Power Piggs of the Dark Age,,
30311,Super Nintendo Entertainment System Super Mario 5 Stars Pack;Super Nintendo Entertainment System;Super Mario All-Stars + Super Mario World,System Bundle Description;Console Description;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,System Bundle,Super Nintendo Entertainment System Super Mario 5 Stars Pack,Super Nintendo Entertainment System|Super Mario All-Stars + Super Mario World,
30312,Super Nintendo Entertainment System Street Fighter II set;Super Nintendo Entertainment System;Street Fighter II;Street Fighter 2,System Bundle Description;Console Description;Game Title;Game Demo Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,System Bundle,Super Nintendo Entertainment System Street Fighter II set,Super Nintendo Entertainment System|Street Fighter II|Street Fighter 2,
30314,"Super Nintendo Entertainment System, ""Super NES Control Set""",Console Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Console,"Super Nintendo Entertainment System, ""Super NES Control Set""",,
30481,Super Hydorah,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Game,Super Hydorah,,
30939,"Hyperkin Supaboy, Portable Super Nintendo Entertainment System",Console Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Console,"Hyperkin Supaboy, Portable Super Nintendo Entertainment System",,
32988,Super NES Nintendo Scope 6,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,Super NES Nintendo Scope 6,,
33550,"Super Metroid, Big box guide set;Super Metroid",Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game Bundle,"Super Metroid, Big box guide set",Super Metroid,guide
33674,Super Nes Control Set,Console Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Console,Super Nes Control Set,,
33774,"Super NES Nintendo Scope 6 set;Super NES Nintendo Scope 6;Nintendo Scope, Super Scope, Sensor Gun Controller",Game Bundle Description;Game Title;Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Game Bundle,Super NES Nintendo Scope 6 set,"Super NES Nintendo Scope 6|Nintendo Scope, Super Scope, Sensor Gun Controller",
33867,"Super Nintendo Entertainment System, SNES Junior Jr., Super NES Control Deck",Console Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Console,"Super Nintendo Entertainment System, SNES Junior Jr., Super NES Control Deck",,
33933,"Tri-Star 8 Bit Adaptor for SNES, NES / Famicom Adapter",Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,"Tri-Star 8 Bit Adaptor for SNES, NES / Famicom Adapter",,
33942,"Sports Sciences Tee V Golf, Controller",Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,"Sports Sciences Tee V Golf, Controller",,
33964,Super Nintendo Entertainment System,Console Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Console,Super Nintendo Entertainment System,,
34068,Super Nintendo Entertainment System Super Mario World set;Super Nintendo Entertainment System;Super Mario World,System Bundle Description;Console Description;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,System Bundle,Super Nintendo Entertainment System Super Mario World set,Super Nintendo Entertainment System|Super Mario World,
34166,"Aura Interactor, Force-feedback device",Peripheral Description,Sony PlayStation;Sega Mega Drive;Nintendo Super Nintendo Entertainment System;PC;Commodore Amiga,Sony PlayStation,PS,;;;;,Peripheral,"Aura Interactor, Force-feedback device",,
34175,Slik Sticks Quest Control Pad for Super Nintendo,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,Slik Sticks Quest Control Pad for Super Nintendo,,
34176,Slik Sticks Quest Control Pad for Super Nintendo,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,Slik Sticks Quest Control Pad for Super Nintendo,,
34177,Slik Sticks Quest Control Pad for Super Nintendo,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,Slik Sticks Quest Control Pad for Super Nintendo,,
34178,Slik Sticks Quest Control Pad for Super Nintendo,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,Slik Sticks Quest Control Pad for Super Nintendo,,
34265,"Leda LMP Gamester Arcade Video Game Control Centre, Console storage system",Peripheral Description,Nintendo Super Nintendo Entertainment System;Sega Mega Drive,Nintendo Super Nintendo Entertainment System,SNES,;,Peripheral,"Leda LMP Gamester Arcade Video Game Control Centre, Console storage system",,
34406,Street Fighter II,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Street Fighter II,,
36825,"Yapon Super Nintendo Entertainment System SNES Rental Unit, Cased;Super Nintendo Entertainment System SNES",System Bundle Description;Console Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,System Bundle,"Yapon Super Nintendo Entertainment System SNES Rental Unit, Cased",Super Nintendo Entertainment System SNES,packaging
36979,Data East Classic Collection;Fighter's History;Fighter's History Mizoguchi Kiki Ippatsu!!;ファイターズヒストリー 〜溝口危機一髪!!〜;Side Pocket;Magical Drop;Magical Drop II;Magical Drop 2,Game Title;Game Title;Game Title Alternative;Game Title;Game Title;Game Title;Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Data East Classic Collection,Fighter's History|Fighter's History Mizoguchi Kiki Ippatsu!!|ファイターズヒストリー 〜溝口危機一髪!!〜|Side Pocket|Magical Drop|Magical Drop II|Magical Drop 2,
36982,Data East Classic Collection;Fighter's History;Fighter's History Mizoguchi Kiki Ippatsu!!;ファイターズヒストリー 〜溝口危機一髪!!〜;Side Pocket;Magical Drop;Magical Drop II;Magical Drop 2,Game Title;Game Title;Game Title Alternative;Game Title;Game Title;Game Title;Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Data East Classic Collection,Fighter's History|Fighter's History Mizoguchi Kiki Ippatsu!!|ファイターズヒストリー 〜溝口危機一髪!!〜|Side Pocket|Magical Drop|Magical Drop II|Magical Drop 2,
36998,Undercover Cops Collector's Edition;Undercover Cops,Game Title;Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Undercover Cops Collector's Edition,Undercover Cops,
37038,Battletoads Double Dragon,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Battletoads Double Dragon,,
37329,Super Nintendo Entertainment System,Console Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Console,Super Nintendo Entertainment System,,
37928,Final Fantasy III;Final Fantasy 3,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Final Fantasy III,Final Fantasy 3,
37930,Bram Stoker's Dracula,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Bram Stoker's Dracula,,
37931,Super Mario World 2 Yoshi's island,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario World 2 Yoshi's island,,
37935,Super Castlevania IV;Super Castlevania 4,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Castlevania IV,Super Castlevania 4,
37937,Final Fantasy II;Final Fantasy 2,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Final Fantasy II,Final Fantasy 2,
37940,Final Fantasy Mystic Quest,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Final Fantasy Mystic Quest,,
37942,Mega Man 7,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Mega Man 7,,
37946,Secret of Mana,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Secret of Mana,,
37948,Cybernator,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cybernator,,
37951,Breath of Fire II;Breath of Fire 2,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Breath of Fire II,Breath of Fire 2,
37953,Breath of Fire,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Breath of Fire,,
37955,Demon's Crest,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Demon's Crest,,
37956,ActRaiser 2,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,ActRaiser 2,,
37957,Super R-Type,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super R-Type,,
37958,Cyber Spin,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cyber Spin,,
37959,Donkey Kong Country,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country,,
37960,Donkey Kong Country 2 Diddy's Kong Quest,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country 2 Diddy's Kong Quest,,
37962,Donkey Kong Country 3 Donkey Kong's Double Trouble!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donkey Kong Country 3 Donkey Kong's Double Trouble!,,
37963,Inindo Way of the Ninja,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Inindo Way of the Ninja,,
37964,Illusion of Gaia,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Illusion of Gaia,,
37965,Lufia & the Fortress of Doom,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lufia & the Fortress of Doom,,
37967,Super Mario RPG Legend of the Seven Stars,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario RPG Legend of the Seven Stars,,
37968,Super Mario All-Stars,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Mario All-Stars,,
37970,The Legend of Zelda A Link to the Past,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Legend of Zelda A Link to the Past,,
37972,Operation Europe Path to Victory 1939-45,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Operation Europe Path to Victory 1939-45,,
37973,D-Force,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,D-Force,,
37974,Street Fighter II;Street Fighter 2,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Street Fighter II,Street Fighter 2,
37976,R-Type III;R-Type 3,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,R-Type III,R-Type 3,
37978,Super Probotector Alien Rebels,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Probotector Alien Rebels,,
37981,Teenage Mutant Hero Turtles IV Turtles in Time;Teenage Mutant Hero Turtles 4 Turtles in Time,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Teenage Mutant Hero Turtles IV Turtles in Time,Teenage Mutant Hero Turtles 4 Turtles in Time,
37988,Lufia II Rise of the Sinistrals;Lufia 2 Rise of the Sinistrals,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Lufia II Rise of the Sinistrals,Lufia 2 Rise of the Sinistrals,
39356,Nintendo Campus Challenge 1992,Promotional Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Promotional;Prototype,Nintendo Campus Challenge 1992,,
40343,Cool Spot,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cool Spot,,
40354,Best of the Best Championship Karate,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Best of the Best Championship Karate,,
40361,Blazing Skies,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Blazing Skies,,
40364,Daffy Duck The Marvin Missions,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Daffy Duck The Marvin Missions,,
40407,Tiny Toon Adventures Buster Busts Loose!,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Tiny Toon Adventures Buster Busts Loose!,,
40415,King Arthur's World,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,King Arthur's World,,
40466,Micro Machine,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Micro Machine,,
40471,NBA Live 96,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Live 96,,
40534,NewmanHaas IndyCar featuring Nigel Mansell,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NewmanHaas IndyCar featuring Nigel Mansell,,
40554,Winter Olympics Lillehammer 94,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Winter Olympics Lillehammer 94,,
40568,NHLPA Hockey '93,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHLPA Hockey '93,,
40586,World Cup Striker,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,World Cup Striker,,
40592,Aaahh!!! Real Monsters,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Aaahh!!! Real Monsters,,
40593,World Cup Striker,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,World Cup Striker,,
40664,NHLPA Hockey '93,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHLPA Hockey '93,,
40683,International Superstar Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,International Superstar Soccer,,
40693,Power Rangers,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Power Rangers,,
40723,Donald in Maui Mallard,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Donald in Maui Mallard,,
41497,Super Star Wars,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Star Wars,,
41498,Super Star Wars,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Star Wars,,
41548,Super Star Wars The Empire Strikes Back,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Star Wars The Empire Strikes Back,,
41576,Zombies;Zombies Ate my Neighbors,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Zombies,Zombies Ate my Neighbors,
41578,Ghoul Patrol,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Ghoul Patrol,,
41579,Ghoul Patrol,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Ghoul Patrol,,
41642,Super Star Wars Return of the Jedi,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Super Star Wars Return of the Jedi,,
41644,Indiana Jones Greatest Adventures,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Indiana Jones Greatest Adventures,,
41649,Big Sky Trooper,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Big Sky Trooper,,
41888,Asciiware Fighter Stick SN,Peripheral Description,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,,Peripheral,Asciiware Fighter Stick SN,,
42278,NHL 96,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL 96,,
42279,PGA Tour 96,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,PGA Tour 96,,
42287,Carrier Aces,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Carrier Aces,,
42289,Street Racer,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Street Racer,,
42295,FIFA Soccer 96;FIFA 96 Virtual Soccer Stadium,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,FIFA Soccer 96,FIFA 96 Virtual Soccer Stadium,
42301,Val d'Isere Championship,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Val d'Isere Championship,,
42307,Winter Olympics Lillehammer 94,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Winter Olympics Lillehammer 94,,
42312,Killer Instinct,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Killer Instinct,,
42316,Disney's Beauty and the Beast,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Disney's Beauty and the Beast,,
42318,Flashback,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Flashback,,
42319,Seaquest DSV,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Seaquest DSV,,
42320,Kick Off,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Kick Off,,
42321,Pinball Fantasies,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Pinball Fantasies,,
42322,World Masters Golf,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,World Masters Golf,,
42323,NHL 97,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL 97,,
42324,B.O.B.;Space Funky BOB,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,B.O.B.,Space Funky BOB,
42325,Judge Dredd,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Judge Dredd,,
42326,NBA Jam,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Jam,,
42327,True Lies,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,True Lies,,
42328,NHL Hockey '94;NHL '94,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NHL Hockey '94,NHL '94,
42329,NBA Jam T.E.;NBA Jam Tournament Edition,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Jam T.E.,NBA Jam Tournament Edition,
42330,The Adams Family,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Adams Family,,
42331,Bugs Bunny Rabbit Rampage,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Bugs Bunny Rabbit Rampage,,
42332,WWF Super Wrestlemania,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,WWF Super Wrestlemania,,
42333,Jimmy Connors Pro Tennis Tour,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Jimmy Connors Pro Tennis Tour,,
42334,The Mask,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,The Mask,,
42335,Cool Spot,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Cool Spot,,
42344,Theme Park;Theme Park,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Theme Park,Theme Park,
42345,Sensible Soccer Europeans Champions,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Sensible Soccer Europeans Champions,,
42346,NBA Jam,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,NBA Jam,,
42347,Power Rangers,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Power Rangers,,
42348,Brett Hull Hockey,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Brett Hull Hockey,,
42349,Micro Machines 2 Turbo Tournament,Game Title,Nintendo Super Nintendo Entertainment System,Nintendo Super Nintendo Entertainment System,SNES,Cartridge,Game,Micro Machines 2 Turbo Tournament,,
