release_id,edition_id,title_primary,platform,country,language,release_date
RL-A08C62EAE5,ED-A5CB849A0C,Super Castlevania IV,SNES,UNK,xx,
RL-3761B670D1,ED-54C495211A,Super Dany,SNES,UNK,xx,
RL-D2D82A90EC,ED-524170C93A,Super Double Dragon,SNES,UNK,xx,
RL-A0DF5F4CE1,ED-177C632B01,Super Excidium Event,SNES,UNK,xx,
RL-7405858DF6,ED-DEE32D73F4,Super Game Boy,SNES,UNK,xx,
RL-2F22653A74,ED-56E6C4A0A2,Super Goal!,SNES,UNK,xx,
RL-CE1C1EED78,ED-099332BACE,Super Hockey,SNES,UNK,xx,
RL-BD3DDF394E,ED-D08F91F615,Super Hydorah,SNES,UNK,xx,
RL-C6EE40D2C6,ED-D00638E62D,Super Mario All-Stars,SNES,UNK,xx,
RL-E3FEE95CAF,ED-FEAB738407,Super Mario All-Stars + Super Mario World,SNES,UNK,xx,
RL-8B49C7D462,ED-3CDE59E76C,Super Mario Kart,SNES,UNK,xx,
RL-DD11D56588,ED-5B6FCB1DD3,Super Mario RPG Legend of the Seven Stars,SNES,UNK,xx,
RL-E61C83079E,ED-7248CA28C4,Super Mario World,SNES,UNK,xx,
RL-578D332FF3,ED-17E2D3C7CD,Super Mario World 2 Yoshi's Island,SNES,UNK,xx,
RL-C4590CD633,ED-BAC624CF47,Super Mario World 2 Yoshi's island,SNES,UNK,xx,
RL-CB67ECDEFD,ED-C8F8B5939B,Super Metroid,SNES,UNK,xx,
RL-C97136D48B,ED-26CF3FF703,Super Monaco,MD,UNK,xx,
RL-D60EDEF900,ED-A83E3FEDA1,Super Morph,SNES,UNK,xx,
RL-885741021C,ED-4952194245,Super NES Nintendo Scope 6,SNES,UNK,xx,
RL-C84DF22C0D,ED-954EF161AD,"Super NES Score Master, Arcade controller",SNES,UNK,xx,
RL-28B8D5CBC0,ED-035721A77B,Super Nes Control Set,SNES,UNK,xx,
RL-5A00BBE9AE,ED-215CE33526,"Super Nintendo Controller, SNES",SNES,UNK,xx,
RL-6D8CF3D1FF,ED-49945BD946,Super Nintendo Entertainment System,SNES,UNK,xx,
