igdb_id,company_name,developer,publisher,porting,supporting
8121,Ocean,False,True,False,False
8121,WJS Design,True,False,False,False
9151,Nintendo IRD,True,False,False,False
9151,Nintendo,False,True,False,False
9151,Playtronic,False,True,False,False
9151,Locomotive Corporation,True,False,False,False
9619,Nintendo EAD,True,False,False,False
9619,Playtronic,False,True,False,False
9619,Nintendo,True,True,False,False
44418,C-Lab,True,False,False,False
44418,Bullet-Proof Software,False,True,False,False
265033,Titus Software,False,True,False,False
265033,Titus France,True,False,False,False
112875,Sony Interactive Entertainment,False,True,False,False
112875,SIE Santa Monica Studio,True,False,False,False
112875,Valkyrie Entertainment,False,False,False,True
112875,Jetpack Interactive,False,False,True,True
112875,Bluepoint Games,False,False,False,True
112875,RedHot Software,False,False,False,True
112875,Original Force,False,False,False,True
112875,SuperAlloy Interactive,False,False,False,True
112875,Supergenius Studio,False,False,False,True
1656,Capcom,True,True,False,False
1656,Playtronic,False,True,False,False
6349,Kemco,True,True,False,False
38389,Daft,True,False,False,False
38389,Enix,False,True,False,False
95412,A-Max,True,False,False,False
95412,Imagineer,False,True,False,False
4514,SNK,True,False,False,False
4514,Takara U.S.A.,False,True,False,False
4514,Takara,False,True,False,False
4514,K Amusement Leasing,False,True,False,False
4514,"SNK Home Entertainment, Inc.",False,True,False,False
4514,SNK of America,False,True,False,False
4514,SNK Playmore USA,False,True,False,False
4514,Hudson Soft,False,True,False,False
4514,"AlfaSystem Co., Ltd.",False,False,True,False
4514,"D4 Enterprise, Inc",False,True,False,False
4514,SNK,False,True,False,False
4514,HAMSTER,False,True,True,False
4514,Monolith,False,False,True,False
4514,Sega,False,True,False,False
38320,Intelligent Systems,True,False,False,False
38320,Nintendo,False,True,False,False
243989,DMA Design,True,False,True,False
243989,Fujitsu,False,True,False,False
45227,Jackpot,True,False,False,False
45227,Xing Entertainment,False,True,False,False
228792,Codemasters,False,True,False,False
81467,Interplay Productions,True,True,False,False
242267,Tradewest Inc,False,True,False,False
242267,Rare,False,True,False,False
242267,Sony Electronic Publishing Company,False,True,False,False
242267,Tec Toy,False,True,False,False
242267,Playtronic,False,True,False,False
18618,St. GIGA,False,True,False,False
18618,Hudson Soft,True,True,False,False
18380,Atreid Concept,True,False,False,False
18380,Namco,False,True,False,False
18380,Kalisto Entertainment,True,False,False,False
202585,Bandai,False,True,False,False
202585,Tom Create,True,False,False,False
37944,Advance Communication Company,True,False,False,False
37944,Tonkin House,False,True,False,False
5550,Artdink,False,True,False,False
5550,Riverhillsoft,False,True,False,False
5550,Atlus,False,True,False,False
5550,Quest,True,True,False,False
5550,Square Enix,True,True,False,False
38185,St. GIGA,False,True,False,False
38185,Office Koukan,True,False,False,False
38185,Pack-In-Video,False,True,False,False
15833,Taito,False,True,False,False
15833,St. GIGA,False,True,False,False
15833,Neverland,True,False,False,False
42623,Interplay Productions,False,True,False,False
42623,Visual Concepts,True,False,False,False
42623,Danger Productions,False,False,False,True
42736,ASCII Corporation,True,True,False,False
42736,Titus Interactive,False,True,False,False
42736,Playtronic,False,True,False,False
18613,Atlus,False,True,False,False
18613,Denki,True,False,False,False
324956,Artdink,True,True,False,False
11313,Square,False,True,False,False
11313,Square,True,False,False,False
11313,Square Enix,False,True,False,False
37982,Access,True,False,False,False
37982,Imagineer,False,True,False,False
217684,Tiger Electronics,True,True,False,False
42348,Electronic Arts Victor,True,True,False,False
215181,KSS,False,True,False,False
215181,Natsume Inc.,True,False,False,False
42342,Tom Create,True,False,False,False
42342,Bandai,False,True,False,False
4259,Absolute Entertainment,False,True,False,False
4259,Instinct Design,True,False,False,False
4259,Time Warner Interactive,False,True,False,False
4259,Philips Interactive Media,False,True,False,False
4259,T&E Soft,False,True,False,False
4259,Acclaim,False,True,False,False
4259,Mirage Technologies,True,False,False,False
42490,Electronic Arts,True,True,False,False
42490,Ocean,False,True,False,False
42490,Playtronic,False,True,False,False
2162,Konami,False,True,False,False
2162,LucasArts,True,False,False,False
198801,Tiger Electronics,True,True,False,False
1124,Konami,True,True,False,False
84918,Jaleco,False,True,False,False
84918,St. GIGA,False,True,False,False
84918,HAMSTER,True,True,False,False
39039,U.S. Gold,False,True,False,False
39039,System 3 Software,True,False,False,False
1178,Natsume Inc.,False,True,False,False
1178,Neverland,True,False,False,False
1178,Nintendo,False,True,False,False
1178,Taito,False,True,False,False
42662,SETA,False,True,False,False
42662,Opus,True,False,False,False
42662,System 3 Software,False,True,False,False
42612,LucasArts,False,True,False,False
37791,St. GIGA,False,True,False,False
37791,Banpresto,False,True,False,False
38125,Lenar,True,False,False,False
38125,Bullet-Proof Software,False,True,False,False
7804,Playtronic,False,True,False,False
7804,Solid Software,True,False,True,False
7804,Al Baker & Associates,False,False,True,False
7804,Accolade,True,True,False,False
27525,Titus Interactive,True,True,False,False
27525,Gradiente,False,True,False,False
27525,Playtronic,False,True,False,False
231006,Tec Toy,False,True,True,False
231006,Capcom,True,False,False,False
218750,Probe Software,True,False,False,False
218750,Flying Edge,False,True,False,False
217942,Tiger Electronics,True,True,False,False
11665,Westwood Studios,True,False,False,False
9861,Konami Digital Entertainment,True,True,False,False
9861,Playtronic,False,True,False,False
4455,U.S. Gold,False,True,False,False
38161,Banpresto,True,True,False,False
133313,Nintendo,False,True,False,False
133313,Intelligent Systems,True,False,False,False
133313,Playtronic,False,True,False,False
3656,Nintendo,True,True,False,False
3656,HAL Laboratory,True,False,False,False
3656,Nintendo,False,True,False,False
3656,Playtronic,False,True,False,False
23091,Electronic Arts,False,True,False,False
46231,Accolade,False,True,False,False
46231,Radical Entertainment,True,False,False,False
38374,ASK,False,True,False,False
38374,Lenar,True,False,False,False
9633,Nintendo,False,True,False,False
9633,Enix Corporation,False,True,False,False
9633,Quintet,True,False,False,False
9633,St. GIGA,False,True,False,False
42423,Game Arts,True,False,False,False
42423,Enix,False,True,False,False
174187,Matsushita Electric Industrial,False,True,False,False
174187,Japan DataWorks,True,False,False,False
42621,Nintendo,False,True,False,False
42621,Human Entertainment,True,True,False,False
42621,St. GIGA,False,True,False,False
8050,Konami,True,True,False,False
8050,Hyundai,False,True,False,False
153771,Blue Byte Software GmbH,True,False,False,False
153771,Misawa Entertainment,False,True,False,False
14531,Nintendo,False,True,False,False
14531,Intelligent Systems,True,False,False,False
14531,Playtronic,False,True,False,False
14531,Hyundai,False,True,False,False
4509,EA Canada,True,False,False,False
4509,High Score Productions,True,False,False,False
4509,Electronic Arts,False,True,False,False
4509,EA Sports,False,True,False,False
174910,Konami,True,True,False,False
10162,Acclaim Japan,False,True,False,False
10162,Tantalus Interactive,True,False,False,False
10162,Probe Entertainment,True,False,False,False
10162,Acclaim Entertainment,False,True,False,False
10162,Playtronic,False,True,False,False
10162,Tec Toy,False,True,False,False
4546,Sculptured Software,True,False,False,False
4546,Midway Manufacturing,False,True,False,False
4546,Acclaim Japan,False,True,False,False
4546,Midway,True,False,False,False
4546,Acclaim Entertainment,False,True,False,False
1357,Capcom,True,True,False,False
1357,Tiertex,False,False,True,False
1357,U.S. Gold,False,True,False,False
1357,Capcom,True,False,False,False
76999,Jaleco,False,True,False,False
76999,Tose,True,False,False,False
219488,Capcom,True,True,False,False
74492,Atlus,False,True,False,False
74492,Team Ladybug,True,False,False,False
15834,Media Works,False,True,False,False
15834,Alfa System,True,False,False,False
19712,High Voltage Software,True,False,False,False
19712,Atari Corporation,False,True,False,False
19712,Midway Games,True,True,False,False
19712,Acclaim Japan,False,True,False,False
19712,Iguana UK,True,False,False,False
19712,Acclaim Entertainment,False,True,False,False
19712,Hyundai,False,True,False,False
19712,Tec Toy,False,True,False,False
10843,Factor 5,True,False,False,False
10843,JVC,False,True,False,False
10843,LucasArts,True,True,False,False
10843,Playtronic,False,True,False,False
1092,Rare,True,False,False,False
1092,Nintendo,False,True,False,False
1092,Gradiente,False,True,False,False
1092,Playtronic,False,True,False,False
1092,Nintendo,False,False,True,False
1092,Hyundai,False,True,False,False
15889,SUNSOFT,True,True,False,False
15889,St. GIGA,False,True,False,False
198028,Living Mobile,False,True,False,False
198028,Hudson Soft,True,True,False,False
42447,Factor 5,True,False,False,False
42447,Ocean Software,False,True,False,False
1103,Nintendo R&D1,True,False,False,False
1103,Nintendo,False,True,False,False
1103,Nintendo,True,False,False,False
1103,Playtronic,False,True,False,False
1103,Intelligent Systems,False,False,False,True
1026,St. GIGA,False,True,False,False
1026,Nintendo EAD,True,False,False,False
1026,Nintendo,False,True,False,False
1026,Playtronic,False,True,False,False
1026,Gradiente,False,True,False,False
1026,Hyundai,False,True,False,False
329147,Jennahveer,True,False,False,False
55092,Q Studios,True,False,False,False
55092,Square Enix Business Division 8,True,False,False,False
55092,Square Enix,False,True,False,False
11616,St. GIGA,False,True,False,False
11616,Quintet,True,False,False,False
11616,Enix Corporation,False,True,False,False
48939,THQ,False,True,False,False
48939,JVC,False,True,False,False
48939,Playtronic,False,True,False,False
48939,Sculptured Software,True,False,False,False
48939,Realtime Associates,False,False,False,True
196441,Midway Games,True,False,False,False
196441,Malibu Games,False,True,False,False
265060,Infogrames,True,False,False,False
265060,Nintendo,False,True,False,False
207235,Teeny Weeny Games,True,False,False,False
207235,Acclaim Entertainment,False,True,False,False
207235,Tec Toy,False,True,False,False
49011,LJN,False,True,False,False
49011,Beam Software,True,False,False,False
307394,Garret Hale,True,True,False,False
7828,Playtronic,False,True,False,False
7828,Software Creations,True,False,False,False
7828,Tec Toy,False,True,False,False
7828,Acclaim Entertainment,False,True,False,False
7828,LJN,False,True,False,False
210342,Apple,False,True,False,False
42637,Psygnosis,False,True,False,False
42637,Eurocom Entertainment Software,True,False,False,False
42637,Ignition Entertainment,False,True,True,False
42637,Pocket Studios,False,False,True,False
10354,Iron Galaxy Studios,True,False,False,False
10354,Double Helix Games,True,False,False,False
10354,Microsoft Studios,False,True,False,False
190013,Nintendo R&D1,True,False,False,False
190013,Nintendo,False,True,False,False
208990,Electronic Arts,True,True,False,False
208990,TecToy,False,False,True,False
11603,Namco,True,True,False,False
353713,Bullfrog Productions,True,False,False,False
353713,Code To Go,False,False,True,False
353713,Electronic Arts,False,True,False,False
353713,Tec Toy,False,True,False,False
42655,Nintendo,False,True,False,False
42655,Sculptured Software,True,False,False,False
42655,Playtronic,False,True,False,False
81523,Tonkin House,False,True,False,False
81523,Playtronic,False,True,False,False
81523,Nintendo,False,True,False,False
81523,Tose,True,False,False,False
368893,Probe Entertainment,True,False,False,False
37251,ADK Corporation,True,True,False,False
37251,Takara,False,True,False,False
37251,Saurus,False,True,True,False
37251,AGENDA,False,False,True,False
37251,SNK,False,False,False,True
37251,D4 Enterprise,False,True,True,False
361131,Nintendo,False,True,False,False
198933,Tiger Electronics,True,True,False,False
42636,Nintendo,False,True,False,False
42636,Unbalance Corporation,False,True,False,False
42636,St. GIGA,False,True,False,False
42636,Gradiente,False,True,False,False
42636,Taito,True,True,False,False
45708,Anco Software Ltd.,True,False,False,False
45708,Vic Tokai Europe,False,True,False,False
45708,Anco Software Ltd.,False,True,False,False
45566,Playtronic,False,True,False,False
45566,Tec Toy,False,True,False,False
81899,Acclaim,False,True,False,False
