edition_id,title_primary,platform,gb_game_id,igdb_game_id,wd_qid,wd_label
CAT-41642,Super Star Wars Return of the Jedi,Nintendo Super Nintendo Entertainment System,4692,48939,,
CAT-42312,Killer Instinct,Nintendo Super Nintendo Entertainment System,18484,10354,,
CAT-09222,Fighter's History;ファイターズヒストリー,Nintendo Super Famicom,10486,8564,,
CAT-19799,Super Star Wars Return of the Jedi,Nintendo Super Nintendo Entertainment System,4692,48939,,
CAT-69611,Super Mario World,Nintendo Super Nintendo Entertainment System,1334,270346,,
CAT-42327,True Lies,Nintendo Super Nintendo Entertainment System,1815,282484,,
CAT-26737,Fatal Fury,Nintendo Super Nintendo Entertainment System,2396,71128,,
CAT-20436,Tintin in Tibet,Nintendo Super Nintendo Entertainment System,4197,249148,,
CAT-23188,Emerald Dragon;エメラルドドラゴン,Nintendo Super Famicom,640,15834,,
CAT-21668,Stealth;ステルス,Nintendo Super Famicom,44689,147969,,
CAT-42702,International Superstar Soccer,Nintendo Super Nintendo Entertainment System,6106,9861,,
CAT-42379,Pinball Fantasies,Nintendo Super Nintendo Entertainment System,12347,242310,,
CAT-42363,Mortal Kombat II,Nintendo Super Nintendo Entertainment System,3571,223018,,
CAT-24068,Battle Cross;バトルクロス,Nintendo Super Famicom,37539,95412,,
CAT-34688,Mystic Ark;ミスティック・アーク,Nintendo Super Famicom,168,42484,,
CAT-23989,Nangoku Shounen Papuwa-kun;南国少年パプワくん,Nintendo Super Famicom,28373,38389,,
CAT-00081,Lagoon,Nintendo Super Nintendo Entertainment System,12945,42617,,
CAT-37308,Super Gomoku Narabe Renju;スーパー五目ならべ 連珠,Nintendo Super Famicom,49299,37832,,
CAT-26968,The Legend of Zelda A Link to the Past,Nintendo Super Nintendo Entertainment System,10276,1026,,
CAT-20364,Super Putty,Nintendo Super Nintendo Entertainment System,1852,39039,,
CAT-61152,Pac-Man 2 The New Adventures,Nintendo Super Nintendo Entertainment System,12294,11603,,
CAT-20412,Secret of Mana,Nintendo Super Nintendo Entertainment System,19507,55092,,
CAT-01834,Populous,Nintendo Super Nintendo Entertainment System,6210,353713,,
CAT-60645,Parodius,Nintendo Super Nintendo Entertainment System,810,174910,,
CAT-01873,Aero the Acro-Bat,Nintendo Super Nintendo Entertainment System,19337,49256,,
CAT-19786,King Arthur's World,Nintendo Super Nintendo Entertainment System,12248,42506,,
CAT-42715,Young Merlin,Nintendo Super Nintendo Entertainment System,14108,11665,,
CAT-42946,The Legend of Zelda A Link to the Past,Nintendo Super Nintendo Entertainment System,10276,1026,,
CAT-19924,Super Bomberman,Nintendo Super Nintendo Entertainment System,11992,198028,,
CAT-35497,The Blues Brothers;ブルースブラザーズ,Nintendo Super Famicom,8498,265033,,
CAT-38279,Populous;ポピュラス,Nintendo Super Famicom,6210,353713,,
CAT-42999,Super Putty,Nintendo Super Nintendo Entertainment System,1852,39039,,
CAT-19759,Addams Family Values,Nintendo Super Nintendo Entertainment System,12959,5341,,
CAT-60672,Jimmy Connors Pro Tennis Tour,Nintendo Super Nintendo Entertainment System,5740,153771,,
CAT-23153,Der Langrisser;デア ラングリッサー,Nintendo Super Famicom,8375,77634,,
CAT-26608,Super Metroid,Nintendo Super Nintendo Entertainment System,8292,1103,,
CAT-01866,Warlock,Nintendo Super Nintendo Entertainment System,3807,19773,,
CAT-23935,Tekichuu Keiba Juku;的中競馬塾,Nintendo Super Famicom,57552,37791,,
CAT-01828,Wario's Woods,Nintendo Super Nintendo Entertainment System,2582,190013,,
CAT-42763,Theme Park,Nintendo Super Nintendo Entertainment System,6562,23091,,
CAT-42769,Mortal Kombat 3,Nintendo Super Nintendo Entertainment System,1434,284101,,
CAT-37963,Inindo Way of the Ninja,Nintendo Super Nintendo Entertainment System,4729,47498,,
CAT-26959,Cliffhanger,Nintendo Super Nintendo Entertainment System,4616,346267,,
