edition_id,title_primary,platform,igdb_game_id,gb_game_id,genres,developers_for_platform,publishers_for_platform,release_date_for_platform,region_for_platform,platforms_all,release_dates_all,cover_url,primary_source
CAT-01829,Kevin Keegan's Player Manager,Nintendo Super Nintendo Entertainment System,42618,29480,Simulator; Sport,Anco Software Ltd.,"Imagineer Co., Ltd.",1993-02-01,,Super Nintendo Entertainment System,"Feb 01, 1993 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/igxyivrq9txajlpeauvy.jpg,igdb
CAT-78070,Terranigma,Nintendo Super Nintendo Entertainment System,9633,13828,,,,,,,,,igdb
CAT-19983,Solid Runner;ソリッドランナー,Nintendo Super Famicom,44437,14760,,Sting Entertainment,ASCII Corporation,,,,,,igdb
CAT-20386,International Superstar Soccer,Nintendo Super Nintendo Entertainment System,9861,6106,,"Konami Computer Entertainment Osaka Co., Ltd.",Konami,,,,,,igdb
CAT-01825,Killer Instinct,Nintendo Super Nintendo Entertainment System,10354,18484,Fighting,Double Helix Games; Iron Galaxy Studios,Microsoft Studios,2013-11-22,,PC (Microsoft Windows); Xbox One,"Nov 22, 2013 <Xbox One> | Sep 04, 2014 <Xbox One> | Mar 29, 2016 <PC (Microsoft Windows)> | Mar 29, 2016 <Xbox One>",https://images.igdb.com/igdb/image/upload/t_cover_big/co1nn0.jpg,igdb
CAT-60668,Super Tennis,Nintendo Super Nintendo Entertainment System,81523,18664,,,,,,,,,igdb
CAT-24337,Super Pinball Behind The Mask;スーパー・ピンボール ビハインド・ザ・マスク,Nintendo Super Famicom,42455,17398,,,,,,,,,igdb
CAT-61155,Super Mario World,Nintendo Super Nintendo Entertainment System,270346,1334,,,,,,,,,igdb
CAT-22410,Front Mission;フロントミッション,Nintendo Super Famicom,1498,6052,,G-Craft,Square Enix; Squaresoft,,,,,,igdb
CAT-19868,Disney's The Jungle Book,Nintendo Super Nintendo Entertainment System,204616,19067,,"Eurocom Entertainment Software; Pencil Test Studios; Virgin Interactive Entertainment, Inc.","Virgin Interactive Entertainment, Inc.",,,,,,igdb
CAT-26626,Super Mario World 2 Yoshi's Island,Nintendo Super Nintendo Entertainment System,1073,2866,,,,,,,,,igdb
CAT-09194,Front Mission;フロントミッション,Nintendo Super Famicom,1498,6052,Strategy; Tactical,G-Craft; Square Product Development Division 5,Square,1995-02-24,,WonderSwan Color; Super Famicom,"Feb 24, 1995 <Super Famicom> | Jul 12, 2002 <WonderSwan Color>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2v50.jpg,igdb
CAT-19903,Stargate,Nintendo Super Nintendo Entertainment System,10162,8853,,Probe Entertainment; Torus Games Pty. Ltd.,"Acclaim Entertainment, Inc.",,,,,,igdb
CAT-09326,Bahamut Lagoon;バハムート ラグーン,Nintendo Super Famicom,15843,15117,,Squaresoft,Square Enix; Squaresoft,,,,,,igdb
CAT-19761,Batman Forever,Nintendo Super Nintendo Entertainment System,198998,10020,,Probe Entertainment,"Acclaim Entertainment, Inc.",,,,,,igdb
CAT-27026,Disney's The Jungle Book,Nintendo Super Nintendo Entertainment System,204616,19067,,,,,,,,,igdb
CAT-19502,Battle Racers;バトルレーサーズ,Nintendo Super Famicom,38161,38076,,Minato Giken,"Banpresto Co., Ltd.",,,,,,igdb
CAT-26966,Vortex,Nintendo Super Nintendo Entertainment System,210342,9146,,,,,,,,,igdb
CAT-26692,RoboCop 3,Nintendo Super Nintendo Entertainment System,217684,3173,,,,,,,,,igdb
CAT-01876,Kid Klown in Crazy Chase,Nintendo Super Nintendo Entertainment System,6349,14982,Platform; Racing,Kemco,Kemco,1994-09-01,,Satellaview; Super Nintendo Entertainment System; Game Boy Advance; Super Famicom,"Oct 21, 1994 <Super Famicom> | Sep 1994 <Super Nintendo Entertainment System> | 1995 <Super Nintendo Entertainment System> | 1997 <Satellaview> | Oct 21, 2002 <Game Boy Advance> | Oct 23, 2002 <Game Boy Advance>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2vc8.jpg,igdb
CAT-23883,Genjuu Ryodan;幻獣旅団,Nintendo Super Famicom,38019,60077,,,,,,,,,igdb
CAT-23187,True Lies;トゥルーライズ,Nintendo Super Famicom,282484,1815,,Beam Software,"Acclaim Entertainment, Inc.; LJN",,,,,,igdb
CAT-01848,Stargate,Nintendo Super Nintendo Entertainment System,10162,8853,Shooter,Vid Kidz,Atari,1983-12-31,,DOS,1983 <DOS>,,igdb
CAT-26625,Super Punch-Out!!,Nintendo Super Nintendo Entertainment System,9151,6029,,,,,,,,,igdb
CAT-23888,Super Punch-Out!!;スーパーパンチアウト！！,Nintendo Super Famicom,9151,6029,,,,,,,,,igdb
CAT-26526,Tiny Toon Adventures Buster Busts Loose!,Nintendo Super Nintendo Entertainment System,8050,9441,,,,,,,,,igdb
