object_number,title,title.type,object_name,object_name.type,object_category
42301,Val d'Isere Championship,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42307,Winter Olympics Lillehammer 94,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42312,Killer Instinct,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42316,Disney's Beauty and the Beast,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42318,Flashback,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42319,Seaquest DSV,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42320,Kick Off,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42321,Pinball Fantasies,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42322,World Masters Golf,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42323,NHL 97,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42324,B.O.B.;Space Funky BOB,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42325,Judge Dredd,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42326,NBA Jam,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42327,True Lies,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42328,NHL Hockey '94;NHL '94,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42329,NBA Jam T.E.;NBA Jam Tournament Edition,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42330,The Adams Family,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42331,Bugs Bunny Rabbit Rampage,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42332,WWF Super Wrestlemania,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42333,Jimmy Connors Pro Tennis Tour,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42334,The Mask,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42335,Cool Spot,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42344,Theme Park;Theme Park,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42345,Sensible Soccer Europeans Champions,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42346,NBA Jam,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42347,Power Rangers,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42348,Brett Hull Hockey,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42349,Micro Machines 2 Turbo Tournament,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42350,PGA Tour Golf,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42351,Zoop,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42361,Winter Gold,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42363,Mortal Kombat II,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42365,Newman Haas IndyCar featuring Nigel Mansell;Newman Haas Indy Car featuring Nigel Mansell,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42366,Super Mario All-Stars;Super Mario All-Stars,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42374,World League Basketball;NCAA Basketball,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42375,Castlevania Vampires Kiss;Castlevania Dracula X ,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42376,Super Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42377,Sensible Soccer Europeans Champions,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42378,Sensible Soccer Europeans Champions,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42379,Pinball Fantasies,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42380,Ultimate Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42381,Nigel Mansell's World Championship Racing,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42382,Exhaust Heat,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42383,Carrier Aces,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42384,Phantom 2040,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42385,Val d'Isere Championship,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42386,Super Battletank 2 ,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42387,Star Trek Starfleet Academy,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42388,Choplifter III Rescue Survive;Choplifter III,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42389,Eek! The Cat,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42390,Micro Machines,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42391,Garry Kitchen's Super Battletank,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42392,Tetris & Dr. Mario,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42647,Dragon The Bruce Lee Story,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42653,Tetris Attack,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42655,Lemmings,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42657,Stunt Race FX,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42659,Turn and Burn No-Fly Zone,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42663,Winter Olympics Lillehammer '94,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42665,Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42682,Mortal Kombat ,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42686,Desert Strike Return to the Gulf,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42694,Sim City 2000;Simcity 2000,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42697,Rise of the Robots,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42702,International Superstar Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42708,International Superstar Soccer Deluxe,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42711,WWF Wrestlemania The Arcade Game,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42714,Claymates,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42715,Young Merlin,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42759,Super Game Boy,Peripheral Description,Nintendo Super Nintendo Entertainment System,"",Peripheral
42761,Super Game Boy,Peripheral Description,Nintendo Super Nintendo Entertainment System,"",Peripheral
42763,Theme Park ,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42769,Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42771,FIFA 96 Soccer,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42775,Disney's Beauty and the Beast,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42777,Street Racer,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42780,Mortal Kombat II,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42782,Prince of Persia,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42786,Yogi Bear's Cartoon Capers;Yogi Bears Cartoon Capers,Game Title;Game Title Alternative,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42791,Looney Tunes Road Runner,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42807,Earthworm Jim,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42810,Pinball Dreams,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42813,Choplifter III Rescue Survive,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42814,Mickey Mania,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42817,NHL 96,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42820,Doom,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42821,Claymates,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42825,NHL Hockey '94,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42831,B.O.B.,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42836,The Magical Quest Starring Mickey Mouse,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42838,NHL Hockey '94,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42840,Val d'Isere Championship,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42842,Seaquest DSV,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42845,Super Battletank 2,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42850,Top Gear,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42853,SimCity,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42869,Zoop,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42876,Pinball Dreams!,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42915,Smash Tennis,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42918,Super Castlevania IV,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42919,Super Tennis,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42921,Mickey Mania,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42926,Street Fighter Alpha 2,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42934,Super Probotector Alien Rebels,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
