object_number,title,title.type,object_name,object_name.type,object_category,broadcast_standard,title.language,place_of_publication
35543,Contra Spirits;魂斗羅スピリッツ;コントラスピリッツ;Contra III The Alien Wars;Contra 3;Super Probotector Alien Rebels,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;;;,Japan
35544,Chouaniki Bakuretsu Rantou Hen;超兄貴 ~爆烈乱闘篇~,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35546,Sonic Blast Man II;ソニックブラストマンII;Sonic Blast Man 2,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35547,Gradius III;グラディウスIII;Gradius 3,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35548,Mr. Do!;ミスタードゥ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35550,Popeye Ijiwaru Majo Sea Hag no Maki;ポパイ いじわる魔女シーハッグの巻,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35551,Hiryu no Ken S Hyper Version;ハイパーバージョン 飛龍の拳S,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35552,R-Type 3 The Third Lightning;アールタイプ3 ザ・サードライトニング,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35553,Disney's Beauty and The Beast;美女と野獣,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35554,Majuuou;魔獣王,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35556,Judge Dredd;ジャッジ・ドレッド,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35557,Tiny Toon Adventures Buster Busts Loose;タイニートゥーン アドベンチャーズ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35558,Zig Zag Cat Dachou Club mo Oosawagi da;ジグザグキャット ダチョウ倶楽部も大騒ぎダ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35560,Yoshi no Cookie;ヨッシーのクッキー;Yoshi's Cookie,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35561,Marvel Super Heroes War of the Gems;マーヴル・スーパーヒーローズ ウォー オブ ザ ジェム,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35562,Arcus Spirits;アークス・スピリッツ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35563,Flying Hero Bugyuru no Daibouken;フライングヒーロー ぶぎゅる〜の大冒険,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35564,Kuusou Kagaku Sekai Gulliver Boy;空想科学世界 ガリバーボーイ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35566,Yogi Bear;ヨギーベア;Adventures of Yogi Bear;Yogi Bear's Cartoon Capers,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
35567,Super Star Wars;スーパー・スター・ウォーズ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35568,Darius Force;ダライアスフォース;Super Nova,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35569,Thunder Spirits;サンダースピリッツ;Thunder Force III,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
