edition_id,gb_game_id,person_name,roles,source
CAT-60680,1356,Jamie Ip,,giantbomb
CAT-60680,1356,Vino Barnett,,giantbomb
CAT-60680,1356,Michael Bailey Smith,,giantbomb
CAT-60680,1356,Scott Miller,,giantbomb
CAT-60680,1356,Connor Dougan,,giantbomb
CAT-60680,1356,Mark Soderwall,,giantbomb
CAT-60680,1356,Jay MacDonald,,giantbomb
CAT-60680,1356,Dave Warfield,,giantbomb
CAT-60680,1356,Ed Fletcher,,giantbomb
CAT-23254,1791,Makoto Takahashi,,giantbomb
CAT-20309,1356,Jason DeLong,,giantbomb
CAT-20309,1356,Josh Holmes,,giantbomb
CAT-20309,1356,Daryl Anselmo,,giantbomb
CAT-20309,1356,Willie Loh,,giantbomb
CAT-20309,1356,Frank Barchard,,giantbomb
CAT-20309,1356,Corinne Mah,,giantbomb
CAT-20309,1356,Allen Iverson,,giantbomb
CAT-20309,1356,William M. Mozell,,giantbomb
CAT-20309,1356,Jamie Ip,,giantbomb
CAT-20309,1356,Vino Barnett,,giantbomb
CAT-20309,1356,Michael Bailey Smith,,giantbomb
CAT-20309,1356,Scott Miller,,giantbomb
CAT-20309,1356,Connor Dougan,,giantbomb
CAT-20309,1356,Mark Soderwall,,giantbomb
CAT-20309,1356,Jay MacDonald,,giantbomb
CAT-20309,1356,Dave Warfield,,giantbomb
CAT-20309,1356,Ed Fletcher,,giantbomb
CAT-09232,8375,Satoshi Urushihara,,giantbomb
CAT-09232,8375,Fuma Yato,,giantbomb
CAT-09232,8375,Shinjiro Takada,,giantbomb
CAT-09232,8375,Masayuki Suzuki,,giantbomb
CAT-09232,8375,Michio Shibuya,,giantbomb
CAT-01859,20350,Jason Walker,,giantbomb
CAT-01859,20350,Peter Williamson,,giantbomb
CAT-01859,20350,Tim Bartlett,,giantbomb
CAT-01859,20350,Gerard Gourley,,giantbomb
CAT-01859,20350,Ashley Routledge,,giantbomb
CAT-01859,20350,Stewart Regan,,giantbomb
CAT-01806,12002,Joseph Mazziotto,,giantbomb
CAT-01806,12002,Mark Eyles,,giantbomb
CAT-01806,12002,Martin Wheeler,,giantbomb
CAT-01806,12002,Michael Archer,,giantbomb
CAT-01806,12002,Shahid Ahmad,,giantbomb
CAT-01806,12002,Douglas Hare,,giantbomb
CAT-01806,12002,C.P. McBee,,giantbomb
CAT-01806,12002,Mark A. Jones,,giantbomb
CAT-01806,12002,Tahir Rashid,,giantbomb
CAT-34396,5740,Jochen Hippel,,giantbomb
CAT-34396,5740,Volker Strübing,,giantbomb
CAT-34396,5740,Serge Hascoët,,giantbomb
CAT-34396,5740,Thomas Hertzler,,giantbomb
CAT-34396,5740,Lothar Schmitt,,giantbomb
CAT-34396,5740,Uwe Meier,,giantbomb
CAT-34396,5740,Haiko Ruttmann,,giantbomb
CAT-34396,5740,Ralf Jürgen Kraft,,giantbomb
CAT-34396,5740,Thorsten Kneisel,,giantbomb
CAT-34396,5740,Janos Toth,,giantbomb
CAT-34396,5740,Thomas Häuser,,giantbomb
CAT-34396,5740,Marc Basle,,giantbomb
CAT-34396,5740,Gérard Guillemot,,giantbomb
CAT-34396,5740,Frederic Markus,,giantbomb
CAT-34396,5740,Carole Degoulet,,giantbomb
CAT-34396,5740,Leila Emadin,,giantbomb
CAT-34396,5740,Robin Endres,,giantbomb
CAT-34396,5740,Roger Goede,,giantbomb
CAT-34396,5740,Simon J. Hardy-Francis,,giantbomb
CAT-60683,810,Kinuyo Yamashita,,giantbomb
CAT-60683,810,Kazuhisa Hashimoto,,giantbomb
CAT-60683,810,Takeshi Fujimoto,,giantbomb
CAT-09183,38745,Kazuo Sawa,,giantbomb
CAT-35524,16604,Ryuichi Ohnuma,,giantbomb
CAT-35524,16604,Katsuhiro Hatano,,giantbomb
CAT-35524,16604,Akiko Hashimoto,,giantbomb
CAT-35524,16604,Masami Yamamoto,,giantbomb
CAT-35524,16604,Mitsuharu Takatori,,giantbomb
CAT-35524,16604,Hiroaki Azumi,,giantbomb
CAT-35524,16604,Takumi Inoue,,giantbomb
CAT-35524,16604,Takuya Watanabe,,giantbomb
CAT-35524,16604,Chiduko Nakamura,,giantbomb
CAT-35524,16604,Yukiko Womino,,giantbomb
CAT-35524,16604,Noburo Wada,,giantbomb
CAT-35524,16604,Shuichi Ukai,,giantbomb
CAT-35524,16604,Hiroko Takeda,,giantbomb
CAT-35524,16604,Kouji Yamada,,giantbomb
CAT-35524,16604,Takashi Tory,,giantbomb
CAT-35524,16604,Kohichi Ikeda,,giantbomb
CAT-35524,16604,Takeshi Kaneda,,giantbomb
CAT-35524,16604,Ichiro Sugiyama,,giantbomb
CAT-41642,4692,Hal Rushton,,giantbomb
CAT-41642,4692,Wayne Cline,,giantbomb
CAT-41642,4692,George Lucas,,giantbomb
CAT-41642,4692,William V. Tiller,,giantbomb
CAT-41642,4692,Leonard Robel,,giantbomb
CAT-41642,4692,Kalani Streicher,,giantbomb
CAT-41642,4692,Peter Ward,,giantbomb
CAT-41642,4692,Harrison Fong,,giantbomb
CAT-41642,4692,Jon Knoles,,giantbomb
CAT-41642,4692,Paul Mica,,giantbomb
CAT-41642,4692,Brett Tosti,,giantbomb
CAT-41642,4692,John Lund,,giantbomb
CAT-41642,4692,Steve Aguirre,,giantbomb
CAT-41642,4692,Ryan Ridges,,giantbomb
CAT-41642,4692,Alex Dommasch,,giantbomb
CAT-41642,4692,Paul Webb,,giantbomb
CAT-41642,4692,Michael Lott,,giantbomb
CAT-41642,4692,Chad Johnson,,giantbomb
CAT-42312,18484,Robin Beanland,,giantbomb
CAT-42312,18484,Chris Seavor,,giantbomb
CAT-42312,18484,Martin Hollis,,giantbomb
CAT-42312,18484,Ken Lobb,,giantbomb
CAT-42312,18484,Graeme Norgate,,giantbomb
CAT-42312,18484,Chris Stamper,,giantbomb
CAT-42312,18484,Kevin Bayliss,,giantbomb
CAT-42312,18484,Chris Sutherland,,giantbomb
CAT-42312,18484,Paul Machacek,,giantbomb
CAT-42312,18484,Huw Ward,,giantbomb
CAT-42312,18484,Gavin Hood,,giantbomb
CAT-42312,18484,Simon Farmer,,giantbomb
CAT-42312,18484,Joel Hochberg,,giantbomb
CAT-42312,18484,Tim Stamper,,giantbomb
CAT-42312,18484,Keri Gunn,,giantbomb
CAT-42312,18484,Gary Richards,,giantbomb
CAT-42312,18484,Mark Betteridge,,giantbomb
CAT-42312,18484,P. Wattis,,giantbomb
CAT-42312,18484,Paul Weaver,,giantbomb
CAT-42312,18484,John Hastie,,giantbomb
CAT-42312,18484,John A. Charlesworth,,giantbomb
CAT-42312,18484,Rich Richardson,,giantbomb
CAT-42312,18484,Armond Williams Jr.,,giantbomb
CAT-42312,18484,Robert Johnson,,giantbomb
CAT-42312,18484,Chris Needham,,giantbomb
CAT-42312,18484,Daniel Owsen,,giantbomb
CAT-42312,18484,Hiroshi Yamauchi,,giantbomb
CAT-42312,18484,Minoru Arakawa,,giantbomb
CAT-42312,18484,Chris Tilston,,giantbomb
CAT-42312,18484,Shigeru Miyamoto,,giantbomb
CAT-42312,18484,John Lowes,,giantbomb
CAT-42312,18484,Cary Mednick,,giantbomb
CAT-42312,18484,Neil Nicastro,,giantbomb
CAT-42312,18484,Matt Booty,,giantbomb
CAT-42312,18484,Louise Stamper,,giantbomb
CAT-42312,18484,Genyo Takeda,,giantbomb
CAT-09222,10486,Shogo Sakai,,giantbomb
CAT-09222,10486,Hiroaki Yoshida,,giantbomb
CAT-19799,4692,Hal Rushton,,giantbomb
CAT-19799,4692,Wayne Cline,,giantbomb
CAT-19799,4692,George Lucas,,giantbomb
CAT-19799,4692,William V. Tiller,,giantbomb
CAT-19799,4692,Leonard Robel,,giantbomb
CAT-19799,4692,Kalani Streicher,,giantbomb
CAT-19799,4692,Peter Ward,,giantbomb
CAT-19799,4692,Harrison Fong,,giantbomb
CAT-19799,4692,Jon Knoles,,giantbomb
CAT-19799,4692,Paul Mica,,giantbomb
CAT-19799,4692,Brett Tosti,,giantbomb
CAT-19799,4692,John Lund,,giantbomb
CAT-19799,4692,Steve Aguirre,,giantbomb
CAT-19799,4692,Ryan Ridges,,giantbomb
CAT-19799,4692,Alex Dommasch,,giantbomb
CAT-19799,4692,Paul Webb,,giantbomb
CAT-19799,4692,Michael Lott,,giantbomb
CAT-19799,4692,Chad Johnson,,giantbomb
CAT-69611,1334,Tatsuo Nishlyama,,giantbomb
CAT-69611,1334,Charles Martinet,,giantbomb
CAT-69611,1334,Takao Shimizu,,giantbomb
CAT-69611,1334,Keizo Kato,,giantbomb
CAT-69611,1334,Hironobu Kakui,,giantbomb
