edition_id,gb_game_id,name,deck,developers,publishers,site_detail_url,image_super_url
CAT-01864,21668,Super International Cricket,"Hit balls for six, win by 10 wickets and use other terms confusing to Americans in the Super Nintendo's only foray into the cricket genre.",Beam Software,Nintendo,https://www.giantbomb.com/super-international-cricket/3030-21668/,https://www.giantbomb.com/a/uploads/scale_large/14/149200/2283995-super_international_cricket.jpg
CAT-01866,3807,Warlock,A young Druid warrior must find the scattered runestones through time and across the world before the Warlock does. A side-scrolling video game adaptation of the 1993 movie Warlock: The Armageddon.,"Realtime Associates, Inc.",LJN,https://www.giantbomb.com/warlock/3030-3807/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364696-snes_warlock.jpg
CAT-01868,6694,Michael Jordan:  Chaos in the Windy City,"When a mad scientist uses robots and mutants to capture basketball players (for the bizarre reason of creating a cloned basketball team), it's up to then-retired professional basketball player Michael Jordan and an endless supply of basketballs to put a stop to it.",Electronic Arts,Electronic Arts; Ocean Software Ltd.,https://www.giantbomb.com/michael-jordan-chaos-in-the-windy-city/3030-6694/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/1672012-box_mjcitwc.png
CAT-01869,5717,Last Action Hero,A brawler/action game based on the 1993 Arnold Schwarzenegger film of the same name.,"Bits Studios Ltd.; Dome Software Developments, The; SCEE Studio Liverpool; Teeny Weeny Games, Ltd.",989 Studios; SCEE Studio Liverpool,https://www.giantbomb.com/last-action-hero/3030-5717/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2361944-nes_lastactionhero.jpg
CAT-01871,17563,Paperboy 2,"Like in the original Paperboy, Paperboy 2 features a boy who delivers papers.",Tengen,Mindscape; Tengen,https://www.giantbomb.com/paperboy-2/3030-17563/,https://www.giantbomb.com/a/uploads/scale_large/0/6087/602752-65_8.jpg
CAT-01873,19337,Aero the Acro-Bat,"Aero the Acro-bat's gameplay consists of simple platforming elements in which Aero, a red bat, that lives in a circus, must defend it from Edgar Ektor.",Acclaim Studios Austin; Atomic Planet Entertainment Limited,"Metro3D, Inc.; Ratalaika Games S.L.; Shinyuden; Sunsoft",https://www.giantbomb.com/aero-the-acro-bat/3030-19337/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363122-snes_aerotheacrobat.jpg
CAT-01874,7326,Doom,"In one of the most revolutionary first-person shooters of the 1990s, players control the last remaining space marine in the demon-infested stations on Mars' moons.","David A. Palmer Productions; Infinity Co., Ltd.; Nerve Software, LLC; Zenimax Media Inc; id Software",Bethesda Softworks; Softbank Corp.; id Software,https://www.giantbomb.com/doom/3030-7326/,https://www.giantbomb.com/a/uploads/scale_large/16/164924/3118940-2800078642-72175.jpg
CAT-01875,4828,Magic Boy,"Magic Boy is a platformer in which the cherubic, yet slightly creepy title character travels and captures monsters.",Blue Turtle,"Empire Interactive Entertainment; JVC Digital Studios; JVC Musical Industries, Inc.",https://www.giantbomb.com/magic-boy/3030-4828/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363940-snes_magicboy.jpg
CAT-01876,14982,Kid Klown in Crazy Chase,The klutziest clown Kid Klown must rescue the princess of Klown Planet from the villainous and bomb-happy Blackjack in a series of trap-filled chase levels.,Kemco,Kemco,https://www.giantbomb.com/kid-klown-in-crazy-chase/3030-14982/,https://www.giantbomb.com/a/uploads/scale_large/0/7900/266872-kid_klown.jpg
CAT-08979,2491,The Hunt for Red October,The Hunt for Red October is a side-scrolling submarine shooter based on the 1990 Sean Connery movie adaptation of the Tom Clancy novel.,"Beam Software; Krome Studios Pty Ltd.; Riedel Software Productions, Inc.","Hi-Tech Expressions, Inc.",https://www.giantbomb.com/the-hunt-for-red-october/3030-2491/,https://www.giantbomb.com/a/uploads/scale_large/0/3413/206528-the_hunt_for_red_october.jpg
CAT-08985,23452,Angelique,The first game in the popular Angelique series. It is generally acknowledged to have marked the beginning of the otome genre.,Koei; Ruby Party,Koei; Koei Tecmo,https://www.giantbomb.com/angelique/3030-23452/,https://www.giantbomb.com/a/uploads/scale_large/9/97089/3192367-303842_front.jpg
CAT-08988,17398,Super Pinball: Behind the Mask,"The first of two Super Pinball games released on the Super Nintendo, this game has three different pinball tables.","KAZe Co., Ltd.",Meldac of Japan; Nintendo,https://www.giantbomb.com/super-pinball-behind-the-mask/3030-17398/,https://www.giantbomb.com/a/uploads/scale_large/0/7465/1743736-588745_85683_front.jpg
CAT-09009,28375,Natsuki Crisis Battle,An anime licensed fighting game developed by TOSE in 1995.,"TOSE Co., Ltd.",Angel,https://www.giantbomb.com/natsuki-crisis-battle/3030-28375/,https://www.giantbomb.com/a/uploads/scale_large/0/7465/2164901-581978_22058_front.jpg
CAT-09015,40740,Ultraman,"1-player arcade fighter starring the tokusatsu sensation, ""Ultraman"".","Allumer, Ltd.","Bandai Co., Ltd.; Banpresto Co., Ltd.",https://www.giantbomb.com/ultraman/3030-40740/,https://www.giantbomb.com/a/uploads/scale_large/16/164924/2381331-ultramanarc.jpg
CAT-09016,168,Mystic Ark,The spiritual successor to The 7th Saga. A mute hero must find their way back to their own world.,"Produce Co., Ltd.",Enix Corporation,https://www.giantbomb.com/mystic-ark/3030-168/,https://www.giantbomb.com/a/uploads/scale_large/6/66248/1441935-mystic_ark_front.jpg
CAT-09101,38768,Super Mahjong Taikai,Released in 1992 for the Super Famicom and Turbo CD.,Chat Noir; Koei,Koei,https://www.giantbomb.com/super-mahjong-taikai/3030-38768/,https://www.giantbomb.com/a/uploads/scale_large/14/149200/2242606-super_mahjong_taikai.jpg
CAT-09103,12299,Suzuka 8 Hours,"An Arcade motorcycle racing game by Namco, based on the titular endurance race. A SNES version was developed by Arc System Works.","Arc System Works Co., Ltd.; Namco",Namco,https://www.giantbomb.com/suzuka-8-hours/3030-12299/,https://www.giantbomb.com/a/uploads/scale_large/22/229960/2615412-suzuka%208%20hours.jpg
CAT-09182,50664,Wagyan Paradise,The third Super Famicom entry in the Wagyan Land series. A pair of Wagyan siblings investigate strange events across their home island.,Namco,Namco,https://www.giantbomb.com/wagyan-paradise/3030-50664/,https://www.giantbomb.com/a/uploads/scale_large/2/23093/2776770-2497522538-30701.jpg
CAT-09183,38745,Super Dunk Star,"Japan-exclusive basketball video game released in 1993 for the Super Famicom. Like many non-licensed basketball games of the era, it uses fictional US teams. It also switches to dynamic shots whenever a player gets close to the net.",C-Lab,Sammy Corporation,https://www.giantbomb.com/super-dunk-star/3030-38745/,https://www.giantbomb.com/a/uploads/scale_large/14/149200/2240768-super_dunk_star.jpg
CAT-09194,6052,Front Mission,"The first video game entry in the Front Mission franchise. Wanzer forces from the USN and OCU clash over Huffman Island, with the protagonist Royd Clive caught in the middle.",G-Craft,Square Enix; Squaresoft,https://www.giantbomb.com/front-mission/3030-6052/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363838-snes_frontmission_jp.jpg
CAT-09202,30673,Tetris Battle Gaiden,"A multiplayer focused ""puzzle battle"" variant on the popular Tetris, released only in Japan.","Bullet-Proof Software, Inc.","Bullet-Proof Software, Inc.",https://www.giantbomb.com/tetris-battle-gaiden/3030-30673/,https://www.giantbomb.com/a/uploads/scale_large/4/43718/1324621-580018_20343_front.jpg
CAT-09207,46746,Fortune Quest: Dice o Korogase,"A Super Famicom fantasy virtual board-game that is similar to Asmik's Dokapon Kingdom series. Instead of RPG battles, the player must fight monsters via janken (rock-scissors-paper).",Natsume,Zamuse,https://www.giantbomb.com/fortune-quest-dice-o-korogase/3030-46746/,https://www.giantbomb.com/a/uploads/scale_large/0/7135/2649064-fortunequestsfc.jpg
CAT-09208,28372,Namco Open,Golf game developed by TOSE in 1993.,"TOSE Co., Ltd.",Namco,https://www.giantbomb.com/namco-open/3030-28372/,https://www.giantbomb.com/a/uploads/scale_large/9/98041/1564821-570907_8493.jpg
CAT-09222,10486,Fighter's History,Nine martial artists from around the world compete in a tournament in Data East's first fighting game since the genre's Street Fighter II boom. It is best known for being the subject in a lawsuit due to its similarities with Street Fighter II.,Data East Corporation,Data East Corporation; Flying Tiger Entertainment,https://www.giantbomb.com/fighters-history/3030-10486/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/1404643-13004401.jpg
CAT-09223,7265,Front Mission: Gun Hazard,Front Mission: Gun Hazard is a side-scrolling shooter which takes into account mech customization elements which are classic to the Front Mission series.,"Cobra Team; Omiya Soft, Co. Ltd.",Square Enix; Squaresoft,https://www.giantbomb.com/front-mission-gun-hazard/3030-7265/,https://www.giantbomb.com/a/uploads/scale_large/9/97089/2502890-box.png
CAT-09227,40040,Super Birdie Rush,Golf video game released in 1992 exclusively for the Super Famicom. It's the sequel to Golf Club: Birdie Rush.,Data East Corporation,Data East Corporation,https://www.giantbomb.com/super-birdie-rush/3030-40040/,https://www.giantbomb.com/a/uploads/scale_large/14/149200/2343300-super_birdie_rush.jpg
CAT-09232,8375,Der Langrisser,A remake of Langrisser II that was originally released on the SNES in Japan and was later ported to the PC-FX.,Masaya,"Interchannel, Ltd.; Masaya",https://www.giantbomb.com/der-langrisser/3030-8375/,https://www.giantbomb.com/a/uploads/scale_large/9/97089/2557384-untitled.png
CAT-09257,33881,Albert Odyssey,"A strategy RPG for the Super Famicom centered around the town of Guoto, and a war over the powerful and mysterious Key of Resurrection.",Sunsoft; Tokai Engineering,Sunsoft,https://www.giantbomb.com/albert-odyssey/3030-33881/,https://www.giantbomb.com/a/uploads/scale_large/0/7465/2164134-588194_5017_front.jpg
CAT-09290,10865,Syndicate,"An action strategy game set in a dystopian future where megacorporations control the world and wage war on each other with cybernetically-enhanced ""Agents"".","Bullfrog Productions, Ltd.",Electronic Arts; Ocean Software Ltd.,https://www.giantbomb.com/syndicate/3030-10865/,https://www.giantbomb.com/a/uploads/scale_large/0/3715/758745-syndpc0f.jpg
CAT-09311,11461,Nekketsu Tairiku: Burning Heroes,A scenario-based RPG developed by J-Force and published by Enix that tells a story from the vantage point of eight different playable heroes.,J-Force,Enix Corporation,https://www.giantbomb.com/nekketsu-tairiku-burning-heroes/3030-11461/,https://www.giantbomb.com/a/uploads/scale_large/9/97089/2337307-burn.png
CAT-09323,4385,Spindizzy Worlds,"This sequel to Spindizzy is an isometric, navigation-based puzzle game developed and designed by Paul Shirley.",ASCII Corporation; Codemasters; Electric Dreams Software,"ASCII Corporation; Activision; Arsys Software, Inc.; Codemasters; Electric Dreams Software",https://www.giantbomb.com/spindizzy-worlds/3030-4385/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364784-snes_spindizzyworlds_de.jpg
CAT-09326,15117,Bahamut Lagoon,"A tactical turn-based strategy game with battles on a grid-based map. Once two units meet in battle, the combat system follows the familiar turn-based structure.",Squaresoft,Square Enix; Squaresoft,https://www.giantbomb.com/bahamut-lagoon/3030-15117/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363646-snes_bahamutlagoon_jp.jpg
