edition_id,gb_game_id,name,deck,developers,publishers,site_detail_url,image_super_url,source
CAT-01844,1334,Super Mario World,"One of the few launch titles of the SNES (and bundled with the system in North America and Europe), the fifth main game in the Super Mario series brings the Mario brothers into the mysterious Dinosaur Land. It marks the first appearance of Mario's dinosaur companions, known as Yoshi.",Nintendo EAD; SRD Co. Ltd.,Nintendo,https://www.giantbomb.com/super-mario-world/3030-1334/,https://www.giantbomb.com/a/uploads/scale_large/1/12541/3312460-sq_snes_supermarioworld.jpg,giantbomb
CAT-42820,7326,Doom,"In one of the most revolutionary first-person shooters of the 1990s, players control the last remaining space marine in the demon-infested stations on Mars' moons.","David A. Palmer Productions; Infinity Co., Ltd.; Nerve Software, LLC; Zenimax Media Inc; id Software",Bethesda Softworks; Softbank Corp.; id Software,https://www.giantbomb.com/doom/3030-7326/,https://www.giantbomb.com/a/uploads/scale_large/16/164924/3118940-2800078642-72175.jpg,giantbomb
CAT-20189,44494,Ashita no Joe,A boxing game based on a critically-acclaimed dramatic manga. It is the follow-up to Legend of Success Joe for the Neo Geo.,Wave Software Ltd.,K. Amusement Leasing Co.,https://www.giantbomb.com/ashita-no-joe/3030-44494/,https://www.giantbomb.com/a/uploads/scale_large/2/23093/2570510-ashita_no_joe_sfc.jpg,giantbomb
CAT-42821,1607,Claymates,"Released in 1993, Claymates is a platformer game where the hero Clayton (pun unfortunately intended) has been turned into a ball of clay. He has to save his dad and, using power ups, can turn into various animals.",Visual Concepts,Interplay Entertainment Corp.,https://www.giantbomb.com/claymates/3030-1607/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363705-snes_claymates.jpg,giantbomb
CAT-42389,19221,Eek! the Cat,"A 1994 SNES puzzle-platformer based on Savage Steve Holland's animated series about a selfless and luckless purple cat. Eek must protect several companions from harm, usually putting himself in danger in the process.",CTA Developments,Ocean Software Ltd.,https://www.giantbomb.com/eek-the-cat/3030-19221/,https://www.giantbomb.com/a/uploads/scale_large/2/23093/2749617-8386092090-50672.jpg,giantbomb
CAT-37038,19366,Battletoads & Double Dragon: The Ultimate Team,A crossover beat-em-up game featuring characters from the Double Dragon and Battletoads franchises.,"Rare, Ltd.","Microsoft Corporation; Tradewest, Inc.",https://www.giantbomb.com/battletoads-double-dragon-the-ultimate-team/3030-19366/,https://www.giantbomb.com/a/uploads/scale_large/0/3509/662862-battletoadsdoubledragon_genesis_na.jpg,giantbomb
CAT-09290,10865,Syndicate,"An action strategy game set in a dystopian future where megacorporations control the world and wage war on each other with cybernetically-enhanced ""Agents"".","Bullfrog Productions, Ltd.",Electronic Arts; Ocean Software Ltd.,https://www.giantbomb.com/syndicate/3030-10865/,https://www.giantbomb.com/a/uploads/scale_large/0/3715/758745-syndpc0f.jpg,giantbomb
CAT-19557,10865,Syndicate,"An action strategy game set in a dystopian future where megacorporations control the world and wage war on each other with cybernetically-enhanced ""Agents"".","Bullfrog Productions, Ltd.",Electronic Arts; Ocean Software Ltd.,https://www.giantbomb.com/syndicate/3030-10865/,https://www.giantbomb.com/a/uploads/scale_large/0/3715/758745-syndpc0f.jpg,giantbomb
CAT-42392,6805,Tetris & Dr. Mario,"Two of the most popular Nintendo puzzle games, now together on the SNES!","Nintendo R&D1; TOSE Co., Ltd.",Nintendo,https://www.giantbomb.com/tetris-dr-mario/3030-6805/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364657-snes_tetrisanddrmario.jpg,giantbomb
CAT-19741,10276,The Legend of Zelda: A Link to the Past,The third installment in the Zelda series makes a return to the top-down 2D gameplay of the original. Link must travel between the Light and Dark Worlds in order to set things right in the kingdom of Hyrule.,Nintendo EAD; SRD Co. Ltd.,Nintendo,https://www.giantbomb.com/the-legend-of-zelda-a-link-to-the-past/3030-10276/,https://www.giantbomb.com/a/uploads/scale_large/8/82063/2831954-legend_of_zelda_3_-_snes_-_album_art.jpg,giantbomb
CAT-41580,16760,Ghoul Patrol,The 1994 sequel to LucasArts' Zombies Ate My Neighbors. Join Zeke and Julie once again as another horrible evil is unleashed upon their town.,LucasArts Entertainment Company LLC,"JVC Musical Industries, Inc.; Victor Entertainment",https://www.giantbomb.com/ghoul-patrol/3030-16760/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363850-snes_ghoulpatrol_eu.jpg,giantbomb
CAT-19824,4616,Cliffhanger,"A side-scrolling brawler with a number of precarious action segments, loosely based on the Sylvester Stallone action film of the same name.",Malibu Interactive; Spidersoft Limited,989 Studios,https://www.giantbomb.com/cliffhanger/3030-4616/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2361226-nes_cliffhanger.jpg,giantbomb
CAT-19757,54900,Archer MacLean's Super Dropzone,"The sequel to the 1984 game Dropzone. As well as a graphical overhaul, the game now also features bosses and power-ups.",Eurocom Entertainment Software,SCEE Studio Liverpool; UTV Ignition Entertainment,https://www.giantbomb.com/archer-macleans-super-dropzone/3030-54900/,https://www.giantbomb.com/a/uploads/scale_large/2/23093/2874844-8518156616-64034.jpg,giantbomb
CAT-42780,3571,Mortal Kombat II,"The second installment of one of the most violent fighting game franchises of all time, providing a smoother fighting system while adding new fighters, Fatalities, babalities, friendships, and much more.",Acclaim Studios Salt Lake City; Midway Games; Probe Entertainment,"Acclaim Entertainment, Inc.; Midway Games",https://www.giantbomb.com/mortal-kombat-ii/3030-3571/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/1338358-mk2_vert.png,giantbomb
CAT-26553,9847,Rise of the Robots,"An infamous sci-fi fighting game known for its expensive marketing campaign (failing to live up to such lofty expectations). Set in the far future 2043, players control a cyborg that must neutralize an army of robots infected with a powerful computer virus.",Data Design Interactive; Instinct Design; Mirage Technologies (Multimedia) Ltd.,"Absolute Entertainment; Acclaim Entertainment, Inc.; Philips Interactive Media, Inc.; T&E Soft, Inc.; Time Warner Interactive, Inc.",https://www.giantbomb.com/rise-of-the-robots/3030-9847/,https://www.giantbomb.com/a/uploads/scale_large/0/1270/637434-470px_riseoftherobots.jpg,giantbomb
CAT-10207,5740,Jimmy Connors Pro Tennis Tour,"A tennis game that is endorsed by American tennis champion Jimmy Connors. It is also known as ""Great Courts 2"" and ""Pro Tennis Tour 2"", prior to acquiring the Connors endorsement.",Ubisoft Blue Byte,"Misawa Entertainment Co.,Ltd.; The Hit Squad; Ubisoft Entertainment",https://www.giantbomb.com/jimmy-connors-pro-tennis-tour/3030-5740/,https://www.giantbomb.com/a/uploads/scale_large/0/8272/1127978-588403_5344_front.jpg,giantbomb
CAT-01864,21668,Super International Cricket,"Hit balls for six, win by 10 wickets and use other terms confusing to Americans in the Super Nintendo's only foray into the cricket genre.",Beam Software,Nintendo,https://www.giantbomb.com/super-international-cricket/3030-21668/,https://www.giantbomb.com/a/uploads/scale_large/14/149200/2283995-super_international_cricket.jpg,giantbomb
CAT-35410,22945,Action Pachio,A side-scrolling platformer based on the Pachio-kun series of pachinko games from Coconuts Japan.,C-Lab,"Coconuts Japan Entertainment Co., Ltd.",https://www.giantbomb.com/action-pachio/3030-22945/,https://www.giantbomb.com/a/uploads/scale_large/1/13013/481714-actionpachio_sfcboxboxart.jpg,giantbomb
CAT-27023,8853,Stargate,Stargate is loosely based on the movie of the same name. A military team with a civilian archeologist traverse across space with an ancient portal and come to blows with an alien posing as a god.,Probe Entertainment; Torus Games Pty. Ltd.,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/stargate/3030-8853/,https://www.giantbomb.com/a/uploads/scale_large/0/4086/226129-boxart.jpg,giantbomb
CAT-01868,6694,Michael Jordan:  Chaos in the Windy City,"When a mad scientist uses robots and mutants to capture basketball players (for the bizarre reason of creating a cloned basketball team), it's up to then-retired professional basketball player Michael Jordan and an endless supply of basketballs to put a stop to it.",Electronic Arts,Electronic Arts; Ocean Software Ltd.,https://www.giantbomb.com/michael-jordan-chaos-in-the-windy-city/3030-6694/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/1672012-box_mjcitwc.png,giantbomb
CAT-41578,16760,Ghoul Patrol,The 1994 sequel to LucasArts' Zombies Ate My Neighbors. Join Zeke and Julie once again as another horrible evil is unleashed upon their town.,LucasArts Entertainment Company LLC,"JVC Musical Industries, Inc.; Victor Entertainment",https://www.giantbomb.com/ghoul-patrol/3030-16760/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363850-snes_ghoulpatrol_eu.jpg,giantbomb
CAT-20408,6665,Super Street Fighter II,"Four new warriors enter the World Warrior tournament in the fourth main iteration of the classic Street Fighter II series. Along with the roster change, the game received numerous graphical and audio upgrades thanks to its more powerful CPS-2 hardware.",Capcom; Freestyle; Rozner Labs Software Group,Capcom; U.S. Gold Ltd.,https://www.giantbomb.com/super-street-fighter-ii/3030-6665/,https://www.giantbomb.com/a/uploads/scale_large/12/121177/1748664-super_street_fighter_ii__flyer_.jpg,giantbomb
CAT-20417,16604,Ardy Lightfoot,"A mascot platformer that was developed by ASCII, published my Titus and was released in 1993 in Japan and 1994 for Europe and North America.",ASCII Corporation,"ASCII Corporation; Titus Interactive, S.A.",https://www.giantbomb.com/ardy-lightfoot/3030-16604/,https://www.giantbomb.com/a/uploads/scale_large/0/4495/257968-c0_8.jpg,giantbomb
CAT-00086,13849,Equinox,"An isometric platforming game, and the sequel to Solstice. It features a series of progressively harder dungeons, as well as a number of weapons and spells that the player can use against their foes.",Acclaim Studios Manchester,"989 Studios; Sony Music Entertainment (Japan), Inc.",https://www.giantbomb.com/equinox/3030-13849/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363813-snes_equinox_eu.jpg,giantbomb
CAT-40664,5450,NHLPA Hockey '93,"This is the 2nd EA NHL game, although it lacked the NHL license and only had all the player names and city names appearing.",Park Place Productions,EA Sports; Electronic Arts,https://www.giantbomb.com/nhlpa-hockey-93/3030-5450/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2371303-genesis_nhlpahockey93.jpg,giantbomb
CAT-37970,10276,The Legend of Zelda: A Link to the Past,The third installment in the Zelda series makes a return to the top-down 2D gameplay of the original. Link must travel between the Light and Dark Worlds in order to set things right in the kingdom of Hyrule.,Nintendo EAD; SRD Co. Ltd.,Nintendo,https://www.giantbomb.com/the-legend-of-zelda-a-link-to-the-past/3030-10276/,https://www.giantbomb.com/a/uploads/scale_large/8/82063/2831954-legend_of_zelda_3_-_snes_-_album_art.jpg,giantbomb
CAT-20413,4089,Pocky & Rocky,Pocky and Rocky is an arcade style top-down style shooting game starring a girl and a raccoon.,Natsume,Natsume,https://www.giantbomb.com/pocky-rocky/3030-4089/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2364593-snes_pockyandrocky.jpg,giantbomb
CAT-35442,8853,Stargate,Stargate is loosely based on the movie of the same name. A military team with a civilian archeologist traverse across space with an ancient portal and come to blows with an alien posing as a god.,Probe Entertainment; Torus Games Pty. Ltd.,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/stargate/3030-8853/,https://www.giantbomb.com/a/uploads/scale_large/0/4086/226129-boxart.jpg,giantbomb
CAT-41579,16760,Ghoul Patrol,The 1994 sequel to LucasArts' Zombies Ate My Neighbors. Join Zeke and Julie once again as another horrible evil is unleashed upon their town.,LucasArts Entertainment Company LLC,"JVC Musical Industries, Inc.; Victor Entertainment",https://www.giantbomb.com/ghoul-patrol/3030-16760/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363850-snes_ghoulpatrol_eu.jpg,giantbomb
CAT-01804,5721,Jurassic Park,An action game to coincide with the release of the 1993 movie and the first game based on the franchise. Take control of Dr. Grant and attempt to escape Jurassic Park.,Limited Run Games; Ocean Software Ltd.,Jaleco Ltd.; Limited Run Games; Ocean Software Ltd.,https://www.giantbomb.com/jurassic-park/3030-5721/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363891-snes_jurassicpark.jpg,giantbomb
CAT-20362,6329,Indiana Jones' Greatest Adventures,A Super Nintendo game that recreates the classic Indiana Jones film trilogy. Players follow Indiana's steps from Raiders of the Lost Ark up until The Last Crusade in this platformer using Indy's famous whip as well as various guns and grenades.,"Factor 5, LLC; LucasArts Entertainment Company LLC","JVC Musical Industries, Inc.; LucasArts Entertainment Company LLC; Victor Entertainment",https://www.giantbomb.com/indiana-jones-greatest-adventures/3030-6329/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363874-snes_indianajonesgreatestadventures.jpg,giantbomb
CAT-42711,8027,WWF WrestleMania: The Arcade Game,Throw reality out the window as WWF stars fight for the gold in WWF WrestleMania: The Arcade Game.,Acclaim Studios Salt Lake City; Midway Games,"Acclaim Entertainment, Inc.; Midway Games",https://www.giantbomb.com/wwf-wrestlemania-the-arcade-game/3030-8027/,https://www.giantbomb.com/a/uploads/scale_large/0/5166/1559062-wwf_wrestlemania_the_arcade_flyer.jpg,giantbomb
CAT-38739,8686,Doraemon: Nobita to Yousei no Kuni,"An adventure game with action levels based on the Doraemon license, about a robotic cat and his human friends. It's the first of several Super Famicom adaptations of Doraemon.",SAS Sakata,"Epoch Co., Ltd.",https://www.giantbomb.com/doraemon-nobita-to-yousei-no-kuni/3030-8686/,https://www.giantbomb.com/a/uploads/scale_large/0/2579/1686679-doraemon_nobita_to_yousei_no_kuni_box_front.jpg,giantbomb
CAT-43005,6665,Super Street Fighter II,"Four new warriors enter the World Warrior tournament in the fourth main iteration of the classic Street Fighter II series. Along with the roster change, the game received numerous graphical and audio upgrades thanks to its more powerful CPS-2 hardware.",Capcom; Freestyle; Rozner Labs Software Group,Capcom; U.S. Gold Ltd.,https://www.giantbomb.com/super-street-fighter-ii/3030-6665/,https://www.giantbomb.com/a/uploads/scale_large/12/121177/1748664-super_street_fighter_ii__flyer_.jpg,giantbomb
